Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.007602,7.125,[33 75] ; [5 1],[36. 72.] ; [2. 4.],0
s5,1,0.008703,6.882776,[13 96] ; [3 3],[15.16521739 93.83478261] ; [0.83478261 5.16521739],0
d1,1,0.014294,6.001491,[38 74] ; [5 1],[40.81355932 71.18644068] ; [2.18644068 3.81355932],0
v1,1,0.018587,5.539914,[39 71] ; [5 1],[41.72413793 68.27586207] ; [2.27586207 3.72413793],0
p3,1,0.0316,4.620042,[29 82] ; [4 2],[31.30769231 79.69230769] ; [1.69230769 4.30769231],0
v2,1,0.040242,4.20764,[44 64] ; [5 1],[46.42105263 61.57894737] ; [2.57894737 3.42105263],0
d2,1,0.05732,3.613268,[48 62] ; [5 1],[50.25862069 59.74137931] ; [2.74137931 3.25862069],0
p8,1,0.07848,3.096096,[35 75] ; [4 2],[36.98275862 73.01724138] ; [2.01724138 3.98275862],0
a2,1,0.120814,2.406743,[  4 108] ; [1 5],[  4.74576271 107.25423729] ; [0.25423729 5.74576271],0
a5,1,0.142003,2.156123,[59 53] ; [5 1],[60.74576271 51.25423729] ; [3.25423729 2.74576271],0
v3,1,0.197071,1.663946,[28 80] ; [3 3],[29.36842105 78.63157895] ; [1.63157895 4.36842105],0
s8,1,0.206143,1.598307,[16 96] ; [2 4],[17.08474576 94.91525424] ; [0.91525424 5.08474576],0
a3,1,0.276975,1.181873,[68 43] ; [5 1],[69.25641026 41.74358974] ; [3.74358974 2.25641026],0
d4,1,0.313372,1.016409,[70 41] ; [5 1],[71.15384615 39.84615385] ; [3.84615385 2.15384615],0
p1,1,0.322756,0.977746,[  7 105] ; [1 5],[  7.59322034 104.40677966] ; [0.40677966 5.59322034],0
d3,1,0.338258,0.917023,[35 77] ; [3 3],[36.06779661 75.93220339] ; [1.93220339 4.06779661],0
n4,1,0.339772,0.911293,[72 40] ; [5 1],[73.08474576 38.91525424] ; [3.91525424 2.08474576],0
b4,1,0.476986,0.505747,[58 54] ; [4 2],[58.84745763 53.15254237] ; [3.15254237 2.84745763],0
a4,1,0.519959,0.413975,[41 70] ; [3 3],[41.74358974 69.25641026] ; [2.25641026 3.74358974],0
b5,1,0.586702,0.295524,[50 62] ; [2 4],[49.3559322 62.6440678] ; [2.6440678 3.3559322],0
r3,1,0.613106,0.255677,[83 29] ; [5 1],[83.52542373 28.47457627] ; [4.47457627 1.52542373],0
a6,1,0.633274,0.227647,[45 67] ; [3 3],[45.55932203 66.44067797] ; [2.44067797 3.55932203],0
r4,1,0.738618,0.111345,[67 45] ; [4 2],[67.38983051 44.61016949] ; [3.61016949 2.38983051],0
v4,1,0.765059,0.089308,[86 24] ; [5 1],[86.29310345 23.70689655] ; [4.70689655 1.29310345],0
s7,1,0.784204,0.074991,[22 81] ; [1 5],[21.73394495 81.26605505] ; [1.26605505 4.73394495],0
r1,1,0.797165,0.066058,[62 50] ; [3 3],[61.69491525 50.30508475] ; [3.30508475 2.69491525],0
p6,1,0.799162,0.064736,[17 91] ; [1 4],[17.20353982 90.79646018] ; [0.79646018 4.20353982],0
r2,1,0.833928,0.04396,[87 22] ; [5 1],[87.2 21.8] ; [4.8 1.2],0
b1,1,0.898142,0.016386,[53 59] ; [3 3],[53.15254237 58.84745763] ; [2.84745763 3.15254237],0
n6,1,0.963391,0.002107,[75 36] ; [4 2],[74.94871795 36.05128205] ; [4.05128205 1.94871795],0
