Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001728,9.818182,[16 28] ; [17  5],[22. 22.] ; [11. 11.],0
p6,1,0.00199,9.558488,[10 34] ; [14  9],[15.76119403 28.23880597] ; [ 8.23880597 14.76119403],0
s6,1,0.019891,5.421429,[33 13] ; [22  1],[36.66666667  9.33333333] ; [18.33333333  4.66666667],0
u3,1,0.040272,4.206397,[ 8 10] ; [7 1],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
b4,1,0.056693,3.631579,[30 16] ; [20  3],[33.33333333 12.66666667] ; [16.66666667  6.33333333],0
p2,1,0.061345,3.500637,[36  8] ; [14  9],[32.8358209 11.1641791] ; [17.1641791  5.8358209],0
p1,1,0.073719,3.198204,[ 3 41] ; [ 5 18],[ 5.25373134 38.74626866] ; [ 2.74626866 20.25373134],0
d1,1,0.087018,2.928693,[22 24] ; [16  7],[25.33333333 20.66666667] ; [12.66666667 10.33333333],0
p11,1,0.156547,2.007273,[32 14] ; [12 11],[29.33333333 16.66666667] ; [14.66666667  8.33333333],0
a4,1,0.165488,1.923345,[16 30] ; [12 11],[18.66666667 27.33333333] ; [ 9.33333333 13.66666667],0
a7,1,0.189051,1.725,[35 11] ; [14  9],[32.66666667 13.33333333] ; [16.33333333  6.66666667],0
s2,1,0.215092,1.536818,[27 19] ; [17  6],[29.33333333 16.66666667] ; [14.66666667  8.33333333],0
v1,1,0.234306,1.414532,[22 22] ; [ 8 15],[19.70149254 24.29850746] ; [10.29850746 12.70149254],0
p5,1,0.237926,1.392838,[ 6 38] ; [ 1 22],[ 4.59701493 39.40298507] ; [ 2.40298507 20.59701493],0
r4,1,0.24495,1.351881,[37  9] ; [21  2],[38.66666667  7.33333333] ; [19.33333333  3.66666667],0
d5,1,0.24495,1.351881,[37  9] ; [21  2],[38.66666667  7.33333333] ; [19.33333333  3.66666667],0
p3,1,0.263701,1.249222,[19 26] ; [13 10],[21.17647059 23.82352941] ; [10.82352941 12.17647059],0
