Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.5e-05,18.715438,[27  4] ; [ 3 11],[20.66666667 10.33333333] ; [9.33333333 4.66666667],1
p11,1,0.035194,4.435714,[24  8] ; [6 8],[20.86956522 11.13043478] ; [9.13043478 4.86956522],0
s1,1,0.042641,4.109588,[ 1 31] ; [ 3 11],[ 2.7826087 29.2173913] ; [ 1.2173913 12.7826087],0
n5,1,0.050304,3.831293,[22  8] ; [6 8],[19.09090909 10.90909091] ; [8.90909091 5.09090909],0
p2,1,0.053427,3.730501,[26  5] ; [8 6],[23.42222222  7.57777778] ; [10.57777778  3.42222222],0
d5,1,0.056452,3.638672,[25  7] ; [7 7],[22.26086957  9.73913043] ; [9.73913043 4.26086957],0
a5,1,0.059705,3.54557,[21 11] ; [5 9],[18.08695652 13.91304348] ; [7.91304348 6.08695652],0
s8,1,0.070158,3.279309,[16 16] ; [ 3 11],[13.2173913 18.7826087] ; [5.7826087 8.2173913],0
a4,1,0.115379,2.478954,[12 20] ; [ 2 12],[ 9.73913043 22.26086957] ; [4.26086957 9.73913043],0
r3,1,0.143466,2.140388,[26  5] ; [9 5],[24.11111111  6.88888889] ; [10.88888889  3.11111111],0
v2,1,0.164973,1.928039,[18 13] ; [5 9],[15.84444444 15.15555556] ; [7.15555556 6.84444444],0
p6,1,0.208458,1.582106,[13 19] ; [ 3 11],[11.13043478 20.86956522] ; [4.86956522 9.13043478],0
s4,1,0.225845,1.466837,[ 8 24] ; [6 8],[ 9.73913043 22.26086957] ; [4.26086957 9.73913043],0
s7,1,0.258362,1.277513,[20 11] ; [6 7],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
d1,1,0.276718,1.183137,[17 15] ; [5 9],[15.30434783 16.69565217] ; [6.69565217 7.30434783],0
a7,1,0.276718,1.183137,[17 15] ; [5 9],[15.30434783 16.69565217] ; [6.69565217 7.30434783],0
n4,1,0.317731,0.998264,[21 11] ; [7 7],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
s6,1,0.345753,0.888982,[20 11] ; [11  3],[21.35555556  9.64444444] ; [9.64444444 4.35555556],0
v4,1,0.354539,0.857143,[20  8] ; [8 6],[18.66666667  9.33333333] ; [9.33333333 4.66666667],0
p8,1,0.357467,0.846774,[11 20] ; [7 7],[12.4 18.6] ; [5.6 8.4],0
s5,1,0.382443,0.762833,[11 19] ; [ 3 10],[ 9.76744186 20.23255814] ; [4.23255814 8.76744186],0
n3,1,0.462527,0.539773,[6 5] ; [3 5],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
p3,1,0.482305,0.493647,[15 17] ; [5 9],[13.91304348 18.08695652] ; [6.08695652 7.91304348],0
s3,1,0.491155,0.473996,[25  6] ; [10  4],[24.11111111  6.88888889] ; [10.88888889  3.11111111],0
r2,1,0.494525,0.466667,[19  9] ; [8 6],[18. 10.] ; [9. 5.],0
p1,1,0.555,0.348435,[ 1 30] ; [ 1 13],[ 1.37777778 29.62222222] ; [ 0.62222222 13.37777778],0
a3,1,0.583415,0.300746,[21 11] ; [8 6],[20.17391304 11.82608696] ; [8.82608696 5.17391304],0
v3,1,0.593353,0.285138,[ 9 22] ; [ 3 11],[ 8.26666667 22.73333333] ; [ 3.73333333 10.26666667],0
n6,1,0.594474,0.283411,[19 10] ; [8 6],[18.20930233 10.79069767] ; [8.79069767 5.20930233],0
d3,1,0.610534,0.259398,[18 14] ; [9 5],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
d4,1,0.624186,0.240028,[25  7] ; [10  4],[24.34782609  7.65217391] ; [10.65217391  3.34782609],0
p7,1,0.632101,0.229223,[17 13] ; [9 5],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
r1,1,0.665079,0.187412,[ 7 24] ; [ 4 10],[ 7.57777778 23.42222222] ; [ 3.42222222 10.57777778],0
b1,1,0.69537,0.153333,[14 18] ; [7 7],[14.60869565 17.39130435] ; [6.39130435 7.60869565],0
u2,1,0.69627,0.152381,[4 6] ; [3 3],[4.375 5.625] ; [2.625 3.375],0
n1,1,0.718904,0.129545,[2 9] ; [2 6],[2.31578947 8.68421053] ; [1.68421053 6.31578947],0
d2,1,0.753511,0.098604,[13 19] ; [5 9],[12.52173913 19.47826087] ; [5.47826087 8.52173913],0
b5,1,0.753511,0.098604,[19 13] ; [9 5],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
b4,1,0.801251,0.063367,[15 17] ; [6 8],[14.60869565 17.39130435] ; [6.39130435 7.60869565],0
p4,1,0.845211,0.038116,[17 15] ; [7 7],[16.69565217 15.30434783] ; [7.30434783 6.69565217],0
v1,1,0.857514,0.032234,[12 18] ; [6 8],[12.27272727 17.72727273] ; [5.72727273 8.27272727],0
u3,1,0.857596,0.032197,[6 5] ; [3 3],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
a6,1,0.887494,0.020015,[19 13] ; [8 6],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
n2,1,0.911557,0.012338,[8 3] ; [6 2],[8.10526316 2.89473684] ; [5.89473684 2.10526316],0
