Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.933393,[66 26] ; [10 30],[52.96969697 39.03030303] ; [23.03030303 16.96969697],1
a5,1,0.005055,7.859518,[65 27] ; [18 22],[57.84848485 34.15151515] ; [25.15151515 14.84848485],0
v3,1,0.009593,6.708897,[37 52] ; [ 7 32],[30.59375 58.40625] ; [13.40625 25.59375],0
n6,1,0.011003,6.464768,[67 25] ; [20 20],[60.63636364 31.36363636] ; [26.36363636 13.63636364],0
s7,1,0.022849,5.179956,[32 51] ; [ 7 32],[26.53278689 56.46721311] ; [12.46721311 26.53278689],0
p11,1,0.025052,5.020254,[54 38] ; [15 25],[48.09090909 43.90909091] ; [20.90909091 19.09090909],0
s8,1,0.053456,3.729616,[26 65] ; [ 5 34],[21.7 69.3] ; [ 9.3 29.7],0
p2,1,0.100096,2.704013,[60 32] ; [20 20],[55.75757576 36.24242424] ; [24.24242424 15.75757576],0
v1,1,0.105043,2.627262,[39 53] ; [11 29],[34.84848485 57.15151515] ; [15.15151515 24.84848485],0
p1,1,0.106646,2.603232,[10 81] ; [ 1 39],[ 7.64122137 83.35877863] ; [ 3.35877863 36.64122137],0
s2,1,0.117888,2.445163,[36 54] ; [10 29],[32.09302326 57.90697674] ; [13.90697674 25.09302326],0
p3,1,0.120055,2.416607,[33 58] ; [ 9 31],[29.17557252 61.82442748] ; [12.82442748 27.17557252],0
r4,1,0.120509,2.410691,[81 11] ; [31  9],[78.06060606 13.93939394] ; [33.93939394  6.06060606],0
b1,1,0.122479,2.385326,[57 35] ; [19 21],[52.96969697 39.03030303] ; [23.03030303 16.96969697],0
s3,1,0.135246,2.231226,[47 44] ; [15 25],[43.06870229 47.93129771] ; [18.93129771 21.06870229],0
n1,1,0.137613,2.204453,[13 12] ; [ 6 14],[10.55555556 14.44444444] ; [ 8.44444444 11.55555556],0
p10,1,0.191326,1.707381,[28 62] ; [ 8 32],[24.92307692 65.07692308] ; [11.07692308 28.92307692],0
