Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,60.872727,[78  2] ; [15 29],[60. 20.] ; [33. 11.],1
r2,1,0.0,40.467318,[79  1] ; [23 20],[66.34146341 13.65853659] ; [35.65853659  7.34146341],1
v4,1,0.0,32.431142,[73  5] ; [22 23],[60.24390244 17.75609756] ; [34.75609756 10.24390244],1
r1,1,0.0,29.983276,[67 13] ; [16 29],[53.12 26.88] ; [29.88 15.12],1
p11,1,0.001121,10.616984,[43 37] ; [11 35],[34.28571429 45.71428571] ; [19.71428571 26.28571429],0
p7,1,0.001282,10.367842,[40 40] ; [ 9 35],[31.61290323 48.38709677] ; [17.38709677 26.61290323],0
p2,1,0.001394,10.214306,[48 32] ; [14 32],[39.36507937 40.63492063] ; [22.63492063 23.36507937],0
p4,1,0.001761,9.783838,[34 45] ; [ 7 38],[26.12096774 52.87903226] ; [14.87903226 30.12096774],0
u3,1,0.003491,8.53114,[24 13] ; [ 6 17],[18.5 18.5] ; [11.5 11.5],0
s6,1,0.004485,8.076281,[29 50] ; [ 6 40],[22.12 56.88] ; [12.88 33.12],0
a6,1,0.005395,7.742072,[55 25] ; [20 26],[47.61904762 32.38095238] ; [27.38095238 18.61904762],0
n3,1,0.00757,7.132483,[18  4] ; [12 15],[13.46938776  8.53061224] ; [16.53061224 10.46938776],0
n6,1,0.016647,5.733248,[54 26] ; [20 24],[47.74193548 32.25806452] ; [26.25806452 17.74193548],0
a1,1,0.019454,5.460271,[ 2 78] ; [ 6 40],[ 5.07936508 74.92063492] ; [ 2.92063492 43.07936508],0
s8,1,0.021504,5.285499,[12 67] ; [ 1 45],[ 8.216 70.784] ; [ 4.784 41.216],0
n2,1,0.02291,5.175312,[17  7] ; [11 17],[12.92307692 11.07692308] ; [15.07692308 12.92307692],0
s3,1,0.028218,4.814706,[27 53] ; [ 7 38],[21.76 58.24] ; [12.24 32.76],0
v1,1,0.03516,4.437391,[28 52] ; [ 8 38],[22.85714286 57.14285714] ; [13.14285714 32.85714286],0
p3,1,0.036236,4.385965,[24 56] ; [ 6 39],[19.2 60.8] ; [10.8 34.2],0
a7,1,0.039479,4.240122,[55 25] ; [22 22],[49.67741935 30.32258065] ; [27.32258065 16.67741935],0
p8,1,0.072655,3.221993,[24 56] ; [ 7 38],[19.84 60.16] ; [11.16 33.84],0
b2,1,0.080515,3.054468,[12 37] ; [13 17],[15.50632911 33.49367089] ; [ 9.49367089 20.50632911],0
