Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.013897,6.051184,[ 6 21] ; [84 93],[11.91176471 15.08823529] ; [78.08823529 98.91176471],0
s3,1,0.017323,5.663379,[23  3] ; [122  65],[17.69953052  8.30046948] ; [127.30046948  59.69953052],0
a5,1,0.022867,5.178607,[15 12] ; [144  45],[19.875  7.125] ; [139.125  49.875],0
s2,1,0.032691,4.56188,[21  5] ; [111  77],[16.03738318  9.96261682] ; [115.96261682  72.03738318],0
v2,1,0.037057,4.347776,[10 16] ; [107  71],[14.91176471 11.08823529] ; [102.08823529  75.91176471],0
b3,1,0.054794,3.688349,[ 3 14] ; [58 81],[ 6.6474359 10.3525641] ; [54.3525641 84.6474359],0
b2,1,0.054794,3.688349,[ 3 14] ; [58 81],[ 6.6474359 10.3525641] ; [54.3525641 84.6474359],0
s6,1,0.059498,3.551334,[25  2] ; [145  44],[21.25  5.75] ; [148.75  40.25],0
n6,1,0.066684,3.36281,[20  7] ; [165  24],[23.125  3.875] ; [161.875  27.125],0
b4,1,0.10529,2.623526,[12 15] ; [115  74],[15.875 11.125] ; [111.125  77.875],0
u1,1,0.112078,2.524675,[ 8 19] ; [ 32 157],[ 5. 22.] ; [ 35. 154.],0
n5,1,0.141871,2.15755,[18  9] ; [149  39],[20.97209302  6.02790698] ; [146.02790698  41.97209302],0
v1,1,0.174052,1.847692,[11 16] ; [98 81],[14.28640777 12.71359223] ; [94.71359223 84.28640777],0
u3,1,0.198813,1.651072,[7 1] ; [31 17],[5.42857143 2.57142857] ; [32.57142857 15.42857143],0
a8,1,0.2045,1.609945,[ 2 24] ; [ 30 141],[ 4.22335025 21.77664975] ; [ 27.77664975 143.22335025],0
n4,1,0.255705,1.291861,[20  7] ; [157  32],[22.125  4.875] ; [154.875  34.125],0
u2,1,0.260028,1.268609,[4 4] ; [33 14],[5.38181818 2.61818182] ; [31.61818182 15.38181818],0
p5,1,0.275512,1.189096,[ 1 26] ; [ 19 166],[ 2.54716981 24.45283019] ; [ 17.45283019 167.54716981],0
s1,1,0.279125,1.171343,[ 2 25] ; [  6 182],[ 1.00465116 25.99534884] ; [  6.99534884 181.00465116],0
p9,1,0.283658,1.149479,[22  5] ; [165  21],[23.70422535  3.29577465] ; [163.29577465  22.70422535],0
r4,1,0.287024,1.133528,[23  4] ; [173  16],[24.5  2.5] ; [171.5  17.5],0
b5,1,0.291393,1.113173,[19  8] ; [113  76],[16.5 10.5] ; [115.5  73.5],0
b1,1,0.291393,1.113173,[13 14] ; [ 71 118],[10.5 16.5] ; [ 73.5 115.5],0
p8,1,0.305256,1.051092,[17 10] ; [97 88],[14.51886792 12.48113208] ; [99.48113208 85.51886792],0
r2,1,0.308507,1.037057,[24  3] ; [175  11],[25.22535211  1.77464789] ; [173.77464789  12.22535211],0
p12,1,0.345795,0.888828,[ 1 26] ; [ 17 170],[ 2.27102804 24.72897196] ; [ 15.72897196 171.27102804],0
p3,1,0.352467,0.864555,[17 10] ; [101  88],[14.75 12.25] ; [103.25  85.75],0
n1,1,0.384488,0.756303,[1 4] ; [16 24],[1.88888889 3.11111111] ; [15.11111111 24.88888889],0
a2,1,0.431155,0.61971,[ 8 19] ; [ 43 146],[ 6.375 20.625] ; [ 44.625 144.375],0
r1,1,0.460531,0.544604,[21  6] ; [157  31],[22.35348837  4.64651163] ; [155.64651163  32.35348837],0
p11,1,0.480089,0.498661,[24  3] ; [158  31],[22.75  4.25] ; [159.25  29.75],0
p1,1,0.50938,0.43534,[ 3 24] ; [ 14 174],[ 2.13488372 24.86511628] ; [ 14.86511628 173.13488372],0
p4,1,0.518129,0.417615,[19  8] ; [121  68],[17.5  9.5] ; [122.5  66.5],0
d4,1,0.596361,0.280519,[21  6] ; [155  34],[22.  5.] ; [154.  35.],0
p7,1,0.610341,0.259679,[18  8] ; [118  66],[16.83809524  9.16190476] ; [119.16190476  64.83809524],0
d3,1,0.624617,0.239432,[19  8] ; [124  65],[17.875  9.125] ; [125.125  63.875],0
a3,1,0.638729,0.220408,[19  8] ; [141  48],[20.  7.] ; [140.  49.],0
d2,1,0.641695,0.216532,[16 11] ; [103  86],[14.875 12.125] ; [104.125  84.875],0
n2,1,0.708819,0.13946,[3 2] ; [28 13],[3.36956522 1.63043478] ; [27.63043478 13.36956522],0
p2,1,0.736057,0.113622,[22  5] ; [158  30],[22.60465116  4.39534884] ; [157.39534884  30.60465116],0
a4,1,0.755624,0.096866,[11 16] ; [ 83 106],[11.75 15.25] ; [ 82.25 106.75],0
v4,1,0.802585,0.062501,[26  1] ; [179   9],[25.74418605  1.25581395] ; [179.25581395   8.74418605],0
s7,1,0.843623,0.038912,[18  8] ; [128  52],[18.42718447  7.57281553] ; [127.57281553  52.42718447],0
a7,1,0.854059,0.033835,[19  8] ; [129  59],[18.58604651  8.41395349] ; [129.41395349  58.58604651],0
p6,1,0.865458,0.028707,[11 16] ; [ 73 114],[10.59813084 16.40186916] ; [ 73.40186916 113.59813084],0
r3,1,0.897597,0.016563,[26  1] ; [181   8],[25.875  1.125] ; [181.125   7.875],0
d1,1,0.915593,0.011233,[17 10] ; [117  72],[16.75 10.25] ; [117.25  71.75],0
p10,1,0.917,0.01086,[23  4] ; [157  29],[22.81690141  4.18309859] ; [157.18309859  28.81690141],0
d5,1,0.946694,0.00447,[22  5] ; [155  34],[22.125  4.875] ; [154.875  34.125],0
a6,1,0.957417,0.002851,[17 10] ; [120  69],[17.125  9.875] ; [119.875  69.125],0
