Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.009375,6.75,[ 3 15] ; [6 3],[ 6. 12.] ; [3. 6.],0
p6,1,0.052539,3.758523,[ 5 13] ; [6 3],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
a8,1,0.064943,3.406417,[ 1 16] ; [3 6],[ 2.61538462 14.38461538] ; [1.38461538 7.61538462],0
p4,1,0.083265,3.0,[10  8] ; [8 1],[12.  6.] ; [6. 3.],0
u3,1,0.095205,2.784091,[3 8] ; [3 1],[4.4 6.6] ; [1.6 2.4],0
a6,1,0.100348,2.7,[ 8 10] ; [7 2],[10.  8.] ; [5. 4.],0
n6,1,0.158834,1.985294,[13  5] ; [4 5],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
s8,1,0.158834,1.985294,[ 5 13] ; [5 4],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
p12,1,0.161125,1.963636,[ 2 16] ; [3 6],[ 3.33333333 14.66666667] ; [1.66666667 7.33333333],0
s4,1,0.23323,1.421053,[ 4 14] ; [4 5],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
b3,1,0.236724,1.4,[3 4] ; [1 6],[2. 5.] ; [2. 5.],0
b2,1,0.236724,1.4,[3 4] ; [1 6],[2. 5.] ; [2. 5.],0
n4,1,0.275973,1.186813,[ 8 10] ; [6 3],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
p3,1,0.275973,1.186813,[ 8 10] ; [6 3],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
s7,1,0.317113,1.000817,[ 5 12] ; [4 4],[ 6.12 10.88] ; [2.88 5.12],0
p5,1,0.326109,0.964286,[ 5 13] ; [1 8],[ 4. 14.] ; [2. 7.],0
p7,1,0.326109,0.964286,[13  5] ; [8 1],[14.  4.] ; [7. 2.],0
p9,1,0.326109,0.964286,[15  3] ; [6 3],[14.  4.] ; [7. 2.],0
d4,1,0.386476,0.75,[11  7] ; [7 2],[12.  6.] ; [6. 3.],0
d5,1,0.411314,0.675,[9 9] ; [6 3],[10.  8.] ; [5. 4.],0
a3,1,0.411314,0.675,[ 7 11] ; [5 4],[ 8. 10.] ; [4. 5.],0
r4,1,0.411314,0.675,[9 9] ; [3 6],[ 8. 10.] ; [4. 5.],0
p2,1,0.483522,0.490909,[14  4] ; [8 1],[14.66666667  3.33333333] ; [7.33333333 1.66666667],0
v2,1,0.484118,0.489574,[ 7 10] ; [5 4],[7.84615385 9.15384615] ; [4.15384615 4.84615385],0
v4,1,0.534561,0.385714,[14  4] ; [6 3],[13.33333333  4.66666667] ; [6.66666667 2.33333333],0
r1,1,0.579639,0.306818,[ 8 10] ; [3 6],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
b4,1,0.579639,0.306818,[ 8 10] ; [3 6],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
a1,1,0.603332,0.27,[ 1 17] ; [1 8],[ 1.33333333 16.66666667] ; [0.66666667 8.33333333],0
n3,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
p11,1,0.701671,0.146739,[15  3] ; [8 1],[15.33333333  2.66666667] ; [7.66666667 1.33333333],0
v3,1,0.765688,0.088816,[ 5 13] ; [3 6],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
d2,1,0.765688,0.088816,[ 5 13] ; [3 6],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
b1,1,0.765688,0.088816,[13  5] ; [6 3],[12.66666667  5.33333333] ; [6.33333333 2.66666667],0
n5,1,0.778096,0.079412,[11  7] ; [6 3],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
v1,1,0.778096,0.079412,[ 7 11] ; [3 6],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
a5,1,0.781814,0.076705,[11  7] ; [5 4],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
b5,1,0.781814,0.076705,[11  7] ; [5 4],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
d3,1,0.785351,0.074176,[9 9] ; [5 4],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
a7,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
s5,1,1.0,0.0,[ 4 14] ; [2 7],[ 4. 14.] ; [2. 7.],0
d1,1,1.0,0.0,[ 4 14] ; [2 7],[ 4. 14.] ; [2. 7.],0
p10,1,1.0,0.0,[14  4] ; [7 2],[14.  4.] ; [7. 2.],0
