Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.020577,5.362262,[89 10] ; [37 12],[84.28378378 14.71621622] ; [41.71621622  7.28378378],0
u2,1,0.031098,4.647523,[16 17] ; [15  4],[19.67307692 13.32692308] ; [11.32692308  7.67307692],0
n3,1,0.031651,4.617284,[23  6] ; [6 7],[20.02380952  8.97619048] ; [8.97619048 4.02380952],0
n5,1,0.034197,4.484848,[69 30] ; [42  7],[74.25 24.75] ; [36.75 12.25],0
u1,1,0.042884,4.099961,[24 75] ; [ 5 44],[19.39864865 79.60135135] ; [ 9.60135135 39.39864865],0
r1,1,0.055234,3.675,[70 28] ; [42  7],[74.66666667 23.33333333] ; [37.33333333 11.66666667],0
p9,1,0.112229,2.522552,[74 23] ; [42  6],[77.6 19.4] ; [38.4  9.6],0
s5,1,0.124544,2.359231,[30 62] ; [ 9 36],[26.18978102 65.81021898] ; [12.81021898 32.18978102],0
p10,1,0.128063,2.315824,[68 30] ; [39  9],[71.82191781 26.17808219] ; [35.17808219 12.82191781],0
b5,1,0.134786,2.236498,[67 32] ; [27 22],[62.87837838 36.12162162] ; [31.12162162 17.87837838],0
r3,1,0.139788,2.180296,[95  4] ; [44  5],[92.97972973  6.02027027] ; [46.02027027  2.97972973],0
p6,1,0.149441,2.077949,[20 78] ; [15 33],[23.49315068 74.50684932] ; [11.50684932 36.49315068],0
a5,1,0.152182,2.050246,[70 29] ; [40  9],[73.58108108 25.41891892] ; [36.41891892 12.58108108],0
p2,1,0.161262,1.962353,[75 24] ; [42  7],[78.26351351 20.73648649] ; [38.73648649 10.26351351],0
p5,1,0.170726,1.876556,[ 7 90] ; [ 7 42],[ 9.30136986 87.69863014] ; [ 4.69863014 44.30136986],0
u4,1,0.19363,1.689782,[ 2 97] ; [ 3 46],[ 3.34459459 95.65540541] ; [ 1.65540541 47.34459459],0
v1,1,0.198721,1.651746,[44 48] ; [29 20],[47.63120567 44.36879433] ; [25.36879433 23.63120567],0
d4,1,0.231262,1.433085,[79 20] ; [43  6],[81.60810811 17.39189189] ; [40.39189189  8.60810811],0
r4,1,0.231684,1.430496,[84 15] ; [45  4],[86.29054054 12.70945946] ; [42.70945946  6.29054054],0
p1,1,0.239159,1.385545,[ 8 91] ; [ 7 42],[10.03378378 88.96621622] ; [ 4.96621622 44.03378378],0
p12,1,0.239159,1.385545,[ 8 91] ; [ 7 42],[10.03378378 88.96621622] ; [ 4.96621622 44.03378378],0
a6,1,0.257361,1.2829,[66 33] ; [28 21],[62.87837838 36.12162162] ; [31.12162162 17.87837838],0
s6,1,0.269508,1.219251,[74 25] ; [31 16],[71.19863014 27.80136986] ; [33.80136986 13.19863014],0
a2,1,0.270946,1.211951,[24 75] ; [ 8 41],[21.40540541 77.59459459] ; [10.59459459 38.40540541],0
s4,1,0.339111,0.913789,[16 82] ; [ 5 43],[14.09589041 83.90410959] ; [ 6.90410959 41.09589041],0
v2,1,0.343488,0.897371,[50 46] ; [29 19],[52.66666667 43.33333333] ; [26.33333333 21.66666667],0
s8,1,0.392099,0.732423,[41 58] ; [23 24],[43.39726027 55.60273973] ; [20.60273973 26.39726027],0
v3,1,0.411497,0.67447,[30 62] ; [19 29],[32.2 59.8] ; [16.8 31.2],0
b4,1,0.444894,0.583627,[63 36] ; [28 21],[60.87162162 38.12837838] ; [30.12837838 18.87162162],0
a4,1,0.446563,0.579361,[49 50] ; [21 28],[46.82432432 52.17567568] ; [23.17567568 25.82432432],0
n1,1,0.452995,0.563148,[12 17] ; [7 6],[13.11904762 15.88095238] ; [5.88095238 7.11904762],0
d2,1,0.4795,0.5,[54 44] ; [30 19],[56. 42.] ; [28. 21.],0
