Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,60.872727,[78 15] ; [ 2 29],[60. 33.] ; [20. 11.],1
v4,1,1e-06,23.898216,[80 11] ; [14 17],[70.1147541 20.8852459] ; [23.8852459  7.1147541],1
r1,1,3.1e-05,17.330236,[71 22] ; [11 20],[61.5 31.5] ; [20.5 10.5],1
r2,1,7.9e-05,15.590873,[84  9] ; [17 12],[76.99180328 16.00819672] ; [24.00819672  4.99180328],1
p2,1,0.000124,14.724261,[55 38] ; [ 6 25],[45.75 47.25] ; [15.25 15.75],1
p11,1,0.000543,11.961733,[48 45] ; [ 5 26],[39.75 53.25] ; [13.25 17.75],1
a1,1,0.000734,11.402299,[ 2 91] ; [ 6 25],[ 6. 87.] ; [ 2. 29.],1
n6,1,0.003627,8.461726,[62 31] ; [11 19],[55.19512195 37.80487805] ; [17.80487805 12.19512195],0
n5,1,0.005062,7.857106,[42 51] ; [23  8],[48.75 44.25] ; [16.25 14.75],0
p4,1,0.006789,7.328071,[37 55] ; [ 4 26],[30.91803279 61.08196721] ; [10.08196721 19.91803279],0
p3,1,0.007161,7.232086,[28 64] ; [ 2 29],[22.43902439 69.56097561] ; [ 7.56097561 23.43902439],0
a7,1,0.007546,7.138252,[64 29] ; [13 18],[57.75 35.25] ; [19.25 11.75],0
v1,1,0.008063,7.019369,[32 61] ; [ 3 28],[26.25 66.75] ; [ 8.75 22.25],0
n3,1,0.014478,5.978875,[23  8] ; [ 7 11],[18.97959184 12.02040816] ; [11.02040816  6.97959184],0
b5,1,0.022251,5.226054,[55 38] ; [11 20],[49.5 43.5] ; [16.5 14.5],0
v2,1,0.024866,5.033193,[38 53] ; [ 6 25],[32.81967213 58.18032787] ; [11.18032787 19.81967213],0
s6,1,0.026487,4.923957,[31 61] ; [ 4 27],[26.17886179 65.82113821] ; [ 8.82113821 22.17886179],0
d3,1,0.029246,4.753064,[54 39] ; [11 20],[48.75 44.25] ; [16.25 14.75],0
p7,1,0.033711,4.509285,[42 51] ; [ 7 23],[37.04878049 55.95121951] ; [11.95121951 18.04878049],0
s3,1,0.043868,4.061625,[30 63] ; [ 4 26],[25.70731707 67.29268293] ; [ 8.29268293 21.70731707],0
u3,1,0.051757,3.783595,[24 19] ; [ 4 11],[20.75862069 22.24137931] ; [7.24137931 7.75862069],0
a6,1,0.057107,3.619459,[60 33] ; [14 17],[55.5 37.5] ; [18.5 12.5],0
d4,1,0.062698,3.464547,[67 25] ; [17 14],[62.82926829 29.17073171] ; [21.17073171  9.82926829],0
p8,1,0.085058,2.965511,[27 66] ; [ 4 26],[23.43902439 69.56097561] ; [ 7.56097561 22.43902439],0
p6,1,0.093553,2.812143,[18 73] ; [ 2 28],[15.04132231 75.95867769] ; [ 4.95867769 25.04132231],0
s8,1,0.124125,2.36448,[12 80] ; [ 1 30],[ 9.72357724 82.27642276] ; [ 3.27642276 27.72357724],0
b2,1,0.128024,2.316301,[14 40] ; [10 13],[16.83116883 37.16883117] ; [ 7.16883117 15.83116883],0
b3,1,0.128024,2.316301,[14 40] ; [10 13],[16.83116883 37.16883117] ; [ 7.16883117 15.83116883],0
s7,1,0.152413,2.047934,[19 68] ; [ 3 27],[16.35897436 70.64102564] ; [ 5.64102564 24.35897436],0
s4,1,0.152436,2.047706,[ 9 84] ; [ 6 25],[11.25 81.75] ; [ 3.75 27.25],0
u1,1,0.160633,1.968254,[11 82] ; [ 1 30],[ 9. 84.] ; [ 3. 28.],0
a5,1,0.174873,1.840668,[55 38] ; [14 17],[51.75 41.25] ; [17.25 13.75],0
d5,1,0.183205,1.771429,[66 27] ; [18 13],[63. 30.] ; [21. 10.],0
n2,1,0.197513,1.660667,[20 13] ; [ 8 11],[17.76923077 15.23076923] ; [10.23076923  8.76923077],0
v3,1,0.235881,1.405044,[24 66] ; [ 5 26],[21.57024793 68.42975207] ; [ 7.42975207 23.57024793],0
s1,1,0.274784,1.192706,[ 4 87] ; [ 3 28],[ 5.22131148 85.77868852] ; [ 1.77868852 29.22131148],0
s5,1,0.35609,0.851635,[15 76] ; [ 3 28],[13.42622951 77.57377049] ; [ 4.57377049 26.42622951],0
a8,1,0.390497,0.737394,[ 7 79] ; [ 1 28],[ 5.9826087 80.0173913] ; [ 2.0173913 26.9826087],0
d1,1,0.400591,0.706553,[41 52] ; [11 20],[39. 54.] ; [13. 18.],0
p12,1,0.415456,0.663132,[ 1 91] ; [ 1 30],[ 1.49593496 90.50406504] ; [ 0.50406504 30.49593496],0
b4,1,0.519586,0.414716,[60 33] ; [18 13],[58.5 34.5] ; [19.5 11.5],0
p1,1,0.559552,0.340481,[ 6 86] ; [ 3 28],[ 6.73170732 85.26829268] ; [ 2.26829268 28.73170732],0
a2,1,0.572843,0.317949,[16 77] ; [ 4 27],[15. 78.] ; [ 5. 26.],0
a4,1,0.605303,0.267072,[32 60] ; [12 18],[33.18032787 58.81967213] ; [10.81967213 19.18032787],0
p5,1,0.714973,0.13336,[ 2 91] ; [ 1 29],[ 2.26829268 90.73170732] ; [ 0.73170732 29.26829268],0
n1,1,0.744664,0.10607,[12 20] ; [ 8 11],[12.54901961 19.45098039] ; [ 7.45098039 11.54901961],0
b1,1,0.754214,0.098024,[51 42] ; [18 13],[51.75 41.25] ; [17.25 13.75],0
p10,1,0.758062,0.09488,[20 71] ; [ 6 25],[19.39344262 71.60655738] ; [ 6.60655738 24.39344262],0
u2,1,0.793839,0.068293,[18 23] ; [6 9],[17.57142857 23.42857143] ; [6.42857143 8.57142857],0
d2,1,0.797743,0.065674,[44 49] ; [15 15],[44.6097561 48.3902439] ; [14.3902439 15.6097561],0
n4,1,0.914892,0.011421,[58 35] ; [19 12],[57.75 35.25] ; [19.25 11.75],0
a3,1,0.967233,0.001688,[50 43] ; [16 14],[49.90243902 43.09756098] ; [16.09756098 13.90243902],0
