Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,4e-06,21.503102,[  4 100] ; [5 7],[ 8.06896552 95.93103448] ; [ 0.93103448 11.06896552],1
s8,1,8e-06,19.949735,[30 73] ; [12  1],[37.29310345 65.70689655] ; [4.70689655 8.29310345],1
b3,1,3e-05,17.413953,[21 48] ; [12  1],[27.76829268 41.23170732] ; [5.23170732 7.76829268],1
b2,1,3e-05,17.413953,[21 48] ; [12  1],[27.76829268 41.23170732] ; [5.23170732 7.76829268],1
a2,1,5.6e-05,16.241732,[15 89] ; [8 5],[20.44444444 83.55555556] ; [ 2.55555556 10.44444444],1
p12,1,7.1e-05,15.796852,[  3 100] ; [4 9],[ 6.21551724 96.78448276] ; [ 0.78448276 12.21551724],1
v3,1,0.000203,13.800413,[29 74] ; [8 1],[34.02678571 68.97321429] ; [2.97321429 6.02678571],1
s7,1,0.000237,13.510792,[32 68] ; [11  2],[38.05309735 61.94690265] ; [4.94690265 8.05309735],1
s2,1,0.00036,12.730973,[34 68] ; [11  2],[39.91304348 62.08695652] ; [5.08695652 7.91304348],1
p3,1,0.000406,12.504808,[29 75] ; [10  3],[34.66666667 69.33333333] ; [4.33333333 8.66666667],1
s3,1,0.000836,11.158594,[44 58] ; [12  1],[49.66956522 52.33043478] ; [6.33043478 6.66956522],1
d1,1,0.001358,10.261433,[47 57] ; [12  1],[52.44444444 51.55555556] ; [6.55555556 6.44444444],0
p4,1,0.001991,9.558173,[41 63] ; [11  2],[46.22222222 57.77777778] ; [5.77777778 7.22222222],0
v1,1,0.002006,9.544227,[40 62] ; [9 1],[44.625 57.375] ; [4.375 5.625],0
s6,1,0.002336,9.264853,[49 54] ; [12  1],[54.1637931 48.8362069] ; [6.8362069 6.1637931],0
a5,1,0.011291,6.418997,[58 46] ; [12  1],[62.22222222 41.77777778] ; [7.77777778 5.22222222],0
a4,1,0.012433,6.248077,[42 62] ; [10  3],[46.22222222 57.77777778] ; [5.77777778 7.22222222],0
a1,1,0.01387,6.054616,[ 5 99] ; [ 3 10],[ 7.11111111 96.88888889] ; [ 0.88888889 12.11111111],0
d2,1,0.014113,6.023919,[50 53] ; [11  2],[54.1637931 48.8362069] ; [6.8362069 6.1637931],0
u1,1,0.014445,5.982955,[13 91] ; [5 8],[16. 88.] ; [ 2. 11.],0
p8,1,0.018215,5.575307,[36 66] ; [9 4],[39.91304348 62.08695652] ; [5.08695652 7.91304348],0
v2,1,0.043484,4.07647,[47 54] ; [8 2],[50.04504505 50.95495495] ; [4.95495495 5.04504505],0
d3,1,0.060973,3.510716,[60 44] ; [11  2],[63.11111111 40.88888889] ; [7.88888889 5.11111111],0
p6,1,0.090423,2.866822,[31 71] ; [7 6],[33.70434783 68.29565217] ; [4.29565217 8.70434783],0
p7,1,0.180077,1.796991,[51 52] ; [9 4],[53.27586207 49.72413793] ; [6.72413793 6.27586207],0
n4,1,0.181701,1.783657,[69 35] ; [11  2],[71.11111111 32.88888889] ; [8.88888889 4.11111111],0
d5,1,0.202396,1.625,[70 34] ; [11  2],[72. 32.] ; [9. 4.],0
a8,1,0.226351,1.463648,[14 79] ; [3 7],[15.34951456 77.65048544] ; [1.65048544 8.34951456],0
a6,1,0.226533,1.4625,[62 42] ; [10  3],[64. 40.] ; [8. 5.],0
b1,1,0.318877,0.993546,[41 63] ; [7 6],[42.66666667 61.33333333] ; [5.33333333 7.66666667],0
p2,1,0.369039,0.806897,[76 28] ; [11  2],[77.33333333 26.66666667] ; [9.66666667 3.33333333],0
r1,1,0.369039,0.806897,[76 28] ; [11  2],[77.33333333 26.66666667] ; [9.66666667 3.33333333],0
s5,1,0.370167,0.803104,[24 76] ; [4 7],[25.22522523 74.77477477] ; [2.77477477 8.22522523],0
b4,1,0.455821,0.556136,[67 37] ; [7 6],[65.77777778 38.22222222] ; [8.22222222 4.77777778],0
a7,1,0.487024,0.483093,[61 42] ; [9 4],[62.15517241 40.84482759] ; [7.84482759 5.15517241],0
s1,1,0.530093,0.394214,[ 4 98] ; [ 1 12],[ 4.43478261 97.56521739] ; [ 0.56521739 12.43478261],0
s4,1,0.607206,0.264263,[13 90] ; [ 1 12],[12.43103448 90.56896552] ; [ 1.56896552 11.43103448],0
p1,1,0.67005,0.181543,[ 5 97] ; [ 1 12],[ 5.32173913 96.67826087] ; [ 0.67826087 12.32173913],0
b5,1,1.0,0.0,[64 40] ; [8 5],[64. 40.] ; [8. 5.],0
