Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.5e-05,16.630684,[10 24] ; [32 10],[18.78947368 15.21052632] ; [23.21052632 18.78947368],1
n5,1,0.025964,4.958422,[28  6] ; [24 17],[23.57333333 10.42666667] ; [28.42666667 12.57333333],0
d5,1,0.028293,4.810147,[18 16] ; [33 10],[22.51948052 11.48051948] ; [28.48051948 14.51948052],0
a6,1,0.046322,3.969854,[12 22] ; [25 18],[16.33766234 17.66233766] ; [20.66233766 22.33766234],0
p4,1,0.048609,3.888792,[19 14] ; [15 28],[14.76315789 18.23684211] ; [19.23684211 23.76315789],0
b1,1,0.05269,3.75372,[21 13] ; [17 26],[16.77922078 17.22077922] ; [21.22077922 21.77922078],0
n4,1,0.084355,2.978931,[24 10] ; [22 21],[20.31168831 13.68831169] ; [25.68831169 17.31168831],0
d1,1,0.084355,2.978931,[10 24] ; [21 22],[13.68831169 20.31168831] ; [17.31168831 25.68831169],0
v4,1,0.091231,2.85251,[20 13] ; [30  8],[23.23943662  9.76056338] ; [26.76056338 11.23943662],0
d4,1,0.095084,2.786115,[21 13] ; [34  9],[24.28571429  9.71428571] ; [30.71428571 12.28571429],0
s4,1,0.116163,2.468304,[ 4 30] ; [11 31],[ 6.71052632 27.28947368] ; [ 8.28947368 33.71052632],0
a2,1,0.15852,1.988287,[ 2 32] ; [ 7 36],[ 3.97402597 30.02597403] ; [ 5.02597403 37.97402597],0
d2,1,0.195086,1.678788,[16 18] ; [14 29],[13.24675325 20.75324675] ; [16.75324675 26.24675325],0
v1,1,0.201067,1.634604,[16 18] ; [13 27],[13.32432432 20.67567568] ; [15.67567568 24.32432432],0
r3,1,0.244017,1.357235,[20 14] ; [28 11],[22.35616438 11.64383562] ; [25.64383562 13.35616438],0
b3,1,0.260175,1.267828,[11 16] ; [ 5 15],[ 9.19148936 17.80851064] ; [ 6.80851064 13.19148936],0
b2,1,0.260175,1.267828,[11 16] ; [ 5 15],[ 9.19148936 17.80851064] ; [ 6.80851064 13.19148936],0
s5,1,0.272314,1.205052,[ 5 29] ; [10 30],[ 6.89189189 27.10810811] ; [ 8.10810811 31.89189189],0
b5,1,0.308014,1.039172,[15 19] ; [24 19],[17.22077922 16.77922078] ; [21.77922078 21.22077922],0
v2,1,0.354571,0.857029,[11 22] ; [18 23],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
n3,1,0.376017,0.783683,[10  6] ; [7 8],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
r2,1,0.386971,0.748439,[19 13] ; [27 12],[20.73239437 11.26760563] ; [25.26760563 13.73239437],0
u3,1,0.39033,0.737913,[4 7] ; [9 8],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
s8,1,0.39035,0.737851,[12 22] ; [11 31],[10.28947368 23.71052632] ; [12.71052632 29.28947368],0
a8,1,0.403625,0.697499,[ 1 32] ; [ 3 37],[ 1.80821918 31.19178082] ; [ 2.19178082 37.80821918],0
s1,1,0.423168,0.641501,[ 2 32] ; [ 1 42],[ 1.32467532 32.67532468] ; [ 1.67532468 41.32467532],0
