Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3e-06,21.531209,[3 4] ; [ 1 67],[0.37333333 6.62666667] ; [ 3.62666667 64.37333333],1
p5,1,0.000401,12.529788,[3 4] ; [ 3 64],[0.56756757 6.43243243] ; [ 5.43243243 61.56756757],1
p8,1,0.000768,11.317495,[5 2] ; [11 56],[1.51351351 5.48648649] ; [14.48648649 52.51351351],1
a2,1,0.003231,8.672482,[5 2] ; [14 54],[1.77333333 5.22666667] ; [17.22666667 50.77333333],0
s7,1,0.004094,8.241439,[6 1] ; [18 41],[2.54545455 4.45454545] ; [21.45454545 37.54545455],0
p6,1,0.011731,6.35104,[4 3] ; [11 55],[1.43835616 5.56164384] ; [13.56164384 52.43835616],0
p4,1,0.012271,6.271216,[6 1] ; [25 43],[2.89333333 4.10666667] ; [28.10666667 39.89333333],0
p3,1,0.012271,6.271216,[6 1] ; [25 43],[2.89333333 4.10666667] ; [28.10666667 39.89333333],0
v1,1,0.020122,5.40124,[4 1] ; [20 48],[1.64383562 3.35616438] ; [22.35616438 45.64383562],0
u1,1,0.02682,4.902359,[3 4] ; [ 8 60],[1.02666667 5.97333333] ; [ 9.97333333 58.02666667],0
a4,1,0.032394,4.577542,[6 1] ; [29 38],[3.31081081 3.68918919] ; [31.68918919 35.31081081],0
v3,1,0.032821,4.555116,[3 1] ; [16 47],[1.13432836 2.86567164] ; [17.86567164 45.13432836],0
d2,1,0.051226,3.800867,[6 1] ; [31 35],[3.54794521 3.45205479] ; [33.45205479 32.54794521],0
a6,1,0.055922,3.654372,[6 1] ; [32 35],[3.59459459 3.40540541] ; [34.40540541 32.59459459],0
s6,1,0.060827,3.514683,[6 1] ; [32 34],[3.64383562 3.35616438] ; [34.35616438 31.64383562],0
r1,1,0.126963,2.329253,[6 1] ; [38 30],[4.10666667 2.89333333] ; [39.89333333 28.10666667],0
a5,1,0.144714,2.127101,[6 1] ; [39 29],[4.2 2.8] ; [40.8 27.2],0
s5,1,0.152875,2.043332,[2 3] ; [10 56],[0.84507042 4.15492958] ; [11.15492958 54.84507042],0
v2,1,0.163085,1.945389,[3 2] ; [20 47],[1.59722222 3.40277778] ; [21.40277778 45.59722222],0
p2,1,0.19257,1.697843,[5 2] ; [31 37],[3.36 3.64] ; [32.64 35.36],0
p7,1,0.255131,1.294986,[4 3] ; [24 44],[2.61333333 4.38666667] ; [25.38666667 42.61333333],0
n4,1,0.291351,1.113368,[6 1] ; [45 23],[4.76 2.24] ; [46.24 21.76],0
d3,1,0.297003,1.087601,[5 2] ; [34 33],[3.68918919 3.31081081] ; [35.31081081 31.68918919],0
a7,1,0.428441,0.627046,[5 2] ; [38 30],[4.01333333 2.98666667] ; [38.98666667 29.01333333],0
b4,1,0.46192,0.541239,[3 4] ; [39 29],[3.92 3.08] ; [38.08 29.92],0
d5,1,0.468467,0.525589,[6 1] ; [49 18],[5.2027027 1.7972973] ; [49.7972973 17.2027027],0
b5,1,0.632507,0.228677,[4 3] ; [45 23],[4.57333333 2.42666667] ; [44.42666667 23.57333333],0
s1,1,0.636185,0.223766,[1 6] ; [ 6 62],[0.65333333 6.34666667] ; [ 6.34666667 61.65333333],0
p1,1,0.636185,0.223766,[1 6] ; [ 6 62],[0.65333333 6.34666667] ; [ 6.34666667 61.65333333],0
s4,1,0.74221,0.108194,[1 6] ; [13 54],[1.32432432 5.67567568] ; [12.67567568 54.32432432],0
a1,1,0.744606,0.10612,[1 6] ; [ 7 61],[0.74666667 6.25333333] ; [ 7.25333333 60.74666667],0
a8,1,0.814484,0.055059,[1 6] ; [ 7 55],[0.8115942 6.1884058] ; [ 7.1884058 54.8115942],0
