Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.615939,[23 35] ; [70  6],[40.25373134 17.74626866] ; [52.74626866 23.25373134],1
s6,1,5.2e-05,16.359593,[11 46] ; [40 34],[22.19083969 34.80916031] ; [28.80916031 45.19083969],1
r3,1,0.00011,14.9625,[36 21] ; [69  7],[45. 12.] ; [60. 16.],1
r2,1,0.000148,14.393858,[41 17] ; [72  4],[48.91044776  9.08955224] ; [64.08955224 11.91044776],1
a5,1,0.000151,14.357283,[16 42] ; [46 30],[26.8358209 31.1641791] ; [35.1641791 40.8358209],1
p11,1,0.000439,12.358394,[29 29] ; [60 16],[38.52238806 19.47761194] ; [50.47761194 25.52238806],1
v2,1,0.000828,11.178043,[11 46] ; [33 36],[19.9047619 37.0952381] ; [24.0952381 44.9047619],1
v3,1,0.001277,10.375675,[ 8 49] ; [29 44],[16.22307692 40.77692308] ; [20.77692308 52.22307692],0
v4,1,0.001816,9.726316,[42 15] ; [70  5],[48.36363636  8.63636364] ; [63.63636364 11.36363636],0
p3,1,0.006105,7.518936,[13 45] ; [34 41],[20.4962406 37.5037594] ; [26.5037594 48.4962406],0
a7,1,0.006514,7.402428,[24 33] ; [50 26],[31.71428571 25.28571429] ; [42.28571429 33.71428571],0
v1,1,0.014032,6.034085,[15 43] ; [35 40],[21.80451128 36.19548872] ; [28.19548872 46.80451128],0
a3,1,0.01459,5.965292,[19 39] ; [40 34],[25.92424242 32.07575758] ; [33.07575758 40.92424242],0
a6,1,0.023218,5.152117,[26 32] ; [49 27],[32.46268657 25.53731343] ; [42.53731343 33.46268657],0
p4,1,0.027423,4.863995,[18 40] ; [38 38],[24.23880597 33.76119403] ; [31.76119403 44.23880597],0
n4,1,0.028684,4.78647,[34 24] ; [58 18],[39.82089552 18.17910448] ; [52.17910448 23.82089552],0
p10,1,0.055647,3.662604,[28 27] ; [50 24],[33.25581395 21.74418605] ; [44.74418605 29.25581395],0
n2,1,0.066907,3.357316,[13 10] ; [18  4],[15.84444444  7.15555556] ; [15.15555556  6.84444444],0
d3,1,0.079338,3.078416,[12 44] ; [27 49],[16.54545455 39.45454545] ; [22.45454545 53.54545455],0
b2,1,0.080218,3.060481,[10 20] ; [ 7 37],[ 6.89189189 23.10810811] ; [10.10810811 33.89189189],0
b3,1,0.080218,3.060481,[10 20] ; [ 7 37],[ 6.89189189 23.10810811] ; [10.10810811 33.89189189],0
s3,1,0.090044,2.87358,[16 41] ; [31 42],[20.60769231 36.39230769] ; [26.39230769 46.60769231],0
p12,1,0.107978,2.583563,[ 1 57] ; [ 6 69],[ 3.05263158 54.94736842] ; [ 3.94736842 71.05263158],0
n6,1,0.113841,2.500076,[37 21] ; [58 18],[41.11940299 16.88059701] ; [53.88059701 22.11940299],0
p5,1,0.130284,2.289123,[ 2 54] ; [ 8 67],[ 4.27480916 51.72519084] ; [ 5.72519084 69.27480916],0
p8,1,0.140923,2.16785,[20 37] ; [35 38],[24.11538462 32.88461538] ; [30.88461538 42.11538462],0
u3,1,0.143802,2.136792,[12 27] ; [17 19],[15.08 23.92] ; [13.92 22.08],0
d2,1,0.149794,2.074348,[15 43] ; [12 64],[11.68656716 46.31343284] ; [15.31343284 60.68656716],0
p7,1,0.151011,2.062004,[24 33] ; [40 33],[28.06153846 28.93846154] ; [35.93846154 37.06153846],0
a2,1,0.186718,1.743324,[ 2 56] ; [ 7 69],[ 3.89552239 54.10447761] ; [ 5.10447761 70.89552239],0
b1,1,0.197323,1.66208,[27 31] ; [27 49],[23.37313433 34.62686567] ; [30.62686567 45.37313433],0
s7,1,0.206251,1.597548,[ 8 46] ; [17 54],[10.8 43.2] ; [14.2 56.8],0
p1,1,0.230332,1.43881,[ 5 52] ; [12 64],[ 7.28571429 49.71428571] ; [ 9.71428571 66.28571429],0
a1,1,0.236891,1.399,[ 4 54] ; [ 2 74],[ 2.59701493 55.40298507] ; [ 3.40298507 72.59701493],0
s2,1,0.245407,1.349262,[10 48] ; [19 55],[12.74242424 45.25757576] ; [16.25757576 57.74242424],0
s1,1,0.257341,1.283004,[ 2 56] ; [ 6 67],[ 3.54198473 54.45801527] ; [ 4.45801527 68.54198473],0
p6,1,0.261373,1.261468,[12 45] ; [22 52],[14.79389313 42.20610687] ; [19.20610687 54.79389313],0
p2,1,0.450905,0.568376,[37 20] ; [54 22],[39. 18.] ; [52. 24.],0
d1,1,0.453676,0.561451,[ 1 57] ; [ 3 73],[ 1.73134328 56.26865672] ; [ 2.26865672 73.73134328],0
u2,1,0.456014,0.555661,[13 26] ; [15 21],[14.56 24.44] ; [13.44 22.56],0
s5,1,0.460723,0.544138,[ 7 51] ; [12 60],[ 8.47692308 49.52307692] ; [10.52307692 61.47692308],0
a4,1,0.529989,0.394413,[10 48] ; [16 58],[11.42424242 46.57575758] ; [14.57575758 59.42424242],0
b5,1,0.589241,0.291531,[34 24] ; [41 35],[32.46268657 25.53731343] ; [42.53731343 33.46268657],0
p9,1,0.603436,0.269844,[35 20] ; [51 24],[36.38461538 18.61538462] ; [49.61538462 25.38461538],0
n1,1,0.673214,0.177866,[ 7 16] ; [ 8 14],[ 7.66666667 15.33333333] ; [ 7.33333333 14.66666667],0
d5,1,0.722672,0.125947,[23 34] ; [33 43],[24. 33.] ; [32. 44.],0
s4,1,0.832138,0.044927,[10 48] ; [14 61],[10.46616541 47.53383459] ; [13.53383459 61.46616541],0
n3,1,0.861663,0.030366,[17  6] ; [16  5],[17.25  5.75] ; [15.75  5.25],0
n5,1,0.905783,0.014009,[42 16] ; [55 20],[42.30075188 15.69924812] ; [54.69924812 20.30075188],0
a8,1,0.938698,0.005915,[ 5 50] ; [ 6 63],[ 4.87903226 50.12096774] ; [ 6.12096774 62.87903226],0
b4,1,0.962623,0.002196,[30 28] ; [39 37],[29.86567164 28.13432836] ; [39.13432836 36.86567164],0
