Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.811233,[2 6] ; [76 10],[6.63829787 1.36170213] ; [71.36170213 14.63829787],1
s6,1,0.034259,4.481707,[2 6] ; [52 30],[4.8 3.2] ; [49.2 32.8],0
r1,1,0.036695,4.364522,[3 5] ; [62 23],[5.59139785 2.40860215] ; [59.40860215 25.59139785],0
p9,1,0.079052,3.084293,[4 4] ; [67 19],[6.04255319 1.95744681] ; [64.95744681 21.04255319],0
v4,1,0.083597,2.993538,[6 2] ; [79  6],[7.31182796 0.68817204] ; [77.68817204  7.31182796],0
a7,1,0.105148,2.625667,[3 5] ; [57 29],[5.10638298 2.89361702] ; [54.89361702 31.10638298],0
d5,1,0.123124,2.377128,[2 6] ; [46 40],[4.08510638 3.91489362] ; [43.91489362 42.08510638],0
r2,1,0.125199,2.35105,[6 2] ; [78  7],[7.22580645 0.77419355] ; [76.77419355  8.22580645],0
v1,1,0.147746,2.095372,[2 6] ; [44 41],[3.95698925 4.04301075] ; [42.04301075 42.95698925],0
a6,1,0.161366,1.961378,[3 5] ; [54 32],[4.85106383 3.14893617] ; [52.14893617 33.85106383],0
n2,1,0.168598,1.895363,[4 3] ; [15  3],[5.32 1.68] ; [13.68  4.32],0
u2,1,0.172034,1.865132,[3 1] ; [15 23],[1.71428571 2.28571429] ; [16.28571429 21.71428571],0
b2,1,0.260307,1.267121,[3 4] ; [13 43],[1.77777778 5.22222222] ; [14.22222222 41.77777778],0
b3,1,0.260307,1.267121,[3 4] ; [13 43],[1.77777778 5.22222222] ; [14.22222222 41.77777778],0
n1,1,0.276116,1.186108,[5 2] ; [8 9],[3.79166667 3.20833333] ; [9.20833333 7.79166667],0
n3,1,0.28497,1.143235,[5 2] ; [16  2],[5.88 1.12] ; [15.12  2.88],0
p8,1,0.288696,1.125694,[5 2] ; [43 42],[3.65217391 3.34782609] ; [44.34782609 40.65217391],0
v2,1,0.288696,1.125694,[2 5] ; [42 43],[3.34782609 3.65217391] ; [40.65217391 44.34782609],0
p7,1,0.289029,1.12414,[7 1] ; [60 26],[5.70212766 2.29787234] ; [61.29787234 24.70212766],0
b1,1,0.289209,1.123302,[5 3] ; [37 49],[3.57446809 4.42553191] ; [38.42553191 47.57446809],0
p10,1,0.30072,1.070997,[5 3] ; [66 18],[6.17391304 1.82608696] ; [64.82608696 19.17391304],0
s1,1,0.356266,0.851013,[1 7] ; [ 4 80],[0.43478261 7.56521739] ; [ 4.56521739 79.43478261],0
u3,1,0.392578,0.730941,[1 3] ; [18 20],[1.80952381 2.19047619] ; [17.19047619 20.80952381],0
p3,1,0.450166,0.570235,[4 4] ; [54 31],[4.98924731 3.01075269] ; [53.01075269 31.98924731],0
b4,1,0.459747,0.546512,[5 3] ; [42 44],[4. 4.] ; [43. 43.],0
n4,1,0.478584,0.502087,[5 3] ; [63 22],[5.84946237 2.15053763] ; [62.15053763 22.84946237],0
a5,1,0.563993,0.332838,[4 4] ; [52 34],[4.76595745 3.23404255] ; [51.23404255 34.76595745],0
p11,1,0.566252,0.328995,[5 3] ; [62 24],[5.70212766 2.29787234] ; [61.29787234 24.70212766],0
p12,1,0.569238,0.323958,[1 7] ; [ 6 80],[0.59574468 7.40425532] ; [ 6.40425532 79.59574468],0
p6,1,0.609503,0.260899,[4 4] ; [35 51],[3.31914894 4.68085106] ; [35.68085106 50.31914894],0
s7,1,0.613655,0.254887,[3 5] ; [37 42],[3.67816092 4.32183908] ; [36.32183908 42.67816092],0
n6,1,0.660138,0.193356,[6 2] ; [70 16],[6.46808511 1.53191489] ; [69.53191489 16.46808511],0
d2,1,0.67034,0.181204,[3 5] ; [26 60],[2.46808511 5.53191489] ; [26.53191489 59.46808511],0
v3,1,0.691008,0.157996,[2 5] ; [31 55],[2.48387097 4.51612903] ; [30.51612903 55.48387097],0
s4,1,0.712303,0.135988,[1 7] ; [15 70],[1.37634409 6.62365591] ; [14.62365591 70.37634409],0
p1,1,0.72203,0.126556,[1 7] ; [15 71],[1.36170213 6.63829787] ; [14.63829787 71.36170213],0
p2,1,0.72203,0.126556,[7 1] ; [71 15],[6.63829787 1.36170213] ; [71.36170213 14.63829787],0
d3,1,0.723116,0.125527,[3 5] ; [27 59],[2.55319149 5.44680851] ; [27.44680851 58.55319149],0
s3,1,0.738786,0.111196,[4 3] ; [43 42],[3.57608696 3.42391304] ; [43.42391304 41.57608696],0
a3,1,0.751717,0.100094,[4 4] ; [48 38],[4.42553191 3.57446809] ; [47.57446809 38.42553191],0
b5,1,0.800592,0.063797,[4 4] ; [47 39],[4.34042553 3.65957447] ; [46.65957447 39.34042553],0
a4,1,0.845445,0.037999,[2 6] ; [24 61],[2.23655914 5.76344086] ; [23.76344086 61.23655914],0
s8,1,0.860073,0.031075,[3 5] ; [35 51],[3.23404255 4.76595745] ; [34.76595745 51.23404255],0
n5,1,0.864073,0.029307,[6 2] ; [66 19],[6.19354839 1.80645161] ; [65.80645161 19.19354839],0
p5,1,0.952878,0.003492,[1 6] ; [13 73],[1.05376344 5.94623656] ; [12.94623656 73.05376344],0
s2,1,0.973413,0.001111,[3 5] ; [31 53],[2.95652174 5.04347826] ; [31.04347826 52.95652174],0
