Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,28.61643,[18 75] ; [21  8],[29.7295082 63.2704918] ; [ 9.2704918 19.7295082],1
p6,1,0.000789,11.267584,[12 81] ; [11 15],[17.97478992 75.02521008] ; [ 5.02521008 20.97478992],1
p2,1,0.00239,9.222851,[41 53] ; [22  7],[48.14634146 45.85365854] ; [14.85365854 14.14634146],0
d3,1,0.007106,7.246011,[48 46] ; [23  6],[54.2601626 39.7398374] ; [16.7398374 12.2601626],0
v2,1,0.013716,6.074331,[30 61] ; [17 12],[35.64166667 55.35833333] ; [11.35833333 17.64166667],0
p4,1,0.014529,5.972669,[23 71] ; [14 15],[28.27642276 65.72357724] ; [ 8.72357724 20.27642276],0
r3,1,0.0222,5.230009,[67 25] ; [27  2],[71.47107438 20.52892562] ; [22.52892562  6.47107438],0
s8,1,0.035869,4.403327,[ 9 84] ; [ 7 21],[12.29752066 80.70247934] ; [ 3.70247934 24.29752066],0
b3,1,0.036669,4.36574,[24 41] ; [ 2 16],[20.36144578 44.63855422] ; [ 5.63855422 12.36144578],0
b2,1,0.036669,4.36574,[24 41] ; [ 2 16],[20.36144578 44.63855422] ; [ 5.63855422 12.36144578],0
a6,1,0.048218,3.902362,[52 42] ; [22  7],[56.55284553 37.44715447] ; [17.44715447 11.55284553],0
d1,1,0.052032,3.774733,[39 55] ; [18 11],[43.56097561 50.43902439] ; [13.43902439 15.56097561],0
r4,1,0.052581,3.757198,[56 38] ; [23  6],[60.37398374 33.62601626] ; [18.62601626 10.37398374],0
p3,1,0.070949,3.26093,[20 74] ; [11 18],[23.69105691 70.30894309] ; [ 7.30894309 21.69105691],0
b5,1,0.091371,2.850053,[55 39] ; [22  7],[58.84552846 35.15447154] ; [18.15447154 10.84552846],0
a4,1,0.092914,2.823144,[42 51] ; [ 8 21],[38.1147541 54.8852459] ; [11.8852459 17.1147541],0
n5,1,0.165174,1.926203,[49 44] ; [11 18],[45.73770492 47.26229508] ; [14.26229508 14.73770492],0
v4,1,0.179206,1.804193,[69 24] ; [25  4],[71.6557377 21.3442623] ; [22.3442623  6.6557377],0
b1,1,0.188987,1.725498,[52 42] ; [12 17],[48.91056911 45.08943089] ; [15.08943089 13.91056911],0
p11,1,0.188987,1.725498,[42 52] ; [17 12],[45.08943089 48.91056911] ; [13.91056911 15.08943089],0
a5,1,0.204874,1.607287,[49 45] ; [19 10],[51.96747967 42.03252033] ; [16.03252033 12.96747967],0
p1,1,0.221752,1.492995,[ 4 89] ; [ 3 26],[ 5.33606557 87.66393443] ; [ 1.66393443 27.33606557],0
v1,1,0.258917,1.274536,[28 65] ; [12 17],[30.49180328 62.50819672] ; [ 9.50819672 19.49180328],0
a8,1,0.316031,1.005302,[10 78] ; [ 1 22],[ 8.72072072 79.27927928] ; [ 2.27927928 20.72072072],0
d5,1,0.316328,1.004067,[62 32] ; [22  7],[64.19512195 29.80487805] ; [19.80487805  9.19512195],0
n4,1,0.360427,0.836403,[57 36] ; [15 14],[54.8852459 38.1147541] ; [17.1147541 11.8852459],0
s2,1,0.377709,0.778144,[ 8 85] ; [ 4 24],[ 9.2231405 83.7768595] ; [ 2.7768595 25.2231405],0
u2,1,0.381571,0.765633,[14 25] ; [6 6],[15.29411765 23.70588235] ; [4.70588235 7.29411765],0
a7,1,0.390991,0.735857,[52 40] ; [19 10],[53.98347107 38.01652893] ; [17.01652893 11.98347107],0
v3,1,0.411805,0.673584,[19 71] ; [ 8 20],[20.59322034 69.40677966] ; [ 6.40677966 21.59322034],0
s5,1,0.463233,0.538071,[11 80] ; [ 2 26],[ 9.94117647 81.05882353] ; [ 3.05882353 24.94117647],0
s7,1,0.488106,0.480699,[11 76] ; [ 5 23],[12.10434783 74.89565217] ; [ 3.89565217 24.10434783],0
n6,1,0.528491,0.397293,[57 36] ; [19  9],[58.41322314 34.58677686] ; [17.58677686 10.41322314],0
p9,1,0.529752,0.394868,[24 68] ; [ 9 19],[25.3 66.7] ; [ 7.7 20.3],0
r2,1,0.546309,0.363971,[74 17] ; [25  4],[75.075 15.925] ; [23.925  5.075],0
d2,1,0.567865,0.326268,[42 50] ; [15 14],[43.33884298 48.66115702] ; [13.66115702 15.33884298],0
n1,1,0.586078,0.296512,[15 28] ; [2 6],[14.33333333 28.66666667] ; [2.66666667 5.33333333],0
n2,1,0.598311,0.277551,[24 18] ; [6 3],[24.70588235 17.29411765] ; [5.29411765 3.70588235],0
r1,1,0.62557,0.238117,[55 38] ; [18 10],[56.10743802 36.89256198] ; [16.89256198 11.10743802],0
n3,1,0.652109,0.203252,[24 17] ; [6 3],[24.6 16.4] ; [5.4 3.6],0
u3,1,0.70898,0.139298,[18 23] ; [6 6],[18.56603774 22.43396226] ; [5.43396226 6.56603774],0
d4,1,0.712966,0.135332,[64 29] ; [21  8],[64.79508197 28.20491803] ; [20.20491803  8.79508197],0
b4,1,0.831536,0.045255,[53 41] ; [17 12],[53.49593496 40.50406504] ; [16.50406504 12.49593496],0
s6,1,0.843105,0.039174,[25 68] ; [ 7 21],[24.59504132 68.40495868] ; [ 7.40495868 20.59504132],0
s1,1,0.86496,0.028922,[ 4 89] ; [ 1 27],[ 3.84297521 89.15702479] ; [ 1.15702479 26.84297521],0
a3,1,0.876734,0.024059,[53 40] ; [17 12],[53.36065574 39.63934426] ; [16.63934426 12.36065574],0
a2,1,0.95551,0.003112,[19 75] ; [ 6 23],[19.10569106 74.89430894] ; [ 5.89430894 23.10569106],0
u1,1,0.964157,0.002019,[10 84] ; [ 3 26],[ 9.93495935 84.06504065] ; [ 3.06504065 25.93495935],0
