Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.666023,[ 5 32] ; [24 11],[14.90277778 22.09722222] ; [14.09722222 20.90277778],1
s8,1,0.009147,6.793842,[ 9 28] ; [19 16],[14.38888889 22.61111111] ; [13.61111111 21.38888889],0
s7,1,0.013433,6.111111,[10 23] ; [20 13],[15. 18.] ; [15. 18.],0
a4,1,0.015294,5.882317,[10 27] ; [ 2 33],[ 6.16666667 30.83333333] ; [ 5.83333333 29.16666667],0
d3,1,0.016364,5.76336,[ 8 29] ; [17 18],[12.84722222 24.15277778] ; [12.15277778 22.84722222],0
p11,1,0.016634,5.734584,[33  4] ; [23 12],[28.77777778  8.22222222] ; [27.22222222  7.77777778],0
s6,1,0.023169,5.1558,[17 20] ; [24  9],[21.67142857 15.32857143] ; [19.32857143 13.67142857],0
n6,1,0.023374,5.140529,[26 11] ; [32  3],[29.80555556  7.19444444] ; [28.19444444  6.80555556],0
r4,1,0.028253,4.812539,[28  9] ; [33  2],[31.34722222  5.65277778] ; [29.65277778  5.34722222],0
u2,1,0.062197,3.47782,[9 5] ; [ 6 13],[6.36363636 7.63636364] ; [ 8.63636364 10.36363636],0
v3,1,0.09883,2.724324,[15 22] ; [21 14],[18.5 18.5] ; [17.5 17.5],0
p8,1,0.101008,2.689554,[23 14] ; [15 20],[19.52777778 17.47222222] ; [18.47222222 16.52777778],0
a2,1,0.102013,2.67378,[ 5 32] ; [ 1 34],[ 3.08333333 33.91666667] ; [ 2.91666667 32.08333333],0
a7,1,0.107739,2.58708,[22 15] ; [27  8],[25.18055556 11.81944444] ; [23.81944444 11.18055556],0
p5,1,0.156421,2.008494,[ 6 31] ; [ 2 33],[ 4.11111111 32.88888889] ; [ 3.88888889 31.11111111],0
a3,1,0.161519,1.959943,[23 14] ; [16 19],[20.04166667 16.95833333] ; [18.95833333 16.04166667],0
p4,1,0.162851,1.947551,[25 12] ; [18 17],[22.09722222 14.90277778] ; [20.90277778 14.09722222],0
p12,1,0.184534,1.760728,[ 4 33] ; [ 1 34],[ 2.56944444 34.43055556] ; [ 2.43055556 32.56944444],0
s4,1,0.203647,1.616021,[ 2 35] ; [ 5 30],[ 3.59722222 33.40277778] ; [ 3.40277778 31.59722222],0
b4,1,0.232513,1.42542,[17 20] ; [21 14],[19.52777778 17.47222222] ; [18.47222222 16.52777778],0
d2,1,0.282055,1.15716,[ 9 28] ; [ 5 30],[ 7.19444444 29.80555556] ; [ 6.80555556 28.19444444],0
p6,1,0.313327,1.0166,[17 20] ; [12 23],[14.90277778 22.09722222] ; [14.09722222 20.90277778],0
r3,1,0.330951,0.945174,[34  3] ; [34  1],[34.94444444  2.05555556] ; [33.05555556  1.94444444],0
p3,1,0.348766,0.87794,[21 16] ; [16 19],[19.01388889 17.98611111] ; [17.98611111 17.01388889],0
n4,1,0.364596,0.822002,[25 12] ; [27  8],[26.72222222 10.27777778] ; [25.27777778  9.72222222],0
a8,1,0.372533,0.795198,[ 2 33] ; [ 4 30],[ 3.04347826 31.95652174] ; [ 2.95652174 31.04347826],0
b1,1,0.448888,0.573458,[17 20] ; [13 22],[15.41666667 21.58333333] ; [14.58333333 20.41666667],0
a6,1,0.50402,0.446461,[25 12] ; [21 14],[23.63888889 13.36111111] ; [22.36111111 12.63888889],0
p1,1,0.504821,0.444788,[ 5 32] ; [ 3 32],[ 4.11111111 32.88888889] ; [ 3.88888889 31.11111111],0
d1,1,0.522718,0.408528,[ 1 36] ; [ 2 33],[ 1.54166667 35.45833333] ; [ 1.45833333 33.54166667],0
v4,1,0.573883,0.316228,[35  2] ; [31  3],[34.3943662  2.6056338] ; [31.6056338  2.3943662],0
u1,1,0.588625,0.292496,[ 2 35] ; [ 1 34],[ 1.54166667 35.45833333] ; [ 1.45833333 33.54166667],0
b2,1,0.618775,0.247593,[ 8 16] ; [ 5 14],[ 7.25581395 16.74418605] ; [ 5.74418605 13.25581395],0
b3,1,0.618775,0.247593,[ 8 16] ; [ 5 14],[ 7.25581395 16.74418605] ; [ 5.74418605 13.25581395],0
b5,1,0.622048,0.243,[19 18] ; [20 15],[20.04166667 16.95833333] ; [18.95833333 16.04166667],0
d5,1,0.622048,0.243,[18 19] ; [15 20],[16.95833333 20.04166667] ; [16.04166667 18.95833333],0
p9,1,0.668777,0.183036,[32  5] ; [29  6],[31.34722222  5.65277778] ; [29.65277778  5.34722222],0
p2,1,0.680881,0.169136,[30  7] ; [27  8],[29.29166667  7.70833333] ; [27.70833333  7.29166667],0
r1,1,0.682762,0.167033,[29  8] ; [26  9],[28.26388889  8.73611111] ; [26.73611111  8.26388889],0
v1,1,0.7605,0.092918,[22 15] ; [19 15],[21.36619718 15.63380282] ; [19.63380282 14.36619718],0
n1,1,0.782935,0.075898,[4 7] ; [3 4],[4.27777778 6.72222222] ; [2.72222222 4.27777778],0
s5,1,0.823414,0.049799,[10 27] ; [10 24],[10.42253521 26.57746479] ; [ 9.57746479 24.42253521],0
n5,1,0.832468,0.044748,[27  9] ; [27  8],[27.38028169  8.61971831] ; [26.61971831  8.38028169],0
a5,1,0.8508,0.035381,[23 14] ; [21 14],[22.61111111 14.38888889] ; [21.38888889 13.61111111],0
u3,1,0.881162,0.022349,[7 7] ; [ 9 10],[6.78787879 7.21212121] ; [9.21212121 9.78787879],0
p10,1,0.907775,0.01342,[30  7] ; [28  7],[29.80555556  7.19444444] ; [28.19444444  6.80555556],0
p7,1,0.927247,0.008337,[25 12] ; [24 11],[25.18055556 11.81944444] ; [23.81944444 11.18055556],0
