Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,75.601489,[ 4 34] ; [107  18],[25.87730061 12.12269939] ; [85.12269939 39.87730061],1
p11,1,0.0,34.399038,[ 4 34] ; [81 44],[19.81595092 18.18404908] ; [65.18404908 59.81595092],1
v4,1,0.0,31.412259,[16 22] ; [108  17],[28.90797546  9.09202454] ; [95.09202454 29.90797546],1
p10,1,2.1e-05,18.072,[ 8 29] ; [75 47],[19.31446541 17.68553459] ; [63.68553459 58.31446541],1
n6,1,5.9e-05,16.142857,[14 23] ; [92 33],[24.20987654 12.79012346] ; [81.79012346 43.20987654],1
p9,1,6.4e-05,15.970824,[ 8 27] ; [74 47],[18.3974359 16.6025641] ; [63.6025641 57.3974359],1
s2,1,9.4e-05,15.258097,[ 3 35] ; [52 71],[12.98136646 25.01863354] ; [42.01863354 80.98136646],1
v2,1,0.000118,14.829919,[ 5 32] ; [58 60],[15.03870968 21.96129032] ; [47.96129032 70.03870968],1
r1,1,0.000162,14.2323,[15 23] ; [91 34],[24.71165644 13.28834356] ; [81.28834356 43.71165644],1
s6,1,0.000497,12.127817,[ 7 31] ; [62 61],[16.28571429 21.71428571] ; [52.71428571 70.28571429],1
r2,1,0.000966,10.89095,[24 12] ; [110  13],[30.33962264  5.66037736] ; [103.66037736  19.33962264],1
s8,1,0.002457,9.171996,[ 3 35] ; [41 84],[10.25766871 27.74233129] ; [33.74233129 91.25766871],0
b5,1,0.005393,7.742571,[14 24] ; [78 47],[21.44785276 16.55214724] ; [70.55214724 54.44785276],0
n3,1,0.006091,7.523148,[ 7 13] ; [32 13],[12.  8.] ; [27. 18.],0
a1,1,0.007849,7.067652,[ 8 30] ; [  8 117],[ 3.73006135 34.26993865] ; [ 12.26993865 112.73006135],0
s5,1,0.01443,5.984723,[ 2 36] ; [27 90],[ 7.10967742 30.89032258] ; [21.89032258 95.10967742],0
s7,1,0.017665,5.629062,[ 5 30] ; [41 75],[10.66225166 24.33774834] ; [35.33774834 80.66225166],0
u3,1,0.01797,5.599093,[ 3 11] ; [27 20],[6.8852459 7.1147541] ; [23.1147541 23.8852459],0
s3,1,0.019741,5.434637,[ 9 27] ; [58 66],[15.075 20.925] ; [51.925 72.075],0
p1,1,0.023109,5.160322,[ 6 32] ; [  6 119],[ 2.79754601 35.20245399] ; [  9.20245399 115.79754601],0
u1,1,0.025194,5.010515,[ 1 37] ; [ 21 104],[ 5.12883436 32.87116564] ; [ 16.87116564 108.12883436],0
p4,1,0.028395,4.803903,[ 4 33] ; [35 88],[ 9.01875 27.98125] ; [29.98125 93.01875],0
u2,1,0.030634,4.673358,[ 3 11] ; [25 21],[6.53333333 7.46666667] ; [21.46666667 24.53333333],0
n2,1,0.042344,4.121404,[10 11] ; [35 13],[13.69565217  7.30434783] ; [31.30434783 16.69565217],0
d4,1,0.051111,3.804639,[23 15] ; [95 29],[27.67901235 10.32098765] ; [90.32098765 33.67901235],0
s1,1,0.073084,3.212368,[ 6 32] ; [  8 116],[ 3.28395062 34.71604938] ; [ 10.71604938 113.28395062],0
v1,1,0.113675,2.502367,[ 8 30] ; [42 79],[11.94968553 26.05031447] ; [38.05031447 82.94968553],0
p7,1,0.124441,2.360512,[ 5 31] ; [32 90],[ 8.43037975 27.56962025] ; [28.56962025 93.43037975],0
n5,1,0.13902,2.188776,[28 10] ; [75 49],[24.16049383 13.83950617] ; [78.83950617 45.16049383],0
p3,1,0.152313,2.048932,[ 6 32] ; [34 91],[ 9.32515337 28.67484663] ; [30.67484663 94.32515337],0
a7,1,0.172676,1.859555,[19 19] ; [78 47],[22.61349693 15.38650307] ; [74.38650307 50.61349693],0
b1,1,0.214517,1.540676,[22 16] ; [58 67],[18.65030675 19.34969325] ; [61.34969325 63.65030675],0
n1,1,0.227752,1.454844,[12  9] ; [19 27],[ 9.71641791 11.28358209] ; [21.28358209 24.71641791],0
b3,1,0.238291,1.390673,[13 16] ; [24 50],[10.41747573 18.58252427] ; [26.58252427 47.41747573],0
b2,1,0.238291,1.390673,[13 16] ; [24 50],[10.41747573 18.58252427] ; [26.58252427 47.41747573],0
d3,1,0.238454,1.389709,[17 21] ; [69 55],[20.17283951 17.82716049] ; [65.82716049 58.17283951],0
a5,1,0.287397,1.131776,[21 17] ; [81 44],[23.7791411 14.2208589] ; [78.2208589 46.7791411],0
d5,1,0.310183,1.029898,[23 15] ; [86 38],[25.56790123 12.43209877] ; [83.43209877 40.56790123],0
p5,1,0.334392,0.931813,[ 3 34] ; [  5 116],[ 1.87341772 35.12658228] ; [  6.12658228 114.87341772],0
v3,1,0.334683,0.930692,[10 28] ; [40 75],[12.41830065 25.58169935] ; [37.58169935 77.41830065],0
s4,1,0.372972,0.79374,[ 5 33] ; [24 99],[ 6.8447205 31.1552795] ; [ 22.1552795 100.8447205],0
a8,1,0.443552,0.587077,[ 2 33] ; [ 12 109],[ 3.14102564 31.85897436] ; [ 10.85897436 110.14102564],0
d1,1,0.469126,0.524034,[16 22] ; [61 64],[17.95092025 20.04907975] ; [59.04907975 65.95092025],0
a2,1,0.495905,0.463689,[ 6 32] ; [26 99],[ 7.4601227 30.5398773] ; [ 24.5398773 100.4601227],0
n4,1,0.49882,0.457447,[26 12] ; [78 47],[24.24539877 13.75460123] ; [79.75460123 45.24539877],0
p8,1,0.58827,0.293054,[ 7 30] ; [ 19 106],[ 5.9382716 31.0617284] ; [ 20.0617284 104.9382716],0
a3,1,0.63968,0.219161,[24 12] ; [78 47],[22.80745342 13.19254658] ; [79.19254658 45.80745342],0
a6,1,0.82806,0.047171,[21 17] ; [71 53],[21.58024691 16.41975309] ; [70.41975309 53.58024691],0
d2,1,0.873215,0.025465,[18 19] ; [58 65],[17.575 19.425] ; [58.425 64.575],0
a4,1,0.937437,0.006161,[15 21] ; [53 72],[15.20496894 20.79503106] ; [52.79503106 72.20496894],0
b4,1,0.99453,4.7e-05,[21 17] ; [69 56],[20.98159509 17.01840491] ; [69.01840491 55.98159509],0
