Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000142,14.481914,[5 3] ; [ 1 25],[1.41176471 6.58823529] ; [ 4.58823529 21.41176471],1
s8,1,0.008255,6.977265,[5 3] ; [ 4 22],[2.11764706 5.88235294] ; [ 6.88235294 19.11764706],0
s6,1,0.008777,6.867655,[7 1] ; [ 9 17],[3.76470588 4.23529412] ; [12.23529412 13.76470588],0
v1,1,0.037132,4.34433,[5 3] ; [ 6 20],[2.58823529 5.41176471] ; [ 8.41176471 17.58823529],0
s5,1,0.037371,4.333422,[3 5] ; [ 2 24],[1.17647059 6.82352941] ; [ 3.82352941 22.17647059],0
n3,1,0.052353,3.764444,[1 3] ; [8 2],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
a2,1,0.065085,3.402812,[2 6] ; [ 1 25],[0.70588235 7.29411765] ; [ 2.29411765 23.70588235],0
p5,1,0.072124,3.234,[2 6] ; [ 1 24],[0.72727273 7.27272727] ; [ 2.27272727 22.72727273],0
d3,1,0.086736,2.933925,[7 1] ; [14 12],[4.94117647 3.05882353] ; [16.05882353  9.94117647],0
p10,1,0.086736,2.933925,[7 1] ; [14 12],[4.94117647 3.05882353] ; [16.05882353  9.94117647],0
r1,1,0.106312,2.608199,[5 3] ; [ 8 18],[3.05882353 4.94117647] ; [ 9.94117647 16.05882353],0
p9,1,0.12289,2.380099,[7 1] ; [15 11],[5.17647059 2.82352941] ; [16.82352941  9.17647059],0
p2,1,0.12289,2.380099,[7 1] ; [15 11],[5.17647059 2.82352941] ; [16.82352941  9.17647059],0
d5,1,0.169879,1.884007,[7 1] ; [16 10],[5.41176471 2.58823529] ; [17.58823529  8.41176471],0
p11,1,0.229948,1.441186,[7 1] ; [17  9],[5.64705882 2.35294118] ; [18.35294118  7.64705882],0
n2,1,0.236724,1.4,[1 3] ; [6 4],[2. 2.] ; [5. 5.],0
a5,1,0.287728,1.13022,[6 2] ; [14 12],[4.70588235 3.29411765] ; [15.29411765 10.70588235],0
a6,1,0.287728,1.13022,[6 2] ; [14 12],[4.70588235 3.29411765] ; [15.29411765 10.70588235],0
p7,1,0.31702,1.001202,[5 3] ; [11 15],[3.76470588 4.23529412] ; [12.23529412 13.76470588],0
p8,1,0.356957,0.848571,[4 4] ; [ 8 17],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
a3,1,0.36214,0.83046,[3 5] ; [14 11],[4.12121212 3.87878788] ; [12.87878788 12.12121212],0
u2,1,0.394344,0.725505,[4 1] ; [7 5],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
b1,1,0.418741,0.653846,[5 3] ; [12 14],[4. 4.] ; [13. 13.],0
d2,1,0.418741,0.653846,[3 5] ; [ 6 20],[2.11764706 5.88235294] ; [ 6.88235294 19.11764706],0
b5,1,0.433612,0.61313,[4 4] ; [17  9],[4.94117647 3.05882353] ; [16.05882353  9.94117647],0
r3,1,0.455522,0.556875,[5 3] ; [19  6],[5.81818182 2.18181818] ; [18.18181818  6.81818182],0
v4,1,0.485972,0.485431,[6 2] ; [16 10],[5.17647059 2.82352941] ; [16.82352941  9.17647059],0
a8,1,0.488609,0.479588,[1 7] ; [ 6 19],[1.6969697 6.3030303] ; [ 5.3030303 19.6969697],0
r4,1,0.565867,0.329647,[3 5] ; [ 7 19],[2.35294118 5.64705882] ; [ 7.64705882 18.35294118],0
d1,1,0.565867,0.329647,[3 5] ; [ 7 19],[2.35294118 5.64705882] ; [ 7.64705882 18.35294118],0
s2,1,0.66233,0.190705,[1 7] ; [ 5 21],[1.41176471 6.58823529] ; [ 4.58823529 21.41176471],0
u1,1,0.675038,0.175765,[1 7] ; [ 2 24],[0.70588235 7.29411765] ; [ 2.29411765 23.70588235],0
v2,1,0.701585,0.146829,[4 4] ; [11 15],[3.52941176 4.47058824] ; [11.47058824 14.52941176],0
p4,1,0.701585,0.146829,[4 4] ; [11 15],[3.52941176 4.47058824] ; [11.47058824 14.52941176],0
b4,1,0.701585,0.146829,[4 4] ; [15 11],[4.47058824 3.52941176] ; [14.52941176 11.47058824],0
b2,1,0.709815,0.138462,[2 3] ; [4 9],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
b3,1,0.709815,0.138462,[2 3] ; [4 9],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
a4,1,0.75415,0.098077,[2 6] ; [ 8 18],[2.35294118 5.64705882] ; [ 7.64705882 18.35294118],0
p3,1,0.763341,0.090659,[2 6] ; [ 5 20],[1.6969697 6.3030303] ; [ 5.3030303 19.6969697],0
n6,1,0.809076,0.058379,[5 3] ; [15 11],[4.70588235 3.29411765] ; [15.29411765 10.70588235],0
s4,1,0.840344,0.040584,[1 7] ; [ 4 22],[1.17647059 6.82352941] ; [ 3.82352941 22.17647059],0
n5,1,0.848846,0.036325,[4 4] ; [14 12],[4.23529412 3.76470588] ; [13.76470588 12.23529412],0
p6,1,0.86829,0.0275,[2 6] ; [ 7 18],[2.18181818 5.81818182] ; [ 6.81818182 18.18181818],0
s3,1,0.914143,0.011624,[2 6] ; [ 7 19],[2.11764706 5.88235294] ; [ 6.88235294 19.11764706],0
d4,1,0.914143,0.011624,[6 2] ; [19  7],[5.88235294 2.11764706] ; [19.11764706  6.88235294],0
p12,1,0.941157,0.005449,[1 7] ; [ 3 23],[0.94117647 7.05882353] ; [ 3.05882353 22.94117647],0
n4,1,1.0,0.0,[4 4] ; [13 13],[4. 4.] ; [13. 13.],0
