Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.008739,6.875445,[12 34] ; [10  6],[16.32258065 29.67741935] ; [ 5.67741935 10.32258065],0
s7,1,0.018569,5.541684,[ 6 35] ; [7 9],[ 9.35087719 31.64912281] ; [ 3.64912281 12.35087719],0
a3,1,0.027564,4.855145,[25 19] ; [14  2],[28.6 15.4] ; [10.4  5.6],0
v2,1,0.065616,3.389432,[ 7 38] ; [ 6 10],[ 9.59016393 35.40983607] ; [ 3.40983607 12.59016393],0
s1,1,0.068396,3.321091,[ 2 44] ; [ 3 13],[ 3.70967742 42.29032258] ; [ 1.29032258 14.70967742],0
a2,1,0.093797,2.807971,[ 4 42] ; [ 4 12],[ 5.93548387 40.06451613] ; [ 2.06451613 13.93548387],0
u1,1,0.097318,2.748956,[ 1 45] ; [ 2 14],[ 2.22580645 43.77419355] ; [ 0.77419355 15.22580645],0
p12,1,0.097318,2.748956,[ 1 45] ; [ 2 14],[ 2.22580645 43.77419355] ; [ 0.77419355 15.22580645],0
s6,1,0.099024,2.721192,[10 35] ; [7 9],[12.54098361 32.45901639] ; [ 4.45901639 11.54098361],0
p6,1,0.10106,2.688732,[ 4 41] ; [ 4 12],[ 5.90163934 39.09836066] ; [ 2.09836066 13.90163934],0
s8,1,0.109364,2.563386,[ 6 39] ; [ 5 11],[ 8.1147541 36.8852459] ; [ 2.8852459 13.1147541],0
s2,1,0.162059,1.954909,[ 7 39] ; [ 5 11],[ 8.90322581 37.09677419] ; [ 3.09677419 12.90322581],0
p8,1,0.225004,1.472167,[12 32] ; [7 9],[13.93333333 30.06666667] ; [ 5.06666667 10.93333333],0
a5,1,0.249377,1.326789,[24 22] ; [11  5],[25.96774194 20.03225806] ; [9.03225806 6.96774194],0
p1,1,0.262692,1.254515,[ 6 40] ; [ 4 12],[ 7.41935484 38.58064516] ; [ 2.58064516 13.41935484],0
n6,1,0.276558,1.183925,[21 24] ; [10  6],[22.86885246 22.13114754] ; [8.13114754 7.86885246],0
n2,1,0.287728,1.13022,[14 12] ; [6 2],[15.29411765 10.70588235] ; [4.70588235 3.29411765],0
d3,1,0.30079,1.070686,[19 27] ; [9 7],[20.77419355 25.22580645] ; [7.22580645 8.77419355],0
d2,1,0.309705,1.031932,[16 29] ; [8 8],[17.70491803 27.29508197] ; [6.29508197 9.70491803],0
n3,1,0.31218,1.021429,[13 13] ; [2 5],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
s3,1,0.357556,0.846458,[14 29] ; [ 3 12],[12.60344828 30.39655172] ; [ 4.39655172 10.60344828],0
a7,1,0.37782,0.777782,[20 26] ; [9 7],[21.51612903 24.48387097] ; [7.48387097 8.51612903],0
a6,1,0.388052,0.745037,[23 23] ; [10  6],[24.48387097 21.51612903] ; [8.51612903 7.48387097],0
p4,1,0.393904,0.726855,[13 33] ; [6 9],[14.32786885 31.67213115] ; [ 4.67213115 10.32786885],0
u3,1,0.420246,0.649627,[ 5 16] ; [1 1],[ 5.47826087 15.52173913] ; [0.52173913 1.47826087],0
