Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,164.093312,[418  70] ; [ 54 106],[355.45679012 132.54320988] ; [116.54320988  43.45679012],1
n6,1,0.0,42.388148,[438  51] ; [108  51],[412.02777778  76.97222222] ; [133.97222222  25.02777778],1
a5,1,0.0,27.918702,[389 101] ; [94 67],[363.5483871 126.4516129] ; [119.4516129  41.5483871],1
p11,1,4e-06,21.301178,[402  88] ; [104  57],[380.86021505 109.13978495] ; [125.13978495  35.86021505],1
a4,1,5e-06,20.789272,[243 245] ; [ 47 114],[218.05855162 269.94144838] ; [71.94144838 89.05855162],1
p4,1,3e-05,17.397861,[318 168] ; [75 85],[295.6625387 190.3374613] ; [97.3374613 62.6625387],1
r4,1,3.8e-05,16.978264,[467  23] ; [138  23],[455.37634409  34.62365591] ; [149.62365591  11.37634409],1
d2,1,6.1e-05,16.061634,[255 232] ; [ 55 106],[232.97839506 254.02160494] ; [77.02160494 83.97839506],1
a2,1,9.3e-05,15.269045,[161 329] ; [ 27 134],[141.50537634 348.49462366] ; [ 46.49462366 114.50537634],1
a8,1,0.000111,14.943555,[ 72 362] ; [  6 142],[ 58.16494845 375.83505155] ; [ 19.83505155 128.16494845],1
r2,1,0.000115,14.870405,[475  10] ; [147  14],[466.98142415  18.01857585] ; [155.01857585   5.98142415],1
p6,1,0.000238,13.502426,[195 287] ; [ 38 119],[175.75273865 306.24726135] ; [57.24726135 99.75273865],1
p3,1,0.000368,12.689241,[263 224] ; [60 99],[243.5 243.5] ; [79.5 79.5],1
u1,1,0.000392,12.570491,[123 367] ; [ 19 142],[106.88172043 383.11827957] ; [ 35.11827957 125.88172043],1
v1,1,0.000509,12.082118,[275 202] ; [65 91],[256.20853081 220.79146919] ; [83.79146919 72.20853081],1
a3,1,0.000653,11.617691,[362 125] ; [97 64],[344.95833333 142.04166667] ; [114.04166667  46.95833333],1
s7,1,0.000672,11.564784,[239 225] ; [55 99],[220.73786408 243.26213592] ; [73.26213592 80.73786408],1
s4,1,0.001734,9.812019,[ 68 412] ; [ 40 121],[ 80.87363495 399.12636505] ; [ 27.12636505 133.87363495],0
r1,1,0.004066,8.254246,[417  71] ; [121  39],[405.16049383  82.83950617] ; [132.83950617  27.16049383],0
d1,1,0.006899,7.299155,[320 170] ; [86 75],[305.59139785 184.40860215] ; [100.40860215  60.59139785],0
v3,1,0.008989,6.824998,[199 273] ; [ 46 106],[185.32051282 286.67948718] ; [59.67948718 92.32051282],0
p7,1,0.009832,6.665006,[314 163] ; [83 70],[300.58571429 176.41428571] ; [96.41428571 56.58571429],0
n1,1,0.01293,6.178607,[37 46] ; [14 44],[30.0212766 52.9787234] ; [20.9787234 37.0212766],0
p10,1,0.015017,5.914449,[409  76] ; [119  38],[398.87850467  86.12149533] ; [129.12149533  27.87850467],0
s8,1,0.015504,5.858274,[218 266] ; [ 55 106],[204.85581395 279.14418605] ; [68.14418605 92.85581395],0
p5,1,0.019627,5.444807,[ 63 422] ; [ 10 150],[ 54.89147287 430.10852713] ; [ 18.10852713 141.89147287],0
