Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,9.5e-05,15.225564,[ 3 32] ; [9 6],[ 8.4 26.6] ; [ 3.6 11.4],1
p2,1,0.000151,14.359091,[ 9 27] ; [13  3],[15.23076923 20.76923077] ; [6.76923077 9.23076923],1
p9,1,0.001565,10.0,[ 7 25] ; [11  5],[12. 20.] ; [ 6. 10.],0
d3,1,0.002899,8.870232,[11 25] ; [12  4],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
n6,1,0.003253,8.659705,[15 21] ; [13  2],[19.76470588 16.23529412] ; [8.23529412 6.76470588],0
p7,1,0.004454,8.088661,[ 6 29] ; [9 7],[10.29411765 24.70588235] ; [ 4.70588235 11.29411765],0
p3,1,0.005511,7.703704,[ 5 31] ; [8 8],[ 9. 27.] ; [ 4. 12.],0
p10,1,0.00598,7.556169,[ 8 27] ; [10  6],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
p11,1,0.007952,7.044174,[ 7 29] ; [9 7],[11.07692308 24.92307692] ; [ 4.92307692 11.07692308],0
a5,1,0.026389,4.93037,[15 21] ; [12  4],[18.69230769 17.30769231] ; [8.30769231 7.69230769],0
s8,1,0.029558,4.734826,[ 4 31] ; [ 6 10],[ 6.8627451 28.1372549] ; [ 3.1372549 12.8627451],0
p6,1,0.03879,4.270032,[ 3 32] ; [ 5 11],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
s7,1,0.0658,3.384801,[ 5 27] ; [6 9],[ 7.4893617 24.5106383] ; [ 3.5106383 11.4893617],0
s2,1,0.076443,3.138961,[ 4 32] ; [ 5 11],[ 6.23076923 29.76923077] ; [ 2.76923077 13.23076923],0
s6,1,0.111772,2.528984,[ 6 29] ; [ 6 10],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
s1,1,0.136329,2.218913,[ 2 34] ; [ 3 13],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
s3,1,0.145544,2.118347,[ 9 26] ; [7 8],[11.2 23.8] ; [ 4.8 10.2],0
a3,1,0.179021,1.805731,[17 18] ; [11  5],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
a4,1,0.285992,1.138393,[10 25] ; [7 9],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
b2,1,0.296852,1.088284,[10 15] ; [ 3 10],[ 8.55263158 16.44736842] ; [4.44736842 8.55263158],0
b3,1,0.296852,1.088284,[10 15] ; [ 3 10],[ 8.55263158 16.44736842] ; [4.44736842 8.55263158],0
r4,1,0.328324,0.955498,[ 5 31] ; [ 4 12],[ 6.23076923 29.76923077] ; [ 2.76923077 13.23076923],0
r1,1,0.346149,0.887523,[13 23] ; [8 8],[14.53846154 21.46153846] ; [6.46153846 9.53846154],0
p5,1,0.346517,0.88617,[ 2 34] ; [ 2 13],[ 2.82352941 33.17647059] ; [ 1.17647059 13.82352941],0
u2,1,0.35002,0.873383,[ 7 12] ; [3 2],[ 7.91666667 11.08333333] ; [2.08333333 2.91666667],0
d1,1,0.355978,0.852033,[11 25] ; [7 9],[12.46153846 23.53846154] ; [ 5.53846154 10.46153846],0
v4,1,0.370798,0.80099,[20 16] ; [11  5],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
d2,1,0.373934,0.790551,[15 20] ; [9 7],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
a2,1,0.385744,0.752315,[ 2 34] ; [ 2 14],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
