Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.003415,8.571429,[ 3 11] ; [12  4],[7. 7.] ; [8. 8.],0
r3,1,0.007122,7.241944,[ 4 11] ; [12  4],[7.74193548 7.25806452] ; [8.25806452 7.74193548],0
n6,1,0.007655,7.112421,[ 4 10] ; [13  4],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
d2,1,0.00799,7.035817,[ 2 13] ; [10  7],[5.625 9.375] ; [ 6.375 10.625],0
p10,1,0.009545,6.717953,[ 3 11] ; [11  5],[6.53333333 7.46666667] ; [7.46666667 8.53333333],0
v2,1,0.014826,5.936996,[ 1 13] ; [8 9],[4.06451613 9.93548387] ; [ 4.93548387 12.06451613],0
s6,1,0.018569,5.541669,[ 2 13] ; [9 8],[5.15625 9.84375] ; [ 5.84375 11.15625],0
p8,1,0.031154,4.644478,[ 1 13] ; [ 7 10],[ 3.61290323 10.38709677] ; [ 4.38709677 12.61290323],0
p2,1,0.031411,4.630342,[ 4 11] ; [11  6],[7.03125 7.96875] ; [7.96875 9.03125],0
d1,1,0.050603,3.821356,[ 1 14] ; [ 6 11],[ 3.28125 11.71875] ; [ 3.71875 13.28125],0
p4,1,0.054759,3.689412,[ 3 12] ; [9 8],[5.625 9.375] ; [ 6.375 10.625],0
d5,1,0.06727,3.348397,[ 4 11] ; [10  7],[6.5625 8.4375] ; [7.4375 9.5625],0
v3,1,0.099966,2.706083,[ 1 14] ; [ 5 12],[ 2.8125 12.1875] ; [ 3.1875 13.8125],0
n5,1,0.169084,1.891045,[8 7] ; [13  4],[9.84375 5.15625] ; [11.15625  5.84375],0
a5,1,0.169148,1.890482,[7 8] ; [12  5],[8.90625 6.09375] ; [10.09375  6.90625],0
v1,1,0.197156,1.663316,[ 3 12] ; [ 7 10],[ 4.6875 10.3125] ; [ 5.3125 11.6875],0
d3,1,0.197156,1.663316,[ 3 12] ; [ 7 10],[ 4.6875 10.3125] ; [ 5.3125 11.6875],0
s1,1,0.228191,1.452101,[ 3 12] ; [ 1 16],[ 1.875 13.125] ; [ 2.125 14.875],0
u2,1,0.236724,1.4,[1 6] ; [3 4],[2. 5.] ; [2. 5.],0
b1,1,0.287901,1.129412,[9 6] ; [ 7 10],[7.5 7.5] ; [8.5 8.5],0
d4,1,0.314355,1.012288,[8 7] ; [12  5],[9.375 5.625] ; [10.625  6.375],0
b4,1,0.315814,1.006203,[9 6] ; [13  4],[10.3125  4.6875] ; [11.6875  5.3125],0
p1,1,0.348632,0.878431,[ 1 14] ; [ 3 14],[ 1.875 13.125] ; [ 2.125 14.875],0
a8,1,0.36131,0.833333,[ 2 13] ; [ 4 11],[ 3. 12.] ; [ 3. 12.],0
a4,1,0.388476,0.743706,[ 4 11] ; [ 7 10],[5.15625 9.84375] ; [ 5.84375 11.15625],0
s7,1,0.410806,0.676467,[ 2 12] ; [ 4 11],[ 2.89655172 11.10344828] ; [ 3.10344828 11.89655172],0
s4,1,0.470538,0.520712,[ 2 13] ; [ 1 16],[ 1.40625 13.59375] ; [ 1.59375 15.40625],0
n4,1,0.529148,0.396028,[9 6] ; [12  5],[9.84375 5.15625] ; [11.15625  5.84375],0
n2,1,0.558185,0.342857,[3 4] ; [3 2],[3.5 3.5] ; [2.5 2.5],0
p12,1,0.621498,0.243768,[ 1 14] ; [ 2 15],[ 1.40625 13.59375] ; [ 1.59375 15.40625],0
a6,1,0.647434,0.20915,[ 5 10] ; [ 7 10],[5.625 9.375] ; [ 6.375 10.625],0
p7,1,0.647434,0.20915,[ 5 10] ; [ 7 10],[5.625 9.375] ; [ 6.375 10.625],0
a7,1,0.687922,0.161345,[6 9] ; [8 9],[6.5625 8.4375] ; [7.4375 9.5625],0
b5,1,0.754725,0.097603,[8 7] ; [10  7],[8.4375 6.5625] ; [9.5625 7.4375],0
p3,1,0.80955,0.058084,[ 3 12] ; [ 4 13],[ 3.28125 11.71875] ; [ 3.71875 13.28125],0
s3,1,0.873102,0.02551,[ 4 10] ; [ 5 11],[4.2 9.8] ; [ 4.8 11.2],0
a2,1,0.893488,0.017927,[ 2 13] ; [ 2 15],[ 1.875 13.125] ; [ 2.125 14.875],0
b2,1,0.901321,0.015374,[3 8] ; [3 9],[2.86956522 8.13043478] ; [3.13043478 8.86956522],0
b3,1,0.901321,0.015374,[3 8] ; [3 9],[2.86956522 8.13043478] ; [3.13043478 8.86956522],0
r1,1,0.907226,0.013581,[ 5 10] ; [ 6 11],[5.15625 9.84375] ; [ 5.84375 11.15625],0
s2,1,0.915598,0.011232,[ 4 11] ; [ 4 12],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
n1,1,0.921159,0.009796,[3 4] ; [2 3],[2.91666667 4.08333333] ; [2.08333333 2.91666667],0
a3,1,0.924813,0.008906,[8 6] ; [10  7],[8.12903226 5.87096774] ; [9.87096774 7.12903226],0
