Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,8.7e-05,15.390251,[ 4 19] ; [9 1],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],1
s2,1,0.000601,11.774,[ 3 22] ; [7 3],[ 7.14285714 17.85714286] ; [2.85714286 7.14285714],1
p2,1,0.00498,7.886667,[ 7 18] ; [8 2],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
p9,1,0.021947,5.25,[12 13] ; [9 1],[15. 10.] ; [6. 4.],0
p10,1,0.032439,4.575163,[10 15] ; [8 2],[12.85714286 12.14285714] ; [5.14285714 4.85714286],0
p6,1,0.037608,4.32265,[ 4 21] ; [5 5],[ 6.42857143 18.57142857] ; [2.57142857 7.42857143],0
r4,1,0.075927,3.15,[ 5 20] ; [5 5],[ 7.14285714 17.85714286] ; [2.85714286 7.14285714],0
s6,1,0.076729,3.132867,[ 7 18] ; [6 4],[ 9.28571429 15.71428571] ; [3.71428571 6.28571429],0
d3,1,0.084146,2.982955,[15 10] ; [9 1],[17.14285714  7.85714286] ; [6.85714286 3.14285714],0
s5,1,0.084522,2.975726,[ 4 21] ; [4 5],[ 5.88235294 19.11764706] ; [2.11764706 6.88235294],0
d2,1,0.108665,2.573529,[10 15] ; [7 3],[12.14285714 12.85714286] ; [4.85714286 5.14285714],0
d4,1,0.124004,2.366,[16  9] ; [9 1],[17.85714286  7.14285714] ; [7.14285714 2.85714286],0
p4,1,0.12663,2.333333,[ 8 17] ; [6 4],[10. 15.] ; [4. 6.],0
n6,1,0.132184,2.266667,[10 14] ; [7 3],[12. 12.] ; [5. 5.],0
u2,1,0.136844,2.213095,[2 5] ; [3 1],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
d1,1,0.16443,1.933007,[11 14] ; [7 3],[12.85714286 12.14285714] ; [5.14285714 4.85714286],0
n2,1,0.17146,1.87013,[6 5] ; [6 1],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
b5,1,0.184346,1.762238,[14 11] ; [8 2],[15.71428571  9.28571429] ; [6.28571429 3.71428571],0
n4,1,0.184346,1.762238,[14 11] ; [8 2],[15.71428571  9.28571429] ; [6.28571429 3.71428571],0
p11,1,0.21545,1.53442,[ 7 18] ; [5 5],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
v2,1,0.22133,1.495726,[ 5 20] ; [4 6],[ 6.42857143 18.57142857] ; [2.57142857 7.42857143],0
p5,1,0.222605,1.4875,[ 3 21] ; [3 7],[ 4.23529412 19.76470588] ; [1.76470588 8.23529412],0
r2,1,0.223216,1.483575,[17  8] ; [8 1],[18.38235294  6.61764706] ; [6.61764706 2.38235294],0
a6,1,0.26012,1.268116,[15 10] ; [8 2],[16.42857143  8.57142857] ; [6.57142857 3.42857143],0
a3,1,0.279044,1.171739,[18  5] ; [6 4],[16.72727273  6.27272727] ; [7.27272727 2.72727273],0
u1,1,0.313439,1.016129,[ 2 23] ; [2 8],[ 2.85714286 22.14285714] ; [1.14285714 8.85714286],0
b1,1,0.319435,0.991259,[17  8] ; [5 5],[15.71428571  9.28571429] ; [6.28571429 3.71428571],0
p8,1,0.329131,0.952315,[10 14] ; [6 4],[11.29411765 12.70588235] ; [4.70588235 5.29411765],0
b2,1,0.333804,0.934085,[ 7 10] ; [2 7],[ 5.88461538 11.11538462] ; [3.11538462 5.88461538],0
b3,1,0.333804,0.934085,[ 7 10] ; [2 7],[ 5.88461538 11.11538462] ; [3.11538462 5.88461538],0
s4,1,0.349575,0.875,[ 4 21] ; [3 7],[ 5. 20.] ; [2. 8.],0
n5,1,0.356981,0.848485,[16  9] ; [8 2],[17.14285714  7.85714286] ; [6.85714286 3.14285714],0
r1,1,0.392227,0.732026,[11 14] ; [6 4],[12.14285714 12.85714286] ; [4.85714286 5.14285714],0
a4,1,0.451587,0.566667,[13 11] ; [4 6],[12. 12.] ; [5. 5.],0
d5,1,0.477748,0.504,[17  8] ; [8 2],[17.85714286  7.14285714] ; [7.14285714 2.85714286],0
p12,1,0.48966,0.477273,[ 1 24] ; [1 9],[ 1.42857143 23.57142857] ; [0.57142857 9.42857143],0
u3,1,0.55368,0.350765,[4 3] ; [3 1],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
p7,1,0.565659,0.33,[ 9 16] ; [2 6],[ 8.33333333 16.66666667] ; [2.66666667 5.33333333],0
n3,1,0.628745,0.233766,[5 6] ; [4 3],[5.5 5.5] ; [3.5 3.5],0
s1,1,0.646767,0.21,[ 4 21] ; [1 9],[ 3.57142857 21.42857143] ; [1.42857143 8.57142857],0
p3,1,0.652391,0.202899,[ 8 17] ; [4 6],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
v3,1,0.713694,0.134615,[ 6 19] ; [3 7],[ 6.42857143 18.57142857] ; [2.57142857 7.42857143],0
a2,1,0.713694,0.134615,[ 6 19] ; [3 7],[ 6.42857143 18.57142857] ; [2.57142857 7.42857143],0
n1,1,0.73244,0.116883,[7 4] ; [5 2],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
p1,1,0.776675,0.08046,[ 4 21] ; [2 8],[ 4.28571429 20.71428571] ; [1.71428571 8.28571429],0
a5,1,0.905813,0.014,[18  7] ; [7 3],[17.85714286  7.14285714] ; [7.14285714 2.85714286],0
b4,1,0.908333,0.013258,[17  8] ; [7 3],[17.14285714  7.85714286] ; [6.85714286 3.14285714],0
v1,1,1.0,0.0,[10 15] ; [4 6],[10. 15.] ; [4. 6.],0
