Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.001327,10.304783,[7 7] ; [506 103],[11.52808989  2.47191011] ; [501.47191011 107.52808989],0
d4,1,0.014555,5.969555,[8 6] ; [501 106],[11.47504026  2.52495974] ; [497.52495974 109.47504026],0
s1,1,0.014559,5.969089,[ 2 12] ; [ 17 582],[ 0.43393148 13.56606852] ; [ 18.56606852 580.43393148],0
s5,1,0.031934,4.602029,[9 5] ; [213 374],[5.17138103 8.82861897] ; [216.82861897 370.17138103],0
d3,1,0.034941,4.448076,[6 8] ; [422 187],[9.61797753 4.38202247] ; [418.38202247 190.61797753],0
p7,1,0.047108,3.941517,[6 8] ; [404 190],[9.44078947 4.55921053] ; [400.55921053 193.44078947],0
p11,1,0.06445,3.418994,[9 5] ; [509 103],[11.58466454  2.41533546] ; [506.41533546 105.58466454],0
a4,1,0.073712,3.198363,[ 3 10] ; [293 316],[6.18649518 6.81350482] ; [289.81350482 319.18649518],0
n1,1,0.089956,2.875164,[6 2] ; [48 61],[3.69230769 4.30769231] ; [50.30769231 58.69230769],0
a2,1,0.094638,2.793658,[ 1 13] ; [166 446],[ 3.73482428 10.26517572] ; [163.26517572 448.73482428],0
p1,1,0.107671,2.588082,[ 3 11] ; [ 54 554],[ 1.2829582 12.7170418] ; [ 55.7170418 552.2829582],0
b4,1,0.109373,2.56326,[11  3] ; [350 262],[8.07348243 5.92651757] ; [352.92651757 259.07348243],0
p10,1,0.113931,2.498835,[10  4] ; [522  83],[12.03231018  1.96768982] ; [519.96768982  85.03231018],0
p8,1,0.139902,2.179033,[10  3] ; [338 261],[7.39215686 5.60784314] ; [340.60784314 258.39215686],0
p2,1,0.140885,2.16827,[10  4] ; [521  88],[11.93258427  2.06741573] ; [519.06741573  89.93258427],0
b1,1,0.158688,1.98668,[8 6] ; [236 376],[5.45686901 8.54313099] ; [238.54313099 373.45686901],0
d1,1,0.162692,1.949027,[6 8] ; [375 237],[8.52076677 5.47923323] ; [372.47923323 239.52076677],0
u3,1,0.176119,1.830072,[1 3] ; [97 68],[2.31952663 1.68047337] ; [95.68047337 69.31952663],0
u1,1,0.22038,1.501893,[ 1 13] ; [125 487],[ 2.81789137 11.18210863] ; [123.18210863 488.81789137],0
a6,1,0.297878,1.083669,[8 6] ; [426 182],[9.76848875 4.23151125] ; [424.23151125 183.76848875],0
s6,1,0.311726,1.023347,[11  2] ; [430 168],[9.38297872 3.61702128] ; [431.61702128 166.38297872],0
s8,1,0.343586,0.897007,[8 5] ; [293 314],[6.31129032 6.68870968] ; [294.68870968 312.31129032],0
b3,1,0.374795,0.787704,[3 8] ; [153 224],[4.42268041 6.57731959] ; [151.57731959 225.42268041],0
b2,1,0.374795,0.787704,[3 8] ; [153 224],[4.42268041 6.57731959] ; [151.57731959 225.42268041],0
v2,1,0.377578,0.778572,[6 7] ; [342 244],[7.55258765 5.44741235] ; [340.44741235 245.55258765],0
r1,1,0.402884,0.699702,[11  3] ; [526  83],[12.06741573  1.93258427] ; [524.93258427  84.06741573],0
p5,1,0.409641,0.679842,[ 3 11] ; [ 83 522],[ 1.9450727 12.0549273] ; [ 84.0549273 520.9450727],0
s2,1,0.443903,0.586172,[9 5] ; [326 278],[7.58899676 6.41100324] ; [327.41100324 276.58899676],0
a7,1,0.444175,0.585474,[9 5] ; [448 162],[10.25320513  3.74679487] ; [446.74679487 163.25320513],0
v1,1,0.449116,0.572881,[7 7] ; [359 239],[8.37254902 5.62745098] ; [357.62745098 240.37254902],0
p4,1,0.521127,0.411662,[8 6] ; [397 210],[9.13043478 4.86956522] ; [395.86956522 211.13043478],0
n2,1,0.521886,0.410165,[7 1] ; [88 25],[6.28099174 1.71900826] ; [88.71900826 24.28099174],0
d2,1,0.531327,0.391853,[6 8] ; [312 296],[7.15755627 6.84244373] ; [310.84244373 297.15755627],0
p12,1,0.538449,0.378422,[ 2 12] ; [ 57 549],[ 1.33225806 12.66774194] ; [ 57.66774194 548.33225806],0
a1,1,0.598115,0.277848,[ 1 13] ; [ 26 586],[ 0.60383387 13.39616613] ; [ 26.39616613 585.60383387],0
s7,1,0.606753,0.264931,[6 7] ; [310 271],[6.91582492 6.08417508] ; [309.08417508 271.91582492],0
v3,1,0.66075,0.192614,[5 8] ; [263 327],[5.77777778 7.22222222] ; [262.22222222 327.77777778],0
p9,1,0.688494,0.160721,[11  2] ; [533  71],[11.46191248  1.53808752] ; [532.53808752  71.46191248],0
a3,1,0.775808,0.081103,[10  3] ; [447 162],[9.55144695 3.44855305] ; [447.44855305 161.55144695],0
b5,1,0.78132,0.077061,[9 5] ; [371 241],[8.49840256 5.50159744] ; [371.50159744 240.49840256],0
n3,1,0.789539,0.07124,[5 2] ; [85 27],[5.29411765 1.70588235] ; [84.70588235 27.29411765],0
p3,1,0.803102,0.062168,[8 6] ; [327 281],[7.54019293 6.45980707] ; [327.45980707 280.54019293],0
p6,1,0.811471,0.056896,[6 8] ; [239 363],[5.56818182 8.43181818] ; [239.43181818 362.56818182],0
u2,1,0.827321,0.047585,[2 2] ; [91 73],[2.21428571 1.78571429] ; [90.78571429 73.21428571],0
a5,1,0.851967,0.034823,[11  3] ; [467 144],[10.7072  3.2928] ; [467.2928 143.7072],0
s4,1,0.903185,0.014796,[ 2 12] ; [ 93 508],[ 2.16260163 11.83739837] ; [ 92.83739837 508.16260163],0
s3,1,0.933043,0.007059,[7 5] ; [359 244],[7.14146341 4.85853659] ; [358.85853659 244.14146341],0
