Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.662424,[28  1] ; [10 16],[20.03636364  8.96363636] ; [17.96363636  8.03636364],1
p10,1,4.2e-05,16.758621,[22  7] ; [ 5 20],[14.5 14.5] ; [12.5 12.5],1
r4,1,0.000112,14.923424,[26  3] ; [11 16],[19.16071429  9.83928571] ; [17.83928571  9.16071429],1
p9,1,0.000675,11.556441,[22  7] ; [ 7 17],[15.86792453 13.13207547] ; [13.13207547 10.86792453],1
v4,1,0.000847,11.134299,[27  2] ; [14 12],[21.61818182  7.38181818] ; [19.38181818  6.61818182],1
s6,1,0.004288,8.157848,[18 10] ; [ 7 20],[12.72727273 15.27272727] ; [12.27272727 14.72727273],0
s2,1,0.008364,6.953895,[13 14] ; [ 4 23],[ 8.5 18.5] ; [ 8.5 18.5],0
p3,1,0.014657,5.957286,[13 16] ; [ 4 23],[ 8.80357143 20.19642857] ; [ 8.19642857 18.80357143],0
n6,1,0.023568,5.126125,[22  7] ; [12 14],[17.92727273 11.07272727] ; [16.07272727  9.92727273],0
v2,1,0.030754,4.666667,[11 14] ; [ 4 21],[ 7.5 17.5] ; [ 7.5 17.5],0
s8,1,0.038458,4.284663,[10 19] ; [ 3 24],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
r1,1,0.046565,3.961052,[20  9] ; [11 15],[16.34545455 12.65454545] ; [14.65454545 11.34545455],0
s4,1,0.048825,3.881348,[ 8 21] ; [ 2 25],[ 5.17857143 23.82142857] ; [ 4.82142857 22.17857143],0
b4,1,0.057964,3.594695,[17 12] ; [ 9 18],[13.46428571 15.53571429] ; [12.53571429 14.46428571],0
p1,1,0.101489,2.681992,[ 2 27] ; [ 6 21],[ 4.14285714 24.85714286] ; [ 3.85714286 23.14285714],0
u2,1,0.107785,2.586402,[8 9] ; [ 3 12],[ 5.84375 11.15625] ; [5.15625 9.84375],0
p4,1,0.108094,2.581865,[11 18] ; [ 5 22],[ 8.28571429 20.71428571] ; [ 7.71428571 19.28571429],0
s5,1,0.111164,2.537591,[ 6 20] ; [ 2 25],[ 3.9245283 22.0754717] ; [ 4.0754717 22.9245283],0
n2,1,0.112123,2.524038,[7 1] ; [7 6],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
s7,1,0.119879,2.418895,[ 8 19] ; [ 3 22],[ 5.71153846 21.28846154] ; [ 5.28846154 19.71153846],0
p8,1,0.127388,2.324047,[11 18] ; [ 5 21],[ 8.43636364 20.56363636] ; [ 7.56363636 18.43636364],0
d3,1,0.128203,2.314132,[ 3 26] ; [ 7 20],[ 5.17857143 23.82142857] ; [ 4.82142857 22.17857143],0
b5,1,0.181171,1.787995,[17 12] ; [11 16],[14.5 14.5] ; [13.5 13.5],0
p12,1,0.185825,1.750412,[ 4 25] ; [ 1 26],[ 2.58928571 26.41071429] ; [ 2.41071429 24.58928571],0
b2,1,0.192622,1.697452,[ 4 13] ; [ 8 10],[ 5.82857143 11.17142857] ; [ 6.17142857 11.82857143],0
b3,1,0.192622,1.697452,[ 4 13] ; [ 8 10],[ 5.82857143 11.17142857] ; [ 6.17142857 11.82857143],0
p5,1,0.200155,1.641247,[ 4 25] ; [ 1 25],[ 2.63636364 26.36363636] ; [ 2.36363636 23.63636364],0
p6,1,0.226463,1.462938,[ 7 22] ; [ 3 23],[ 5.27272727 23.72727273] ; [ 4.72727273 21.27272727],0
n4,1,0.260324,1.267034,[17 12] ; [19  7],[18.98181818 10.01818182] ; [17.01818182  8.98181818],0
a6,1,0.288757,1.125409,[17 12] ; [12 15],[15.01785714 13.98214286] ; [13.98214286 13.01785714],0
v1,1,0.32167,0.982143,[13 15] ; [ 9 18],[11.2 16.8] ; [10.8 16.2],0
p7,1,0.335592,0.927198,[11 17] ; [ 7 19],[ 9.33333333 18.66666667] ; [ 8.66666667 17.33333333],0
a7,1,0.36756,0.811897,[11 18] ; [13 13],[12.65454545 16.34545455] ; [11.34545455 14.65454545],0
r2,1,0.372808,0.794282,[25  4] ; [20  6],[23.72727273  5.27272727] ; [21.27272727  4.72727273],0
v3,1,0.38646,0.750052,[11 17] ; [ 7 18],[ 9.50943396 18.49056604] ; [ 8.49056604 16.50943396],0
s3,1,0.449201,0.572667,[11 16] ; [ 8 18],[ 9.67924528 17.32075472] ; [ 9.32075472 16.67924528],0
u3,1,0.491644,0.472926,[10  7] ; [7 8],[9.03125 7.96875] ; [7.96875 7.03125],0
a2,1,0.510878,0.432267,[ 1 28] ; [ 2 25],[ 1.55357143 27.44642857] ; [ 1.44642857 25.55357143],0
s1,1,0.567802,0.326374,[ 6 22] ; [ 4 22],[ 5.18518519 22.81481481] ; [ 4.81481481 21.18518519],0
a4,1,0.58696,0.295117,[ 6 23] ; [ 7 19],[ 6.85454545 22.14545455] ; [ 6.14545455 19.85454545],0
a3,1,0.625404,0.238345,[12 17] ; [12 13],[12.88888889 16.11111111] ; [11.11111111 13.88888889],0
d2,1,0.642857,0.215025,[ 7 22] ; [ 8 19],[ 7.76785714 21.23214286] ; [ 7.23214286 19.76785714],0
n5,1,0.659996,0.193529,[22  7] ; [21  5],[22.67272727  6.32727273] ; [20.32727273  5.67272727],0
b1,1,0.773907,0.082523,[15 14] ; [15 12],[15.53571429 13.46428571] ; [14.46428571 12.53571429],0
a8,1,0.846974,0.037241,[ 3 26] ; [ 3 22],[ 3.22222222 25.77777778] ; [ 2.77777778 22.22222222],0
d5,1,0.865688,0.028608,[ 8 21] ; [ 8 19],[ 8.28571429 20.71428571] ; [ 7.71428571 19.28571429],0
n1,1,0.887593,0.01998,[4 3] ; [7 6],[3.85 3.15] ; [7.15 5.85],0
a5,1,0.992375,9.1e-05,[14 15] ; [13 14],[13.98214286 15.01785714] ; [13.01785714 13.98214286],0
