Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000449,12.315965,[ 6 30] ; [16 11],[12.57142857 23.42857143] ; [ 9.42857143 17.57142857],1
n5,1,0.001397,10.209774,[26 10] ; [ 9 19],[19.6875 16.3125] ; [15.3125 12.6875],0
p2,1,0.003903,8.328514,[ 9 27] ; [17 11],[14.625 21.375] ; [11.375 16.625],0
v4,1,0.005038,7.865816,[13 23] ; [20  8],[18.5625 17.4375] ; [14.4375 13.5625],0
p8,1,0.006038,7.539073,[ 2 33] ; [ 9 19],[ 6.11111111 28.88888889] ; [ 4.88888889 23.11111111],0
p6,1,0.011131,6.444265,[ 2 33] ; [ 8 19],[ 5.64516129 29.35483871] ; [ 4.35483871 22.64516129],0
n6,1,0.01783,5.612727,[12 23] ; [18 10],[16.66666667 18.33333333] ; [13.33333333 14.66666667],0
v1,1,0.019197,5.483476,[ 6 30] ; [11 14],[10.03278689 25.96721311] ; [ 6.96721311 18.03278689],0
s6,1,0.020866,5.337951,[ 7 29] ; [13 15],[11.25 24.75] ; [ 8.75 19.25],0
d4,1,0.03289,4.551499,[19 17] ; [22  6],[23.0625 12.9375] ; [17.9375 10.0625],0
p11,1,0.041981,4.13597,[ 7 29] ; [12 16],[10.6875 25.3125] ; [ 8.3125 19.6875],0
b2,1,0.058984,3.565714,[11 14] ; [ 2 12],[ 8.33333333 16.66666667] ; [4.66666667 9.33333333],0
b3,1,0.058984,3.565714,[11 14] ; [ 2 12],[ 8.33333333 16.66666667] ; [4.66666667 9.33333333],0
n3,1,0.06345,3.444829,[ 6 12] ; [11  6],[8.74285714 9.25714286] ; [8.25714286 8.74285714],0
n2,1,0.063601,3.440904,[ 5 13] ; [10  7],[ 7.71428571 10.28571429] ; [7.28571429 9.71428571],0
p4,1,0.079885,3.067249,[ 7 29] ; [11 17],[10.125 25.875] ; [ 7.875 20.125],0
d3,1,0.083063,3.003926,[14 22] ; [17 11],[17.4375 18.5625] ; [13.5625 14.4375],0
b5,1,0.083354,2.998265,[18 18] ; [20  8],[21.375 14.625] ; [16.625 11.375],0
