Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000377,12.641698,[25  6] ; [ 4 11],[19.54347826 11.45652174] ; [9.45652174 5.54347826],1
p8,1,0.00113,10.600962,[ 4 26] ; [9 6],[ 8.66666667 21.33333333] ; [ 4.33333333 10.66666667],0
d4,1,0.04567,3.993711,[13 18] ; [11  4],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
d3,1,0.075193,3.165848,[ 5 26] ; [6 9],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],0
n6,1,0.09161,2.84585,[18 12] ; [ 5 10],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
r1,1,0.115864,2.472357,[11 20] ; [9 6],[13.47826087 17.52173913] ; [6.52173913 8.47826087],0
b4,1,0.160754,1.967117,[16 15] ; [11  4],[18.19565217 12.80434783] ; [8.80434783 6.19565217],0
p7,1,0.16976,1.885066,[10 21] ; [8 7],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
a7,1,0.174158,1.846783,[12 19] ; [9 6],[14.15217391 16.84782609] ; [6.84782609 8.15217391],0
b1,1,0.250234,1.321994,[18 13] ; [6 9],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
r4,1,0.297448,1.085603,[ 6 25] ; [ 5 10],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],0
n3,1,0.312132,1.021635,[6 7] ; [3 1],[6.88235294 6.11764706] ; [2.11764706 1.88235294],0
d2,1,0.336323,0.924397,[ 8 23] ; [ 2 13],[ 6.73913043 24.26086957] ; [ 3.26086957 11.73913043],0
s4,1,0.371694,0.797993,[ 5 26] ; [ 1 14],[ 4.04347826 26.95652174] ; [ 1.95652174 13.04347826],0
a8,1,0.391212,0.735171,[ 5 25] ; [ 1 13],[ 4.09090909 25.90909091] ; [ 1.90909091 12.09090909],0
p10,1,0.39329,0.728745,[14 16] ; [ 5 10],[12.66666667 17.33333333] ; [6.33333333 8.66666667],0
a6,1,0.445011,0.583328,[14 17] ; [ 5 10],[12.80434783 18.19565217] ; [6.19565217 8.80434783],0
s7,1,0.456775,0.553785,[ 7 22] ; [ 2 12],[ 6.06976744 22.93023256] ; [ 2.93023256 11.06976744],0
s8,1,0.45861,0.549285,[ 7 24] ; [ 2 13],[ 6.06521739 24.93478261] ; [ 2.93478261 12.06521739],0
u2,1,0.468011,0.526669,[ 5 13] ; [3 4],[ 5.76 12.24] ; [2.24 4.76],0
v2,1,0.474549,0.511364,[ 9 21] ; [ 3 12],[ 8. 22.] ; [ 4. 11.],0
p1,1,0.524092,0.405833,[ 4 27] ; [ 1 14],[ 3.36956522 27.63043478] ; [ 1.63043478 13.36956522],0
s5,1,0.524092,0.405833,[ 4 27] ; [ 1 14],[ 3.36956522 27.63043478] ; [ 1.63043478 13.36956522],0
a3,1,0.526168,0.401786,[13 17] ; [8 7],[14. 16.] ; [7. 8.],0
p9,1,0.526168,0.401786,[17 13] ; [7 8],[16. 14.] ; [8. 7.],0
p11,1,0.575207,0.314047,[13 18] ; [ 5 10],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
p6,1,0.581352,0.304054,[ 6 24] ; [ 2 13],[ 5.33333333 24.66666667] ; [ 2.66666667 12.33333333],0
r2,1,0.592408,0.286599,[15 16] ; [6 9],[14.15217391 16.84782609] ; [6.84782609 8.15217391],0
p2,1,0.602967,0.270544,[14 17] ; [8 7],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
s3,1,0.653977,0.200923,[ 9 22] ; [5 9],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
r3,1,0.671373,0.18,[16 14] ; [9 6],[16.66666667 13.33333333] ; [8.33333333 6.66666667],0
a5,1,0.753124,0.098925,[16 15] ; [7 8],[15.5 15.5] ; [7.5 7.5],0
v3,1,0.842324,0.03957,[ 7 24] ; [ 3 12],[ 6.73913043 24.26086957] ; [ 3.26086957 11.73913043],0
v1,1,0.885848,0.020609,[11 20] ; [ 5 10],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
n2,1,0.892795,0.018162,[6 7] ; [2 2],[6.11764706 6.88235294] ; [1.88235294 2.11764706],0
d5,1,0.90054,0.01562,[13 18] ; [6 9],[12.80434783 18.19565217] ; [6.19565217 8.80434783],0
b3,1,0.900744,0.015556,[ 7 13] ; [3 5],[ 7.14285714 12.85714286] ; [2.85714286 5.14285714],0
b2,1,0.900744,0.015556,[ 7 13] ; [3 5],[ 7.14285714 12.85714286] ; [2.85714286 5.14285714],0
b5,1,0.912804,0.011991,[15 16] ; [7 8],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
p4,1,0.941863,0.005319,[10 21] ; [ 5 10],[10.10869565 20.89130435] ; [ 4.89130435 10.10869565],0
s6,1,0.941863,0.005319,[10 21] ; [ 5 10],[10.10869565 20.89130435] ; [ 4.89130435 10.10869565],0
p3,1,0.950336,0.003879,[ 8 23] ; [ 4 11],[ 8.08695652 22.91304348] ; [ 3.91304348 11.08695652],0
s2,1,0.950336,0.003879,[ 8 23] ; [ 4 11],[ 8.08695652 22.91304348] ; [ 3.91304348 11.08695652],0
a4,1,0.958762,0.002674,[ 6 25] ; [ 3 12],[ 6.06521739 24.93478261] ; [ 2.93478261 12.06521739],0
s1,1,0.967611,0.001649,[ 4 27] ; [ 2 13],[ 4.04347826 26.95652174] ; [ 1.95652174 13.04347826],0
p5,1,1.0,0.0,[ 2 28] ; [ 1 14],[ 2. 28.] ; [ 1. 14.],0
