Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,98.294132,[590  18] ; [85 34],[564.51169188  43.48830812] ; [110.48830812   8.51169188],1
r3,1,6.4e-05,15.975108,[589  15] ; [107  12],[581.4439834  22.5560166] ; [114.5560166   4.4439834],1
u1,1,9.1e-05,15.323583,[143 465] ; [  9 110],[127.11966988 480.88033012] ; [24.88033012 94.11966988],1
a2,1,0.000316,12.972675,[179 429] ; [ 16 103],[163.08115543 444.91884457] ; [31.91884457 87.08115543],1
a5,1,0.000326,12.912476,[481 127] ; [76 43],[465.82668501 142.17331499] ; [91.17331499 27.82668501],1
a6,1,0.000475,12.211672,[435 172] ; [66 53],[418.88016529 188.11983471] ; [82.11983471 36.88016529],1
v4,1,0.001384,10.226447,[589  18] ; [108  11],[582.75344353  24.24655647] ; [114.24655647   4.75344353],0
d1,1,0.004907,7.913491,[441 167] ; [71 48],[428.19257221 179.80742779] ; [83.80742779 35.19257221],0
v2,1,0.006895,7.300025,[353 230] ; [54 61],[339.94412607 243.05587393] ; [67.05587393 47.94412607],0
p7,1,0.007294,7.199213,[381 206] ; [60 56],[368.23186344 218.76813656] ; [72.76813656 43.23186344],0
n4,1,0.007804,7.077881,[475 130] ; [80 39],[463.77762431 141.22237569] ; [91.22237569 27.77762431],0
a7,1,0.008195,6.990351,[463 144] ; [77 42],[451.48760331 155.51239669] ; [88.51239669 30.48760331],0
s8,1,0.009844,6.662892,[285 317] ; [41 78],[272.19417476 329.80582524] ; [53.80582524 65.19417476],0
a8,1,0.012479,6.241475,[ 81 467] ; [  7 108],[ 72.73604827 475.26395173] ; [15.26395173 99.73604827],0
p4,1,0.020666,5.354732,[367 234] ; [58 59],[355.74512535 245.25487465] ; [69.25487465 47.74512535],0
p2,1,0.02097,5.329277,[506  96] ; [88 29],[497.34075104 104.65924896] ; [96.65924896 20.34075104],0
v1,1,0.029945,4.712443,[336 257] ; [52 62],[325.43705799 267.56294201] ; [62.56294201 51.43705799],0
s6,1,0.030959,4.655212,[414 180] ; [69 47],[404.08732394 189.91267606] ; [78.91267606 37.08732394],0
d3,1,0.035016,4.444392,[478 130] ; [83 36],[469.17193948 138.82806052] ; [91.82806052 27.17193948],0
a4,1,0.03583,4.405195,[311 296] ; [48 70],[300.56965517 306.43034483] ; [58.43034483 59.56965517],0
d5,1,0.036843,4.357676,[542  66] ; [98 21],[535.24071527  72.75928473] ; [104.75928473  14.24071527],0
s3,1,0.042175,4.128153,[355 244] ; [58 60],[345.0306834 253.9693166] ; [67.9693166 50.0306834],0
p8,1,0.043094,4.091701,[321 276] ; [50 65],[311.07724719 285.92275281] ; [59.92275281 55.07724719],0
s7,1,0.05241,3.762619,[299 280] ; [48 67],[289.5 289.5] ; [57.5 57.5],0
n5,1,0.053995,3.712848,[451 151] ; [79 40],[442.52427184 159.47572816] ; [87.47572816 31.52427184],0
p12,1,0.064821,3.40952,[ 50 549] ; [  4 113],[ 45.17597765 553.82402235] ; [  8.82402235 108.17597765],0
a3,1,0.074425,3.182625,[463 143] ; [81 37],[455.33701657 150.66298343] ; [88.66298343 29.33701657],0
d2,1,0.084575,2.974719,[338 269] ; [55 62],[329.49033149 277.50966851] ; [63.50966851 53.49033149],0
a1,1,0.107657,2.588284,[ 29 579] ; [ 10 109],[ 32.61623109 575.38376891] ; [  6.38376891 112.61623109],0
p10,1,0.108143,2.581149,[490 109] ; [89 29],[483.71129707 115.28870293] ; [95.28870293 22.71129707],0
u3,1,0.160532,1.969207,[93 50] ; [20 18],[89.27624309 53.72375691] ; [23.72375691 14.27624309],0
s4,1,0.190231,1.715827,[ 96 501] ; [25 94],[100.8896648 496.1103352] ; [20.1103352 98.8896648],0
s2,1,0.199645,1.644968,[327 275] ; [57 62],[320.62135922 281.37864078] ; [63.37864078 55.62135922],0
b5,1,0.245961,1.346101,[364 244] ; [78 41],[369.65061898 238.34938102] ; [72.34938102 46.65061898],0
b4,1,0.2629,1.253422,[360 248] ; [77 42],[365.46905089 242.53094911] ; [71.53094911 47.46905089],0
n6,1,0.271313,1.210096,[510  93] ; [95 23],[505.98474341  97.01525659] ; [99.01525659 18.98474341],0
n3,1,0.299147,1.077992,[88 37] ; [24 15],[85.36585366 39.63414634] ; [26.63414634 12.36585366],0
s5,1,0.350073,0.873192,[213 371] ; [35 75],[208.69164265 375.30835735] ; [39.30835735 70.69164265],0
p9,1,0.354708,0.856541,[506  91] ; [96 22],[502.64895105  94.35104895] ; [99.35104895 18.64895105],0
u2,1,0.380559,0.768896,[88 54] ; [20 17],[85.67597765 56.32402235] ; [22.32402235 14.67597765],0
n2,1,0.391845,0.733208,[88 38] ; [30  9],[90.10909091 35.89090909] ; [27.89090909 11.10909091],0
p11,1,0.401511,0.703798,[476 132] ; [89 30],[472.51719395 135.48280605] ; [92.48280605 26.51719395],0
p1,1,0.426288,0.632915,[ 43 559] ; [ 11 108],[ 45.08737864 556.91262136] ; [  8.91262136 110.08737864],0
v3,1,0.458622,0.549256,[238 341] ; [43 72],[234.43659942 344.56340058] ; [46.56340058 68.43659942],0
u4,1,0.485512,0.486457,[ 17 591] ; [  2 117],[ 15.88995873 592.11004127] ; [  3.11004127 115.88995873],0
b1,1,0.492264,0.471574,[230 378] ; [49 70],[233.33149931 374.66850069] ; [45.66850069 73.33149931],0
p3,1,0.492744,0.470529,[308 297] ; [56 62],[304.59197787 300.40802213] ; [59.40802213 58.59197787],0
b3,1,0.642463,0.215535,[150 216] ; [27 44],[148.24256293 217.75743707] ; [28.75743707 42.24256293],0
b2,1,0.642463,0.215535,[150 216] ; [27 44],[148.24256293 217.75743707] ; [28.75743707 42.24256293],0
p6,1,0.759139,0.09401,[221 375] ; [44 70],[222.45070423 373.54929577] ; [42.54929577 71.45070423],0
s1,1,0.827056,0.047733,[ 18 580] ; [  4 114],[ 18.37430168 579.62569832] ; [  3.62569832 114.37430168],0
