Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000107,15.000639,[21 14] ; [86 10],[28.58778626  6.41221374] ; [78.41221374 17.58778626],1
n4,1,0.129487,2.298647,[30  7] ; [87  9],[32.54887218  4.45112782] ; [84.45112782 11.54887218],0
p12,1,0.144091,2.133713,[ 1 36] ; [10 85],[ 3.08333333 33.91666667] ; [ 7.91666667 87.08333333],0
a5,1,0.151565,2.056425,[25 12] ; [77 20],[28.1641791  8.8358209] ; [73.8358209 23.1641791],0
r1,1,0.151565,2.056425,[25 12] ; [77 20],[28.1641791  8.8358209] ; [73.8358209 23.1641791],0
b5,1,0.182228,1.779361,[20 17] ; [40 57],[16.56716418 20.43283582] ; [43.43283582 53.56716418],0
b3,1,0.21199,1.557782,[11 16] ; [40 33],[13.77 13.23] ; [37.23 35.77],0
b2,1,0.21199,1.557782,[11 16] ; [40 33],[13.77 13.23] ; [37.23 35.77],0
a3,1,0.241944,1.369234,[29  8] ; [84 13],[31.20149254  5.79850746] ; [81.79850746 15.20149254],0
p3,1,0.269105,1.221305,[19 18] ; [60 37],[21.81343284 15.18656716] ; [57.18656716 39.81343284],0
p1,1,0.292189,1.109509,[ 2 35] ; [11 85],[ 3.61654135 33.38345865] ; [ 9.38345865 86.61654135],0
n3,1,0.34509,0.891429,[8 6] ; [18  7],[9.33333333 4.66666667] ; [16.66666667  8.33333333],0
p4,1,0.380718,0.768381,[21 16] ; [63 34],[23.19402985 13.80597015] ; [60.80597015 36.19402985],0
p5,1,0.385376,0.753481,[ 4 33] ; [16 79],[ 5.60606061 31.39393939] ; [14.39393939 80.60606061],0
n1,1,0.405033,0.693333,[8 7] ; [16  8],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
b1,1,0.427518,0.629556,[17 20] ; [52 45],[19.05223881 17.94776119] ; [49.94776119 47.05223881],0
d4,1,0.473883,0.512908,[28  9] ; [78 18],[29.4887218  7.5112782] ; [76.5112782 19.4887218],0
a8,1,0.576329,0.312207,[ 4 32] ; [14 80],[ 4.98461538 31.01538462] ; [13.01538462 80.98461538],0
u3,1,0.603848,0.269231,[4 4] ; [8 5],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
d3,1,0.607348,0.264054,[19 18] ; [45 52],[17.67164179 19.32835821] ; [46.32835821 50.67164179],0
b4,1,0.607348,0.264054,[19 18] ; [45 52],[17.67164179 19.32835821] ; [46.32835821 50.67164179],0
p2,1,0.636252,0.223678,[31  6] ; [77 19],[30.04511278  6.95488722] ; [77.95488722 18.04511278],0
u1,1,0.642215,0.215857,[ 4 33] ; [ 8 89],[ 3.31343284 33.68656716] ; [ 8.68656716 88.31343284],0
a1,1,0.708064,0.140219,[ 2 35] ; [ 7 90],[ 2.48507463 34.51492537] ; [ 6.51492537 90.48507463],0
d2,1,0.714046,0.134269,[20 17] ; [49 48],[19.05223881 17.94776119] ; [49.94776119 47.05223881],0
s5,1,0.748074,0.103156,[17 19] ; [41 52],[16.18604651 19.81395349] ; [41.81395349 51.18604651],0
s1,1,0.748413,0.102869,[ 2 35] ; [ 4 93],[ 1.65671642 35.34328358] ; [ 4.34328358 92.65671642],0
u2,1,0.750679,0.100962,[5 3] ; [9 4],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
a4,1,0.764203,0.08998,[19 18] ; [47 50],[18.2238806 18.7761194] ; [47.7761194 49.2238806],0
n2,1,0.769297,0.086022,[12  3] ; [19  6],[11.625  3.375] ; [19.375  5.625],0
d5,1,0.909452,0.012934,[30  7] ; [77 19],[29.76691729  7.23308271] ; [77.23308271 18.76691729],0
a2,1,0.930754,0.007551,[ 4 33] ; [11 86],[ 4.14179104 32.85820896] ; [10.85820896 86.14179104],0
d1,1,0.983886,0.000408,[19 18] ; [50 47],[19.05223881 17.94776119] ; [49.94776119 47.05223881],0
a6,1,0.992767,8.2e-05,[13 24] ; [34 63],[12.97761194 24.02238806] ; [34.02238806 62.97761194],0
