Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7.4e-05,15.697849,[ 12 112] ; [29 65],[ 23.32110092 100.67889908] ; [17.67889908 76.32110092],1
r1,1,0.002442,9.183204,[85 41] ; [81 14],[94.64253394 31.35746606] ; [71.35746606 23.64253394],0
r4,1,0.005723,7.635379,[102  24] ; [90  6],[108.97297297  17.02702703] ; [83.02702703 12.97297297],0
p9,1,0.020691,5.352617,[98 28] ; [86 10],[104.43243243  21.56756757] ; [79.56756757 16.43243243],0
s1,1,0.028794,4.779903,[ 12 114] ; [ 2 90],[  8.09174312 117.90825688] ; [ 5.90825688 86.09174312],0
r2,1,0.036228,4.386325,[108  15] ; [92  4],[112.32876712  10.67123288] ; [87.67123288  8.32876712],0
p10,1,0.036609,4.368492,[95 30] ; [82 12],[101.02739726  23.97260274] ; [75.97260274 18.02739726],0
n5,1,0.041423,4.158615,[88 37] ; [79 17],[94.45701357 30.54298643] ; [72.54298643 23.45701357],0
d5,1,0.047332,3.933537,[92 34] ; [80 15],[98.06334842 27.93665158] ; [73.93665158 21.06334842],0
a5,1,0.059765,3.543894,[81 45] ; [73 23],[87.40540541 38.59459459] ; [66.59459459 29.40540541],0
s8,1,0.060998,3.510045,[51 75] ; [51 45],[57.89189189 68.10810811] ; [44.10810811 51.89189189],0
s5,1,0.093077,2.82034,[40 83] ; [39 50],[45.83490566 77.16509434] ; [33.16509434 55.83490566],0
b1,1,0.101784,2.677368,[53 73] ; [51 45],[59.02702703 66.97297297] ; [44.97297297 51.02702703],0
u1,1,0.108412,2.57722,[ 14 112] ; [18 78],[ 18.16216216 107.83783784] ; [13.83783784 82.16216216],0
p8,1,0.12113,2.402649,[70 55] ; [63 32],[75.56818182 49.43181818] ; [57.43181818 37.56818182],0
r3,1,0.122357,2.38689,[113  12] ; [92  4],[115.95022624   9.04977376] ; [89.04977376  6.95022624],0
p7,1,0.126668,2.33287,[84 40] ; [74 22],[89.05454545 34.94545455] ; [68.94545455 27.05454545],0
p5,1,0.14326,2.142584,[ 15 110] ; [18 76],[ 18.83561644 106.16438356] ; [14.16438356 79.83561644],0
n4,1,0.183809,1.766551,[94 32] ; [78 17],[98.06334842 27.93665158] ; [73.93665158 21.06334842],0
s2,1,0.195696,1.674209,[64 62] ; [56 38],[68.72727273 57.27272727] ; [51.27272727 42.72727273],0
p2,1,0.261438,1.261125,[114  11] ; [83 13],[111.42533937  13.57466063] ; [85.57466063 10.42533937],0
u3,1,0.281874,1.158032,[26 19] ; [23 10],[28.26923077 16.73076923] ; [20.73076923 12.26923077],0
d4,1,0.287421,1.131664,[96 30] ; [78 17],[99.20361991 26.79638009] ; [74.79638009 20.20361991],0
a7,1,0.316906,1.001671,[84 42] ; [70 26],[87.40540541 38.59459459] ; [66.59459459 29.40540541],0
v4,1,0.387018,0.74829,[119   7] ; [93  3],[120.32432432   5.67567568] ; [91.67567568  4.32432432],0
d3,1,0.406163,0.690004,[84 42] ; [69 27],[86.83783784 39.16216216] ; [66.16216216 29.83783784],0
u2,1,0.407573,0.685868,[28 18] ; [17 16],[26.20253165 19.79746835] ; [18.79746835 14.20253165],0
b2,1,0.408463,0.683271,[23 49] ; [27 43],[25.35211268 46.64788732] ; [24.64788732 45.35211268],0
b3,1,0.408463,0.683271,[23 49] ; [27 43],[25.35211268 46.64788732] ; [24.64788732 45.35211268],0
a2,1,0.42801,0.628217,[ 21 105] ; [20 76],[ 23.27027027 102.72972973] ; [17.72972973 78.27027027],0
p12,1,0.43768,0.602357,[  5 121] ; [ 6 90],[  6.24324324 119.75675676] ; [ 4.75675676 91.24324324],0
d1,1,0.443633,0.586868,[67 59] ; [56 40],[69.81081081 56.18918919] ; [53.18918919 42.81081081],0
n2,1,0.459785,0.546419,[23 15] ; [8 3],[24.04081633 13.95918367] ; [6.95918367 4.04081633],0
a8,1,0.548263,0.360437,[ 13 105] ; [12 75],[ 14.3902439 103.6097561] ; [10.6097561 76.3902439],0
n6,1,0.5667,0.328236,[106  19] ; [84 12],[107.46606335  17.53393665] ; [82.53393665 13.46606335],0
a3,1,0.578557,0.308573,[79 47] ; [63 32],[80.95927602 45.04072398] ; [61.04072398 33.95927602],0
a6,1,0.596296,0.280619,[77 49] ; [62 34],[78.89189189 47.10810811] ; [60.10810811 35.89189189],0
p11,1,0.634436,0.226093,[95 31] ; [75 21],[96.48648649 29.51351351] ; [73.51351351 22.48648649],0
b4,1,0.658186,0.195735,[72 54] ; [52 44],[70.37837838 55.62162162] ; [53.62162162 42.37837838],0
a1,1,0.658963,0.194786,[  5 121] ; [ 5 91],[  5.67567568 120.32432432] ; [ 4.32432432 91.67567568],0
p6,1,0.7058,0.142508,[58 67] ; [47 49],[59.38914027 65.61085973] ; [45.61085973 50.38914027],0
n1,1,0.722279,0.12632,[15 23] ; [5 6],[15.51020408 22.48979592] ; [4.48979592 6.51020408],0
n3,1,0.733404,0.116009,[25 13] ; [6 4],[24.54166667 13.45833333] ; [6.45833333 3.54166667],0
b5,1,0.767224,0.087621,[71 55] ; [56 40],[72.08108108 53.91891892] ; [54.91891892 41.08108108],0
s4,1,0.773546,0.082794,[29 94] ; [24 71],[29.90366972 93.09633028] ; [23.09633028 71.90366972],0
p1,1,0.779433,0.078432,[ 16 110] ; [11 85],[ 15.32432432 110.67567568] ; [11.67567568 84.32432432],0
s3,1,0.781138,0.077193,[74 51] ; [58 37],[75. 50.] ; [57. 38.],0
p3,1,0.861751,0.030327,[78 47] ; [61 35],[78.6199095 46.3800905] ; [60.3800905 35.6199095],0
s6,1,0.862246,0.030108,[88 36] ; [67 26],[88.57142857 35.42857143] ; [66.42857143 26.57142857],0
s7,1,0.862582,0.02996,[64 57] ; [46 43],[63.38095238 57.61904762] ; [46.61904762 42.38095238],0
a4,1,0.873498,0.02535,[57 69] ; [44 51],[57.58371041 68.41628959] ; [43.41628959 51.58371041],0
d2,1,0.947193,0.004387,[57 69] ; [43 53],[56.75675676 69.24324324] ; [43.24324324 52.75675676],0
