Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001125,10.60898,[ 4 11] ; [17  4],[8.75 6.25] ; [12.25  8.75],0
d3,1,0.001256,10.406116,[ 5 10] ; [18  3],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
p2,1,0.002868,8.889796,[8 7] ; [20  1],[11.66666667  3.33333333] ; [16.33333333  4.66666667],0
d2,1,0.025842,4.966531,[ 3 12] ; [12  9],[6.25 8.75] ; [ 8.75 12.25],0
b1,1,0.031444,4.628571,[7 8] ; [17  4],[10.  5.] ; [14.  7.],0
n1,1,0.035682,4.412222,[1 4] ; [5 1],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
a6,1,0.048259,3.900929,[10  5] ; [ 7 14],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
d5,1,0.059333,3.555918,[6 9] ; [15  6],[8.75 6.25] ; [12.25  8.75],0
s7,1,0.069826,3.287117,[ 3 10] ; [11  9],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
s6,1,0.071735,3.242873,[5 9] ; [14  7],[7.6 6.4] ; [11.4  9.6],0
s8,1,0.074462,3.181818,[ 2 12] ; [ 9 12],[4.4 9.6] ; [ 6.6 14.4],0
d1,1,0.088961,2.893072,[ 3 12] ; [10 11],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
p3,1,0.122865,2.380408,[ 4 11] ; [11 10],[6.25 8.75] ; [ 8.75 12.25],0
a5,1,0.122865,2.380408,[ 4 11] ; [11 10],[6.25 8.75] ; [ 8.75 12.25],0
s5,1,0.125606,2.345985,[ 1 12] ; [ 6 14],[ 2.75757576 10.24242424] ; [ 4.24242424 15.75757576],0
u3,1,0.142117,2.154882,[2 6] ; [7 5],[3.6 4.4] ; [5.4 6.6],0
p7,1,0.173617,1.851429,[11  4] ; [19  2],[12.5  2.5] ; [17.5  3.5],0
b5,1,0.203605,1.616327,[11  4] ; [11 10],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
v1,1,0.203605,1.616327,[ 4 11] ; [10 11],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
p10,1,0.245224,1.350309,[ 2 13] ; [ 6 14],[ 3.42857143 11.57142857] ; [ 4.57142857 15.42857143],0
u1,1,0.289601,1.121475,[ 1 14] ; [ 4 17],[ 2.08333333 12.91666667] ; [ 2.91666667 18.08333333],0
r4,1,0.354777,0.856298,[11  4] ; [18  3],[12.08333333  2.91666667] ; [16.91666667  4.08333333],0
v4,1,0.358951,0.841558,[13  2] ; [20  1],[13.75  1.25] ; [19.25  1.75],0
s3,1,0.364346,0.822857,[7 8] ; [13  8],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
r2,1,0.370213,0.802949,[12  3] ; [19  2],[12.91666667  2.08333333] ; [18.08333333  2.91666667],0
u2,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
p11,1,0.607052,0.26449,[8 7] ; [13  8],[8.75 6.25] ; [12.25  8.75],0
s2,1,0.650147,0.205714,[6 9] ; [10 11],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
n4,1,0.681393,0.168562,[9 6] ; [14  7],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
a2,1,0.719918,0.128571,[ 2 13] ; [ 2 19],[ 1.66666667 13.33333333] ; [ 2.33333333 18.66666667],0
b4,1,0.735317,0.114286,[7 8] ; [11 10],[7.5 7.5] ; [10.5 10.5],0
n6,1,0.759766,0.093506,[10  5] ; [15  6],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
r3,1,0.759766,0.093506,[14  1] ; [19  2],[13.75  1.25] ; [19.25  1.75],0
a7,1,0.769324,0.086001,[10  5] ; [13  8],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
s1,1,0.793823,0.068304,[ 1 13] ; [ 1 19],[ 0.82352941 13.17647059] ; [ 1.17647059 18.82352941],0
a8,1,0.800854,0.063626,[ 2 13] ; [ 2 17],[ 1.76470588 13.23529412] ; [ 2.23529412 16.76470588],0
v2,1,0.820596,0.051429,[7 8] ; [ 9 12],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
a3,1,0.820596,0.051429,[7 8] ; [ 9 12],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
a4,1,0.828969,0.046667,[ 4 11] ; [ 6 14],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
b3,1,0.939491,0.005762,[3 4] ; [ 7 10],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
b2,1,0.939491,0.005762,[3 4] ; [ 7 10],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
v3,1,0.943253,0.005067,[ 3 12] ; [ 4 17],[ 2.91666667 12.08333333] ; [ 4.08333333 16.91666667],0
n5,1,0.954999,0.003184,[8 7] ; [11 10],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
n3,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
r1,1,1.0,0.0,[10  5] ; [14  7],[10.  5.] ; [14.  7.],0
d4,1,1.0,0.0,[10  5] ; [14  7],[10.  5.] ; [14.  7.],0
