Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001088,10.671827,[15  8] ; [12 36],[ 8.74647887 14.25352113] ; [18.25352113 29.74647887],0
n5,1,0.013156,6.147983,[19  4] ; [25 23],[14.25352113  8.74647887] ; [29.74647887 18.25352113],0
p7,1,0.013954,6.043998,[16  7] ; [18 29],[11.17142857 11.82857143] ; [22.82857143 24.17142857],0
b4,1,0.014656,5.957319,[ 9 14] ; [34 15],[13.73611111  9.26388889] ; [29.26388889 19.73611111],0
b2,1,0.031229,4.640332,[9 7] ; [ 7 22],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
b3,1,0.031229,4.640332,[9 7] ; [ 7 22],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
p2,1,0.034323,4.47852,[19  4] ; [28 21],[15.01388889  7.98611111] ; [31.98611111 17.01388889],0
p4,1,0.050598,3.821516,[16  7] ; [22 27],[12.13888889 10.86111111] ; [25.86111111 23.13888889],0
s7,1,0.053319,3.7339,[18  5] ; [25 21],[14.33333333  8.66666667] ; [28.66666667 17.33333333],0
u4,1,0.057383,3.611462,[ 3 20] ; [ 1 48],[ 1.27777778 21.72222222] ; [ 2.72222222 46.27777778],0
a5,1,0.073894,3.194321,[12 11] ; [36 13],[15.33333333  7.66666667] ; [32.66666667 16.33333333],0
n1,1,0.107936,2.584189,[4 2] ; [ 5 12],[2.34782609 3.65217391] ; [ 6.65217391 10.34782609],0
s6,1,0.141704,2.159361,[17  6] ; [43  6],[19.16666667  3.83333333] ; [40.83333333  8.16666667],0
n6,1,0.162258,1.953055,[19  4] ; [32 16],[16.52112676  6.47887324] ; [34.47887324 13.52112676],0
v3,1,0.181051,1.788975,[ 5 17] ; [18 28],[ 7.44117647 14.55882353] ; [15.55882353 30.44117647],0
s3,1,0.201559,1.631044,[21  2] ; [38 10],[19.11267606  3.88732394] ; [39.88732394  8.11267606],0
v4,1,0.210903,1.565217,[22  1] ; [42  7],[20.44444444  2.55555556] ; [43.55555556  5.44444444],0
s8,1,0.212375,1.555165,[13 10] ; [20 29],[10.54166667 12.45833333] ; [22.45833333 26.54166667],0
a2,1,0.264811,1.243432,[ 3 20] ; [12 37],[ 4.79166667 18.20833333] ; [10.20833333 38.79166667],0
s5,1,0.275706,1.188138,[ 5 15] ; [19 30],[ 6.95652174 13.04347826] ; [17.04347826 31.95652174],0
u3,1,0.284711,1.144464,[5 5] ; [12  5],[6.2962963 3.7037037] ; [10.7037037  6.2962963],0
p5,1,0.321822,0.981528,[ 3 20] ; [ 3 46],[ 1.91666667 21.08333333] ; [ 4.08333333 44.91666667],0
p11,1,0.357514,0.846606,[13 10] ; [22 27],[11.18055556 11.81944444] ; [23.81944444 25.18055556],0
p9,1,0.386063,0.751307,[11 12] ; [17 29],[ 9.33333333 13.66666667] ; [18.66666667 27.33333333],0
n2,1,0.393921,0.726803,[5 1] ; [11  6],[4.17391304 1.82608696] ; [11.82608696  5.17391304],0
a1,1,0.425488,0.635106,[ 2 21] ; [ 2 47],[ 1.27777778 21.72222222] ; [ 2.72222222 46.27777778],0
r2,1,0.427944,0.628398,[21  1] ; [44  5],[20.14084507  1.85915493] ; [44.85915493  4.14084507],0
n4,1,0.431788,0.618009,[17  6] ; [31 17],[15.54929577  7.45070423] ; [32.45070423 15.54929577],0
r4,1,0.452027,0.565563,[17  6] ; [40  9],[18.20833333  4.79166667] ; [38.79166667 10.20833333],0
a3,1,0.472832,0.51535,[13 10] ; [32 17],[14.375  8.625] ; [30.625 18.375],0
d5,1,0.495572,0.464405,[16  7] ; [37 11],[17.16901408  5.83098592] ; [35.83098592 12.16901408],0
a7,1,0.514822,0.424253,[15  8] ; [28 21],[13.73611111  9.26388889] ; [29.26388889 19.73611111],0
v1,1,0.528363,0.39754,[ 9 13] ; [24 25],[10.22535211 11.77464789] ; [22.77464789 26.22535211],0
d4,1,0.548214,0.360526,[20  3] ; [39  9],[19.11267606  3.88732394] ; [39.88732394  8.11267606],0
b1,1,0.550495,0.356432,[13 10] ; [24 25],[11.81944444 11.18055556] ; [25.18055556 23.81944444],0
d2,1,0.616724,0.250498,[11 12] ; [26 22],[11.98591549 11.01408451] ; [25.01408451 22.98591549],0
p3,1,0.692379,0.156522,[11 12] ; [21 28],[10.22222222 12.77777778] ; [21.77777778 27.22222222],0
d3,1,0.696571,0.152063,[15  8] ; [29 19],[14.25352113  8.74647887] ; [29.74647887 18.25352113],0
a6,1,0.725658,0.123136,[13 10] ; [25 23],[12.30985915 10.69014085] ; [25.69014085 22.30985915],0
n3,1,0.735039,0.114535,[4 2] ; [10  7],[3.65217391 2.34782609] ; [10.34782609  6.65217391],0
b5,1,0.744191,0.106477,[15  8] ; [30 19],[14.375  8.625] ; [30.625 18.375],0
u2,1,0.755794,0.096726,[5 5] ; [7 9],[4.61538462 5.38461538] ; [7.38461538 8.61538462],0
a8,1,0.78522,0.074269,[ 4 18] ; [ 7 38],[ 3.6119403 18.3880597] ; [ 7.3880597 37.6119403],0
r1,1,0.797759,0.065663,[18  5] ; [37 12],[17.56944444  5.43055556] ; [37.43055556 11.56944444],0
v2,1,0.799133,0.064755,[11 12] ; [24 23],[11.5 11.5] ; [23.5 23.5],0
s1,1,0.840354,0.040578,[ 2 21] ; [ 5 44],[ 2.23611111 20.76388889] ; [ 4.76388889 44.23611111],0
r3,1,0.840354,0.040578,[21  2] ; [44  5],[20.76388889  2.23611111] ; [44.23611111  4.76388889],0
a4,1,0.910001,0.012777,[10 13] ; [22 27],[10.22222222 12.77777778] ; [21.77777778 27.22222222],0
d1,1,0.94394,0.004945,[12 11] ; [26 23],[12.13888889 10.86111111] ; [25.86111111 23.13888889],0
u1,1,0.946142,0.004563,[ 5 18] ; [11 38],[ 5.11111111 17.88888889] ; [10.88888889 38.11111111],0
s4,1,0.947921,0.004266,[ 6 16] ; [13 36],[ 5.88732394 16.11267606] ; [13.11267606 35.88732394],0
p1,1,0.959034,0.002638,[ 2 21] ; [ 4 44],[ 1.94366197 21.05633803] ; [ 4.05633803 43.94366197],0
