Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000573,11.863172,[55 34] ; [47  6],[63.92957746 25.07042254] ; [38.07042254 14.92957746],1
v3,1,0.002221,9.357149,[20 67] ; [25 27],[28.16546763 58.83453237] ; [16.83453237 35.16546763],0
r3,1,0.002649,9.034687,[61 28] ; [48  5],[68.31690141 20.68309859] ; [40.68309859 12.31690141],0
v1,1,0.017024,5.693849,[21 68] ; [23 31],[27.38461538 61.61538462] ; [16.61538462 37.38461538],0
d1,1,0.025351,4.999743,[34 55] ; [31 23],[40.45454545 48.54545455] ; [24.54545455 29.45454545],0
p8,1,0.039982,4.218657,[16 72] ; [18 36],[21.07042254 66.92957746] ; [12.92957746 41.07042254],0
s6,1,0.045037,4.017238,[31 58] ; [28 26],[36.72027972 52.27972028] ; [22.27972028 31.72027972],0
n6,1,0.065417,3.39444,[50 38] ; [39 15],[55.15492958 32.84507042] ; [33.84507042 20.15492958],0
d5,1,0.06711,3.352337,[60 29] ; [44 10],[64.72727273 24.27272727] ; [39.27272727 14.72727273],0
s4,1,0.083569,2.994087,[18 71] ; [ 5 49],[14.31468531 74.68531469] ; [ 8.68531469 45.31468531],0
v4,1,0.084551,2.975176,[64 24] ; [46  8],[68.16901408 19.83098592] ; [41.83098592 12.16901408],0
p4,1,0.094346,2.798606,[26 62] ; [23 30],[30.58156028 57.41843972] ; [18.41843972 34.58156028],0
s7,1,0.108809,2.571429,[17 64] ; [18 36],[21. 60.] ; [14. 40.],0
s1,1,0.115275,2.480372,[10 79] ; [ 2 52],[ 7.46853147 81.53146853] ; [ 4.53146853 49.46853147],0
a7,1,0.130267,2.289318,[49 40] ; [36 17],[53.27464789 35.72535211] ; [31.72535211 21.27464789],0
d3,1,0.137109,2.210111,[43 46] ; [33 21],[47.3006993 41.6993007] ; [28.6993007 25.3006993],0
p10,1,0.138828,2.190901,[18 70] ; [17 37],[21.69014085 66.30985915] ; [13.30985915 40.69014085],0
b4,1,0.151686,2.055217,[52 37] ; [38 16],[56.01398601 32.98601399] ; [33.98601399 20.01398601],0
s8,1,0.154733,2.024957,[13 76] ; [13 41],[16.18181818 72.81818182] ; [ 9.81818182 44.18181818],0
