Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,48.338005,[43 97] ; [80 26],[70. 70.] ; [53. 53.],1
p7,1,0.0,31.107079,[60 77] ; [84 22],[81.18518519 55.81481481] ; [62.81481481 43.18518519],1
p8,1,0.0,30.811578,[46 93] ; [73 33],[67.51428571 71.48571429] ; [51.48571429 54.51428571],1
v1,1,0.000235,13.525145,[52 86] ; [64 40],[66.14876033 71.85123967] ; [49.85123967 54.14876033],1
p10,1,0.000267,13.289995,[96 43] ; [94 12],[107.79591837  31.20408163] ; [82.20408163 23.79591837],1
n4,1,0.000455,12.292902,[90 51] ; [89 17],[102.18218623  38.81781377] ; [76.81781377 29.18218623],1
v3,1,0.00062,11.714194,[35 99] ; [49 54],[47.49367089 86.50632911] ; [36.50632911 66.49367089],1
a5,1,0.001279,10.372206,[83 58] ; [83 23],[94.7611336 46.2388664] ; [71.2388664 34.7611336],0
p6,1,0.001791,9.751939,[ 26 113] ; [38 66],[ 36.6090535 102.3909465] ; [27.3909465 76.6090535],0
s8,1,0.002242,9.340292,[ 21 120] ; [33 73],[ 30.82591093 110.17408907] ; [23.17408907 82.82591093],0
n5,1,0.003521,8.515657,[83 56] ; [82 24],[93.6122449 45.3877551] ; [71.3877551 34.6122449],0
v2,1,0.004448,8.091141,[65 68] ; [70 34],[75.75949367 57.24050633] ; [59.24050633 44.75949367],0
p1,1,0.007486,7.152552,[  7 132] ; [16 90],[ 13.04897959 125.95102041] ; [ 9.95102041 96.04897959],0
p9,1,0.008206,6.988004,[103  36] ; [93 13],[111.2  27.8] ; [84.8 21.2],0
s7,1,0.016842,5.712738,[ 24 108] ; [32 69],[ 31.72532189 100.27467811] ; [24.27467811 76.72532189],0
p5,1,0.017358,5.65983,[  5 134] ; [12 93],[  9.68442623 129.31557377] ; [ 7.31557377 97.68442623],0
u1,1,0.025741,4.973342,[ 10 131] ; [17 89],[ 15.41295547 125.58704453] ; [11.58704453 94.41295547],0
a6,1,0.038108,4.300206,[86 55] ; [78 28],[93.6194332 47.3805668] ; [70.3805668 35.6194332],0
v4,1,0.041875,4.14023,[124  15] ; [102   4],[128.22040816  10.77959184] ; [97.77959184  8.22040816],0
b1,1,0.045596,3.996467,[45 96] ; [47 59],[52.51821862 88.48178138] ; [39.48178138 66.51821862],0
d5,1,0.050118,3.837504,[99 42] ; [86 20],[105.60728745  35.39271255] ; [79.39271255 26.60728745],0
a7,1,0.060067,3.535533,[90 50] ; [80 26],[96.74796748 43.25203252] ; [73.25203252 32.74796748],0
p12,1,0.065472,3.393031,[  2 137] ; [  6 100],[  4.53877551 134.46122449] ; [  3.46122449 102.53877551],0
r4,1,0.078855,3.08834,[115  26] ; [95 11],[119.87854251  21.12145749] ; [90.12145749 15.87854251],0
p2,1,0.090636,2.863037,[109  30] ; [92 14],[114.03673469  24.96326531] ; [86.96326531 19.03673469],0
s5,1,0.105893,2.614463,[ 15 122] ; [19 85],[ 19.32780083 117.67219917] ; [14.67219917 89.32780083],0
a1,1,0.122045,2.390873,[  2 139] ; [  5 101],[  3.99595142 137.00404858] ; [  3.00404858 102.99595142],0
n6,1,0.125509,2.347192,[110  31] ; [90 15],[114.63414634  26.36585366] ; [85.36585366 19.63414634],0
r1,1,0.171943,1.86592,[101  40] ; [84 22],[105.60728745  35.39271255] ; [79.39271255 26.60728745],0
d2,1,0.248513,1.331642,[65 75] ; [41 64],[60.57142857 79.42857143] ; [45.42857143 59.57142857],0
b2,1,0.270258,1.215435,[29 51] ; [32 39],[32.31788079 47.68211921] ; [28.68211921 42.31788079],0
b3,1,0.270258,1.215435,[29 51] ; [32 39],[32.31788079 47.68211921] ; [28.68211921 42.31788079],0
d3,1,0.280127,1.166472,[85 56] ; [71 35],[89.05263158 51.94736842] ; [66.94736842 39.05263158],0
r2,1,0.336678,0.923039,[125  14] ; [99  7],[127.08571429  11.91428571] ; [96.91428571  9.08571429],0
a3,1,0.383814,0.758449,[91 50] ; [74 32],[94.1902834 46.8097166] ; [70.8097166 35.1902834],0
a2,1,0.424944,0.636601,[ 20 121] ; [19 87],[ 22.26315789 118.73684211] ; [16.73684211 89.26315789],0
b5,1,0.427514,0.629568,[79 62] ; [54 52],[75.92307692 65.07692308] ; [57.07692308 48.92307692],0
r3,1,0.428773,0.626144,[133   6] ; [99  7],[131.6244898   7.3755102] ; [100.3755102   5.6244898],0
s1,1,0.450434,0.56956,[  2 136] ; [  3 103],[  2.82786885 135.17213115] ; [  2.17213115 103.82786885],0
u3,1,0.465962,0.531536,[24 26] ; [18 14],[25.6097561 24.3902439] ; [16.3902439 15.6097561],0
s2,1,0.485348,0.486822,[ 25 113] ; [23 83],[ 27.14754098 110.85245902] ; [20.85245902 85.14754098],0
n1,1,0.589749,0.290737,[15 28] ; [ 5 13],[14.09836066 28.90163934] ; [ 5.90163934 12.09836066],0
b4,1,0.614056,0.254311,[83 58] ; [59 47],[81.06072874 59.93927126] ; [60.93927126 45.06072874],0
d1,1,0.67303,0.178078,[72 69] ; [57 49],[73.63967611 67.36032389] ; [55.36032389 50.63967611],0
s3,1,0.695104,0.153615,[ 34 105] ; [28 77],[ 35.31967213 103.68032787] ; [26.68032787 78.31967213],0
u4,1,0.83893,0.041315,[  1 140] ; [  1 105],[  1.1417004 139.8582996] ; [  0.8582996 105.1417004],0
d4,1,0.925937,0.008641,[109  31] ; [82 24],[108.69918699  31.30081301] ; [82.30081301 23.69918699],0
s4,1,0.944368,0.004869,[  9 132] ; [ 7 99],[  9.13360324 131.86639676] ; [ 6.86639676 99.13360324],0
a4,1,0.952796,0.003504,[58 83] ; [44 62],[58.22672065 82.77327935] ; [43.77327935 62.22672065],0
n2,1,0.967724,0.001637,[32 12] ; [13  5],[31.93548387 12.06451613] ; [13.06451613  4.93548387],0
a8,1,0.979486,0.000661,[ 16 118] ; [11 82],[ 15.93832599 118.06167401] ; [11.06167401 81.93832599],0
u2,1,0.995514,3.2e-05,[26 23] ; [17 15],[26.01234568 22.98765432] ; [16.98765432 15.01234568],0
n3,1,1.0,0.0,[35 10] ; [14  4],[35. 10.] ; [14.  4.],0
