Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,61.526933,[ 41 245] ; [43 32],[ 66.54847645 219.45152355] ; [17.45152355 57.54847645],1
s6,1,2e-06,22.521082,[ 93 206] ; [47 31],[111.03448276 187.96551724] ; [28.96551724 49.03448276],1
v3,1,0.000123,14.750097,[ 82 210] ; [39 37],[ 96.01086957 195.98913043] ; [24.98913043 51.01086957],1
p7,1,0.000394,12.561059,[145 152] ; [55 22],[158.82352941 138.17647059] ; [41.17647059 35.82352941],1
p9,1,0.000536,11.985713,[213  83] ; [70  7],[224.57908847  71.42091153] ; [58.42091153 18.57908847],1
r1,1,0.001383,10.227808,[208  93] ; [68 10],[219.19788918  81.80211082] ; [56.80211082 21.19788918],0
p10,1,0.001522,10.051506,[200  97] ; [66 11],[211.23529412  85.76470588] ; [54.76470588 22.23529412],0
s5,1,0.002261,9.324606,[ 48 250] ; [24 52],[ 57.36898396 240.63101604] ; [14.63101604 61.36898396],0
p6,1,0.003477,8.53881,[ 70 226] ; [31 46],[ 80.15013405 215.84986595] ; [20.84986595 56.15013405],0
p4,1,0.004391,8.114773,[138 162] ; [50 28],[149.20634921 150.79365079] ; [38.79365079 39.20634921],0
r4,1,0.004771,7.964169,[232  71] ; [71  7],[240.96850394  62.03149606] ; [62.03149606 15.96850394],0
p3,1,0.005835,7.600637,[114 187] ; [43 35],[124.68865435 176.31134565] ; [32.31134565 45.68865435],0
a5,1,0.006629,7.370957,[196 107] ; [63 15],[205.97637795  97.02362205] ; [53.02362205 24.97637795],0
u2,1,0.009044,6.814083,[51 58] ; [17  5],[56.58015267 52.41984733] ; [11.41984733 10.58015267],0
a8,1,0.010791,6.499422,[ 25 248] ; [14 56],[ 31.04081633 241.95918367] ; [ 7.95918367 62.04081633],0
r3,1,0.028169,4.817719,[257  43] ; [74  4],[262.6984127  37.3015873] ; [68.3015873  9.6984127],0
v1,1,0.031995,4.598781,[130 169] ; [44 33],[138.36702128 160.63297872] ; [35.63297872 41.36702128],0
p11,1,0.035366,4.427406,[217  86] ; [65 13],[224.26771654  78.73228346] ; [57.73228346 20.26771654],0
p12,1,0.04645,3.965195,[ 11 289] ; [ 7 70],[ 14.32360743 285.67639257] ; [ 3.67639257 73.32360743],0
p5,1,0.046648,3.958038,[ 24 277] ; [12 66],[ 28.59102902 272.40897098] ; [ 7.40897098 70.59102902],0
n4,1,0.05152,3.791276,[206  96] ; [62 16],[212.98947368  89.01052632] ; [55.01052632 22.98947368],0
d2,1,0.051827,3.781346,[121 179] ; [41 37],[128.57142857 171.42857143] ; [33.42857143 44.57142857],0
p8,1,0.061634,3.492871,[131 167] ; [42 33],[138.21447721 159.78552279] ; [34.78552279 40.21447721],0
a6,1,0.067749,3.336732,[208  95] ; [45 33],[201.20472441 101.79527559] ; [51.79527559 26.20472441],0
