Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.9e-05,15.152982,[13  5] ; [24 71],[ 5.89380531 12.10619469] ; [31.10619469 63.89380531],1
s7,1,0.000276,13.224096,[10  7] ; [15 71],[ 4.12621359 12.87378641] ; [20.87378641 65.12621359],1
s5,1,0.00118,10.521638,[ 7 10] ; [10 85],[ 2.58035714 14.41964286] ; [14.41964286 80.58035714],0
p10,1,0.001887,9.656634,[9 9] ; [16 79],[ 3.98230088 14.01769912] ; [21.01769912 73.98230088],0
s2,1,0.002624,9.051875,[10  8] ; [20 74],[ 4.82142857 13.17857143] ; [25.17857143 68.82142857],0
b1,1,0.005055,7.85969,[15  3] ; [45 50],[9.55752212 8.44247788] ; [50.44247788 44.55752212],0
r4,1,0.00665,7.365235,[16  2] ; [52 43],[10.83185841  7.16814159] ; [57.16814159 37.83185841],0
r1,1,0.010252,6.590501,[17  1] ; [60 34],[12.375  5.625] ; [64.625 29.375],0
n6,1,0.014248,6.007092,[15  3] ; [49 45],[10.28571429  7.71428571] ; [53.71428571 40.28571429],0
r3,1,0.029984,4.7102,[17  1] ; [65 28],[13.2972973  4.7027027] ; [68.7027027 24.2972973],0
v3,1,0.030305,4.691901,[8 9] ; [20 71],[ 4.40740741 12.59259259] ; [23.59259259 67.40740741],0
n5,1,0.044463,4.038876,[14  4] ; [49 45],[10.125  7.875] ; [52.875 41.125],0
d5,1,0.059053,3.563787,[15  3] ; [57 38],[11.46902655  6.53097345] ; [60.53097345 34.46902655],0
n4,1,0.091331,2.850761,[15  3] ; [59 35],[11.89285714  6.10714286] ; [62.10714286 31.89285714],0
a3,1,0.123606,2.371021,[14  4] ; [55 39],[11.08928571  6.91071429] ; [57.91071429 36.08928571],0
v4,1,0.126622,2.333443,[16  2] ; [66 26],[13.41818182  4.58181818] ; [68.58181818 23.41818182],0
r2,1,0.132849,2.258889,[17  1] ; [74 19],[14.75675676  3.24324324] ; [76.24324324 16.75675676],0
n2,1,0.155221,2.020174,[6 2] ; [19 21],[4.16666667 3.83333333] ; [20.83333333 19.16666667],0
s3,1,0.167366,1.906383,[9 9] ; [31 63],[ 6.42857143 11.57142857] ; [33.57142857 60.42857143],0
d1,1,0.189923,1.718214,[10  8] ; [37 58],[ 7.48672566 10.51327434] ; [39.51327434 55.48672566],0
u1,1,0.202819,1.621957,[ 3 15] ; [ 7 88],[ 1.59292035 16.40707965] ; [ 8.40707965 86.59292035],0
d4,1,0.213309,1.548827,[15  3] ; [64 29],[12.81081081  5.18918919] ; [66.18918919 26.81081081],0
d2,1,0.214953,1.537752,[11  7] ; [42 51],[8.59459459 9.40540541] ; [44.40540541 48.59459459],0
n1,1,0.266225,1.236097,[4 3] ; [14 26],[2.68085106 4.31914894] ; [15.31914894 24.68085106],0
p3,1,0.284102,1.14736,[ 5 13] ; [16 78],[ 3.375 14.625] ; [17.625 76.375],0
b4,1,0.327445,0.958977,[13  5] ; [57 38],[11.15044248  6.84955752] ; [58.84955752 36.15044248],0
d3,1,0.365079,0.820347,[ 7 11] ; [48 47],[8.76106195 9.23893805] ; [46.23893805 48.76106195],0
a5,1,0.409757,0.679507,[11  7] ; [48 47],[9.39823009 8.60176991] ; [49.60176991 45.39823009],0
a1,1,0.46704,0.52897,[ 2 16] ; [ 6 89],[ 1.27433628 16.72566372] ; [ 6.72566372 88.27433628],0
p7,1,0.475019,0.510276,[ 5 13] ; [34 59],[ 6.32432432 11.67567568] ; [32.67567568 60.32432432],0
s1,1,0.548368,0.360248,[ 2 15] ; [ 7 87],[ 1.37837838 15.62162162] ; [ 7.62162162 86.37837838],0
b5,1,0.592038,0.287173,[9 9] ; [54 41],[10.03539823  7.96460177] ; [52.96460177 42.03539823],0
p2,1,0.592038,0.287173,[9 9] ; [41 54],[ 7.96460177 10.03539823] ; [42.03539823 52.96460177],0
v2,1,0.613377,0.255286,[ 7 10] ; [32 60],[ 6.08256881 10.91743119] ; [32.91743119 59.08256881],0
a8,1,0.615576,0.252135,[ 1 17] ; [ 8 79],[ 1.54285714 16.45714286] ; [ 7.45714286 79.54285714],0
b3,1,0.66719,0.184907,[3 8] ; [18 35],[3.609375 7.390625] ; [17.390625 35.609375],0
b2,1,0.66719,0.184907,[3 8] ; [18 35],[3.609375 7.390625] ; [17.390625 35.609375],0
n3,1,0.728282,0.120695,[4 3] ; [19 19],[3.57777778 3.42222222] ; [19.42222222 18.57777778],0
a6,1,0.78893,0.071663,[10  8] ; [56 39],[10.51327434  7.48672566] ; [55.48672566 39.51327434],0
p6,1,0.822006,0.05061,[ 2 16] ; [12 80],[ 2.29090909 15.70909091] ; [11.70909091 80.29090909],0
v1,1,0.883546,0.021455,[ 6 12] ; [30 65],[ 5.73451327 12.26548673] ; [30.26548673 64.73451327],0
p8,1,0.900388,0.015668,[ 3 15] ; [17 78],[ 3.18584071 14.81415929] ; [16.81415929 78.18584071],0
a7,1,0.95538,0.003131,[10  8] ; [51 42],[9.89189189 8.10810811] ; [51.10810811 41.89189189],0
a4,1,0.962327,0.002231,[ 7 11] ; [36 58],[ 6.91071429 11.08928571] ; [36.08928571 57.91071429],0
p11,1,0.985383,0.000336,[ 8 10] ; [42 53],[ 7.96460177 10.03539823] ; [42.03539823 52.96460177],0
a2,1,0.985441,0.000333,[ 3 15] ; [16 79],[ 3.02654867 14.97345133] ; [15.97345133 79.02654867],0
