Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.076808,[30  5] ; [43 62],[18.25 16.75] ; [54.75 50.25],1
p4,1,6e-05,16.115045,[29  6] ; [45 58],[18.76811594 16.23188406] ; [55.23188406 47.76811594],1
p7,1,0.000779,11.291328,[28  6] ; [51 52],[19.60583942 14.39416058] ; [59.39416058 43.60583942],1
p9,1,0.011455,6.39329,[33  2] ; [78 27],[27.75  7.25] ; [83.25 21.75],0
p12,1,0.014133,6.021505,[ 8 27] ; [ 8 97],[ 4. 31.] ; [12. 93.],0
p3,1,0.014205,6.012506,[22 13] ; [41 64],[15.75 19.25] ; [47.25 57.75],0
p11,1,0.034377,4.475836,[31  4] ; [75 31],[26.31205674  8.68794326] ; [79.68794326 26.31205674],0
p2,1,0.04067,4.189707,[32  3] ; [79 26],[27.75  7.25] ; [83.25 21.75],0
v2,1,0.05263,3.755614,[30  4] ; [74 29],[25.81021898  8.18978102] ; [78.18978102 24.81021898],0
b4,1,0.053619,3.724528,[28  7] ; [66 40],[23.33333333 11.66666667] ; [70.66666667 35.33333333],0
n1,1,0.054092,3.70987,[3 2] ; [ 4 18],[1.2962963 3.7037037] ; [ 5.7037037 16.2962963],0
b3,1,0.058447,3.580927,[10  9] ; [18 44],[ 6.56790123 12.43209877] ; [21.43209877 40.56790123],0
b2,1,0.058447,3.580927,[10  9] ; [18 44],[ 6.56790123 12.43209877] ; [21.43209877 40.56790123],0
s8,1,0.059009,3.56501,[12 23] ; [20 86],[ 7.94326241 27.05673759] ; [24.05673759 81.94326241],0
p10,1,0.059631,3.547626,[31  4] ; [76 28],[26.94244604  8.05755396] ; [80.05755396 23.94244604],0
r4,1,0.067774,3.336132,[34  1] ; [91 15],[31.02836879  3.97163121] ; [93.97163121 12.02836879],0
u1,1,0.089862,2.876851,[ 8 27] ; [12 94],[ 4.96453901 30.03546099] ; [15.03546099 90.96453901],0
