Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000395,12.5545,[81 12] ; [91 46],[69.54782609 23.45217391] ; [102.45217391  34.54782609],1
s8,1,0.002983,8.818049,[51 43] ; [47 89],[40.05217391 53.94782609] ; [57.94782609 78.05217391],0
s5,1,0.006715,7.347539,[41 51] ; [37 99],[31.47368421 60.52631579] ; [46.52631579 89.47368421],0
n5,1,0.007563,7.134198,[77 18] ; [89 48],[67.97413793 27.02586207] ; [98.02586207 38.97413793],0
p4,1,0.007708,7.099992,[74 21] ; [84 53],[64.69827586 30.30172414] ; [93.30172414 43.69827586],0
p10,1,0.013698,6.07666,[80 13] ; [99 38],[72.37826087 20.62173913] ; [106.62173913  30.37826087],0
d4,1,0.018694,5.529899,[79 15] ; [96 40],[71.52173913 22.47826087] ; [103.47826087  32.52173913],0
r4,1,0.025091,5.017578,[89  6] ; [115  22],[83.53448276 11.46551724] ; [120.46551724  16.53448276],0
v3,1,0.02705,4.887648,[24 70] ; [ 19 117],[17.57391304 76.42608696] ; [ 25.42608696 110.57391304],0
a3,1,0.028374,4.805212,[70 24] ; [83 54],[62.25974026 31.74025974] ; [90.74025974 46.25974026],0
p9,1,0.02868,4.786741,[82 12] ; [102  33],[75.52838428 18.47161572] ; [108.47161572  26.52838428],0
u1,1,0.06311,3.45372,[16 79] ; [ 12 125],[11.46551724 83.53448276] ; [ 16.53448276 120.46551724],0
b2,1,0.069204,3.301803,[29 36] ; [23 54],[23.8028169 41.1971831] ; [28.1971831 48.8028169],0
b3,1,0.069204,3.301803,[29 36] ; [23 54],[23.8028169 41.1971831] ; [28.1971831 48.8028169],0
n2,1,0.082572,3.013527,[15  2] ; [27 14],[12.31034483  4.68965517] ; [29.68965517 11.31034483],0
r2,1,0.087621,2.91755,[90  5] ; [119  16],[86.32608696  8.67391304] ; [122.67391304  12.32608696],0
s1,1,0.102133,2.671916,[ 1 91] ; [  7 129],[ 3.22807018 88.77192982] ; [  4.77192982 131.22807018],0
a5,1,0.103046,2.657753,[70 25] ; [87 50],[64.2887931 30.7112069] ; [92.7112069 44.2887931],0
n1,1,0.14698,2.103317,[9 8] ; [13 27],[ 6.56140351 10.43859649] ; [15.43859649 24.56140351],0
s6,1,0.175765,1.833074,[68 24] ; [87 46],[63.37777778 28.62222222] ; [91.62222222 41.37777778],0
v4,1,0.178791,1.807646,[91  4] ; [125  12],[88.44827586  6.55172414] ; [127.55172414   9.44827586],0
p8,1,0.191614,1.705162,[67 28] ; [84 51],[62.36956522 32.63043478] ; [88.63043478 46.36956522],0
p12,1,0.208884,1.579142,[ 8 87] ; [  6 130],[ 5.75757576 89.24242424] ; [  8.24242424 127.75757576],0
d5,1,0.212741,1.552678,[75 19] ; [98 37],[71.01310044 22.98689956] ; [101.98689956  33.01310044],0
u3,1,0.216659,1.526361,[16  9] ; [26 27],[13.46153846 11.53846154] ; [28.53846154 24.46153846],0
p3,1,0.258206,1.278352,[55 40] ; [69 68],[50.77586207 44.22413793] ; [73.22413793 63.77586207],0
b1,1,0.2623,1.256575,[48 47] ; [59 78],[43.81465517 51.18534483] ; [63.18534483 73.81465517],0
s7,1,0.30758,1.04104,[46 43] ; [59 73],[42.28506787 46.71493213] ; [62.71493213 69.28506787],0
r3,1,0.307839,1.039926,[90  5] ; [124  12],[88.00865801  6.99134199] ; [125.99134199  10.00865801],0
p11,1,0.325497,0.966728,[76 19] ; [102  35],[72.88793103 22.11206897] ; [105.11206897  31.88793103],0
a4,1,0.329699,0.950081,[41 53] ; [51 86],[37.43722944 56.56277056] ; [54.56277056 82.43722944],0
a1,1,0.347405,0.882913,[ 6 89] ; [  5 132],[ 4.50431034 90.49568966] ; [  6.49568966 130.50431034],0
p6,1,0.37016,0.803126,[48 45] ; [62 74],[44.67248908 48.32751092] ; [65.32751092 70.67248908],0
n4,1,0.391162,0.735326,[72 22] ; [98 39],[69.17748918 24.82251082] ; [100.82251082  36.17748918],0
s4,1,0.437862,0.60188,[23 71] ; [ 27 107],[20.61403509 73.38596491] ; [ 29.38596491 104.61403509],0
d1,1,0.473985,0.51267,[51 44] ; [67 70],[48.31896552 46.68103448] ; [69.68103448 67.31896552],0
n6,1,0.514762,0.424374,[80 15] ; [110  26],[78.13852814 16.86147186] ; [111.86147186  24.13852814],0
p5,1,0.52315,0.407678,[13 81] ; [ 15 121],[11.44347826 82.55652174] ; [ 16.55652174 119.44347826],0
a6,1,0.632634,0.228506,[55 40] ; [83 53],[56.75324675 38.24675325] ; [81.24675325 54.75324675],0
a7,1,0.636393,0.223491,[65 30] ; [89 47],[63.33333333 31.66666667] ; [90.66666667 45.33333333],0
s2,1,0.666178,0.186105,[48 46] ; [66 71],[46.38961039 47.61038961] ; [67.61038961 69.38961039],0
u2,1,0.713778,0.134532,[14 11] ; [32 21],[14.74358974 10.25641026] ; [31.25641026 21.74358974],0
a8,1,0.767606,0.087325,[13 72] ; [ 18 112],[12.25581395 72.74418605] ; [ 18.74418605 111.25581395],0
a2,1,0.781018,0.07728,[18 77] ; [ 24 113],[17.19827586 77.80172414] ; [ 24.80172414 112.19827586],0
d3,1,0.813614,0.055586,[61 34] ; [84 50],[60.15283843 34.84716157] ; [84.84716157 49.15283843],0
n3,1,0.887927,0.019861,[12  4] ; [30 11],[11.78947368  4.21052632] ; [30.21052632 10.78947368],0
p1,1,0.927815,0.008207,[ 8 87] ; [ 11 125],[ 7.81385281 87.18614719] ; [ 11.18614719 124.81385281],0
b5,1,0.939549,0.005751,[55 40] ; [80 57],[55.28017241 39.71982759] ; [79.71982759 57.28017241],0
p2,1,0.954615,0.003239,[85 10] ; [122  14],[85.12987013  9.87012987] ; [121.87012987  14.12987013],0
d2,1,0.976609,0.00086,[40 55] ; [57 79],[39.89177489 55.10822511] ; [57.10822511 78.89177489],0
b4,1,0.980716,0.000584,[48 47] ; [69 68],[47.90948276 47.09051724] ; [69.09051724 67.90948276],0
s3,1,0.988709,0.0002,[54 40] ; [78 58],[53.94782609 40.05217391] ; [78.05217391 57.94782609],0
