Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000177,14.063161,[25 20] ; [15 55],[15.65217391 29.34782609] ; [24.34782609 45.65217391],1
v2,1,0.000332,12.879488,[22 20] ; [13 54],[13.48623853 28.51376147] ; [21.51376147 45.48623853],1
s8,1,0.000913,10.996217,[21 24] ; [13 59],[13.07692308 31.92307692] ; [20.92307692 51.07692308],1
s6,1,0.002731,8.979179,[30 14] ; [28 43],[22.19130435 21.80869565] ; [35.80869565 35.19130435],0
u3,1,0.004943,7.900229,[9 5] ; [ 6 23],[4.88372093 9.11627907] ; [10.11627907 18.88372093],0
d5,1,0.008366,6.953459,[33 12] ; [35 37],[26.15384615 18.84615385] ; [41.84615385 30.15384615],0
b5,1,0.008487,6.927632,[30 15] ; [30 42],[23.07692308 21.92307692] ; [36.92307692 35.07692308],0
s3,1,0.01021,6.59793,[25 20] ; [22 48],[18.39130435 26.60869565] ; [28.60869565 41.39130435],0
v4,1,0.010725,6.51037,[40  4] ; [51 21],[34.51724138  9.48275862] ; [56.48275862 15.51724138],0
a2,1,0.011622,6.367593,[ 7 38] ; [ 2 70],[ 3.46153846 41.53846154] ; [ 5.53846154 66.46153846],0
a5,1,0.01255,6.231522,[33 12] ; [36 36],[26.53846154 18.46153846] ; [42.46153846 29.53846154],0
r1,1,0.01255,6.231522,[33 12] ; [36 36],[26.53846154 18.46153846] ; [42.46153846 29.53846154],0
r3,1,0.015157,5.898148,[40  5] ; [50 22],[34.61538462 10.38461538] ; [55.38461538 16.61538462],0
p9,1,0.017931,5.60292,[35  9] ; [40 29],[29.20353982 14.79646018] ; [45.79646018 23.20353982],0
r2,1,0.02443,5.063814,[42  3] ; [55 16],[37.62931034  7.37068966] ; [59.37068966 11.62931034],0
p10,1,0.033241,4.533308,[30 14] ; [34 37],[24.48695652 19.51304348] ; [39.51304348 31.48695652],0
v3,1,0.03402,4.493709,[14 27] ; [11 56],[ 9.49074074 31.50925926] ; [15.50925926 51.49074074],0
r4,1,0.041186,4.168357,[34 11] ; [41 31],[28.84615385 16.15384615] ; [46.15384615 25.84615385],0
u1,1,0.051017,3.807723,[ 4 41] ; [ 1 71],[ 1.92307692 43.07692308] ; [ 3.07692308 68.92307692],0
s7,1,0.091843,2.841767,[19 23] ; [20 48],[14.89090909 27.10909091] ; [24.10909091 43.89090909],0
a6,1,0.092904,2.823329,[24 21] ; [27 45],[19.61538462 25.38461538] ; [31.38461538 40.61538462],0
a4,1,0.105597,2.618914,[24 21] ; [27 44],[19.78448276 25.21551724] ; [31.21551724 39.78448276],0
