Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,29.932015,[ 8 36] ; [33 10],[20.73563218 23.26436782] ; [20.26436782 22.73563218],1
p2,1,0.00085,11.127907,[22 22] ; [36  7],[29.33333333 14.66666667] ; [28.66666667 14.33333333],1
v1,1,0.002053,9.501149,[ 9 35] ; [22 20],[15.86046512 28.13953488] ; [15.13953488 26.86046512],0
v4,1,0.008033,7.026144,[29 14] ; [39  4],[34.  9.] ; [34.  9.],0
s5,1,0.017408,5.654785,[ 4 40] ; [12 29],[ 8.28235294 35.71764706] ; [ 7.71764706 33.28235294],0
s2,1,0.038214,4.295471,[12 32] ; [21 22],[16.68965517 27.31034483] ; [16.31034483 26.68965517],0
r4,1,0.060122,3.534028,[22 22] ; [30 13],[26.29885057 17.70114943] ; [25.70114943 17.29885057],0
d2,1,0.06389,3.433404,[16 28] ; [ 8 35],[12.13793103 31.86206897] ; [11.86206897 31.13793103],0
r2,1,0.068847,3.310291,[30 13] ; [37  6],[33.5  9.5] ; [33.5  9.5],0
p8,1,0.084239,2.981158,[ 9 35] ; [16 27],[12.64367816 31.35632184] ; [12.35632184 30.64367816],0
s7,1,0.091322,2.850909,[ 9 31] ; [16 24],[12.5 27.5] ; [12.5 27.5],0
d3,1,0.104317,2.638268,[18 26] ; [24 17],[21.74117647 22.25882353] ; [20.25882353 20.74117647],0
s3,1,0.104446,2.636315,[16 27] ; [23 19],[19.72941176 23.27058824] ; [19.27058824 22.72941176],0
s8,1,0.122974,2.37903,[ 8 36] ; [14 29],[11.12643678 32.87356322] ; [10.87356322 32.12643678],0
r3,1,0.127344,2.324582,[28 16] ; [33  9],[31.20930233 12.79069767] ; [29.79069767 12.20930233],0
s6,1,0.13396,2.246007,[17 27] ; [23 19],[20.46511628 23.53488372] ; [19.53488372 22.46511628],0
p4,1,0.180723,1.791667,[13 30] ; [19 24],[16. 27.] ; [16. 27.],0
v2,1,0.18969,1.720023,[15 28] ; [ 9 32],[12.28571429 30.71428571] ; [11.71428571 29.28571429],0
n3,1,0.256839,1.285714,[10 11] ; [10  5],[11.66666667  9.33333333] ; [8.33333333 6.66666667],0
b5,1,0.298515,1.080814,[26 18] ; [30 13],[28.32183908 15.67816092] ; [27.67816092 15.32183908],0
n1,1,0.329114,0.952381,[ 4 17] ; [ 5 10],[ 5.25 15.75] ; [ 3.75 11.25],0
a8,1,0.342592,0.900708,[ 3 38] ; [ 1 37],[ 2.07594937 38.92405063] ; [ 1.92405063 36.07594937],0
d4,1,0.365459,0.819048,[26 17] ; [30 13],[28. 15.] ; [28. 15.],0
a7,1,0.375182,0.786429,[22 22] ; [25 17],[24.04651163 19.95348837] ; [22.95348837 19.04651163],0
p7,1,0.377668,0.778281,[19 24] ; [15 28],[17. 26.] ; [17. 26.],0
b2,1,0.389852,0.739405,[ 9 20] ; [ 4 16],[ 7.69387755 21.30612245] ; [ 5.30612245 14.69387755],0
b3,1,0.389852,0.739405,[ 9 20] ; [ 4 16],[ 7.69387755 21.30612245] ; [ 5.30612245 14.69387755],0
n2,1,0.391366,0.734694,[11 10] ; [10  5],[12.25  8.75] ; [8.75 6.25],0
s4,1,0.422213,0.644146,[ 9 35] ; [ 6 37],[ 7.5862069 36.4137931] ; [ 7.4137931 35.5862069],0
p5,1,0.437622,0.602509,[ 3 41] ; [ 5 38],[ 4.04597701 39.95402299] ; [ 3.95402299 39.04597701],0
n4,1,0.45591,0.555917,[25 19] ; [21 22],[23.26436782 20.73563218] ; [22.73563218 20.26436782],0
b1,1,0.457224,0.552681,[26 18] ; [22 21],[24.27586207 19.72413793] ; [23.72413793 19.27586207],0
