Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,63.879938,[ 23 106] ; [108  60],[56.8989899 72.1010101] ; [74.1010101 93.8989899],1
p6,1,0.0,34.641049,[ 22 106] ; [85 84],[46.11447811 81.88552189] ; [ 60.88552189 108.11447811],1
p8,1,0.0,28.620458,[41 88] ; [106  62],[63.84848485 65.15151515] ; [83.15151515 84.84848485],1
p7,1,0.0,27.43385,[52 73] ; [121  47],[73.80546075 51.19453925] ; [99.19453925 68.80546075],1
p10,1,0.0,25.348189,[76 54] ; [142  26],[95.10067114 34.89932886] ; [122.89932886  45.10067114],1
p9,1,1.3e-05,19.065623,[81 47] ; [144  25],[96.96969697 31.03030303] ; [128.03030303  40.96969697],1
p2,1,2.2e-05,17.998774,[89 40] ; [150  19],[103.45973154  25.54026846] ; [135.54026846  33.45973154],1
s6,1,2.5e-05,17.737225,[69 57] ; [128  36],[85.59310345 40.40689655] ; [111.40689655  52.59310345],1
n6,1,4.1e-05,16.830666,[90 39] ; [150  19],[103.89261745  25.10738255] ; [136.10738255  32.89261745],1
s2,1,0.00022,13.655152,[47 82] ; [97 70],[62.75675676 66.24324324] ; [81.24324324 85.75675676],1
r3,1,0.000251,13.407658,[111  19] ; [163   5],[119.53020134  10.46979866] ; [154.46979866  13.53020134],1
s7,1,0.000464,12.254599,[43 79] ; [90 70],[57.53900709 64.46099291] ; [75.46099291 84.53900709],1
n5,1,0.000793,11.258512,[82 48] ; [136  33],[94.7826087 35.2173913] ; [123.2173913  45.7826087],1
v4,1,0.000815,11.20666,[115  14] ; [166   3],[121.6409396   7.3590604] ; [159.3590604   9.6409396],1
s8,1,0.001405,10.199363,[40 88] ; [84 85],[53.44107744 74.55892256] ; [70.55892256 98.44107744],0
p1,1,0.002815,8.923694,[  4 124] ; [ 22 147],[ 11.20538721 116.79461279] ; [ 14.79461279 154.20538721],0
s3,1,0.004546,8.051761,[62 66] ; [109  59],[73.94594595 54.05405405] ; [97.05405405 70.94594595],0
n4,1,0.005758,7.624595,[91 39] ; [141  28],[100.86956522  29.13043478] ; [131.13043478  37.86956522],0
s5,1,0.005977,7.557173,[32 96] ; [65 96],[42.96193772 85.03806228] ; [ 54.03806228 106.96193772],0
v1,1,0.007613,7.122374,[43 86] ; [81 85],[54.22372881 74.77627119] ; [69.77627119 96.22372881],0
p5,1,0.012202,6.281273,[  8 121] ; [ 26 141],[ 14.81756757 114.18243243] ; [ 19.18243243 147.81756757],0
d3,1,0.013223,6.139044,[78 51] ; [125  44],[87.87583893 41.12416107] ; [115.12416107  53.87583893],0
s4,1,0.013713,6.074699,[ 17 111] ; [ 41 124],[ 25.33788396 102.66211604] ; [ 32.66211604 132.33788396],0
r4,1,0.015165,5.897194,[115  15] ; [162   7],[120.43478261   9.56521739] ; [156.56521739  12.43478261],0
p11,1,0.022065,5.240639,[87 43] ; [133  36],[95.65217391 34.34782609] ; [124.34782609  44.65217391],0
d1,1,0.03578,4.407547,[65 65] ; [105  64],[73.91304348 56.08695652] ; [96.08695652 72.91304348],0
d5,1,0.057385,3.611389,[95 34] ; [139  29],[101.63636364  27.36363636] ; [132.36363636  35.63636364],0
r2,1,0.064801,3.410047,[120  10] ; [163   5],[123.45637584   6.54362416] ; [159.54362416   8.45637584],0
a7,1,0.153547,2.036651,[83 47] ; [121  48],[88.69565217 41.30434783] ; [115.30434783  53.69565217],0
a1,1,0.169388,1.888352,[  7 123] ; [  4 165],[  4.7826087 125.2173913] ; [  6.2173913 162.7826087],0
u1,1,0.174929,1.840188,[ 17 113] ; [ 32 137],[ 21.30434783 108.69565217] ; [ 27.69565217 141.30434783],0
a5,1,0.175935,1.831632,[86 44] ; [124  45],[91.30434783 38.69565217] ; [118.69565217  50.30434783],0
b2,1,0.182501,1.777138,[22 53] ; [42 66],[26.2295082 48.7704918] ; [37.7704918 70.2295082],0
b3,1,0.182501,1.777138,[22 53] ; [42 66],[26.2295082 48.7704918] ; [37.7704918 70.2295082],0
v3,1,0.248303,1.332824,[ 21 106] ; [ 36 128],[ 24.87628866 102.12371134] ; [ 32.12371134 131.87628866],0
b5,1,0.288383,1.127157,[81 49] ; [95 74],[76.52173913 53.47826087] ; [99.47826087 69.52173913],0
a4,1,0.304831,1.052941,[56 73] ; [83 85],[60.37373737 68.62626263] ; [78.62626263 89.37373737],0
d2,1,0.328301,0.955587,[56 73] ; [83 86],[60.17114094 68.82885906] ; [78.82885906 90.17114094],0
u2,1,0.342361,0.901572,[25 15] ; [29 26],[22.73684211 17.26315789] ; [31.26315789 23.73684211],0
n1,1,0.373333,0.792541,[24 28] ; [12 21],[22.02352941 29.97647059] ; [13.97647059 19.02352941],0
b1,1,0.403855,0.696819,[56 74] ; [81 88],[59.56521739 70.43478261] ; [77.43478261 91.56521739],0
s1,1,0.406902,0.687834,[ 11 118] ; [ 10 156],[  9.18305085 119.81694915] ; [ 11.81694915 154.18305085],0
d4,1,0.406967,0.687644,[101  28] ; [138  30],[103.80808081  25.19191919] ; [135.19191919  32.80808081],0
a8,1,0.45152,0.566835,[ 17 104] ; [ 17 137],[ 14.96 106.04] ; [ 19.04 134.96],0
u4,1,0.452932,0.563305,[  1 129] ; [  3 166],[  1.73913043 128.26086957] ; [  2.26086957 166.73913043],0
a3,1,0.57538,0.313763,[90 38] ; [113  55],[87.78378378 40.21621622] ; [115.21621622  52.78378378],0
p12,1,0.64205,0.216071,[  6 122] ; [ 10 159],[  6.8956229 121.1043771] ; [  9.1043771 159.8956229],0
a2,1,0.666308,0.185951,[32 98] ; [ 38 131],[30.43478261 99.56521739] ; [ 39.56521739 129.43478261],0
u3,1,0.674575,0.176297,[26 14] ; [38 17],[26.94736842 13.05263158] ; [37.05263158 17.94736842],0
n2,1,0.682501,0.167324,[36 17] ; [21 12],[35.12790698 17.87209302] ; [21.87209302 11.12790698],0
n3,1,0.746416,0.104567,[33 17] ; [20 12],[32.31707317 17.68292683] ; [20.68292683 11.31707317],0
a6,1,0.843093,0.03918,[81 48] ; [108  61],[81.81543624 47.18456376] ; [107.18456376  61.81543624],0
b4,1,0.877797,0.023643,[75 55] ; [96 73],[74.34782609 55.65217391] ; [96.65217391 72.34782609],0
