Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,36.35364,[26 33] ; [198  43],[44.05333333 14.94666667] ; [179.94666667  61.05333333],1
s8,1,0.0,30.130517,[11 48] ; [141 100],[29.89333333 29.10666667] ; [122.10666667 118.89333333],1
v4,1,2e-06,22.899947,[45 12] ; [231   8],[53.14864865  3.85135135] ; [222.85135135  16.14864865],1
s7,1,2e-06,22.225082,[17 38] ; [153  80],[32.46527778 22.53472222] ; [137.53472222  95.46527778],1
r4,1,1.2e-05,19.100688,[40 19] ; [217  24],[50.54333333  8.45666667] ; [206.45666667  34.54333333],1
r3,1,1.8e-05,18.441172,[48 11] ; [230   8],[55.22558923  3.77441077] ; [222.77441077  15.22558923],1
r1,1,4.7e-05,16.545667,[34 25] ; [196  42],[45.69023569 13.30976431] ; [184.30976431  53.69023569],1
p2,1,6e-05,16.090494,[38 21] ; [208  32],[48.54180602 10.45819398] ; [197.45819398  42.54180602],1
p9,1,6.5e-05,15.954769,[38 21] ; [207  32],[48.50671141 10.49328859] ; [196.49328859  42.50671141],1
s5,1,7.1e-05,15.787722,[ 8 47] ; [100 130],[20.84210526 34.15789474] ; [ 87.15789474 142.84210526],1
n6,1,0.000256,13.369272,[36 23] ; [198  41],[46.32885906 12.67114094] ; [187.67114094  51.32885906],1
p10,1,0.000566,11.884796,[37 22] ; [197  40],[46.64189189 12.35810811] ; [187.35810811  49.64189189],1
d5,1,0.001097,10.656151,[35 24] ; [192  49],[44.64333333 14.35666667] ; [182.35666667  58.64333333],0
p6,1,0.001438,10.156959,[11 47] ; [ 98 138],[21.50340136 36.49659864] ; [ 87.49659864 148.50340136],0
p8,1,0.002335,9.265824,[16 42] ; [118 119],[26.34576271 31.65423729] ; [107.65423729 129.34576271],0
p4,1,0.004219,8.186911,[23 35] ; [145  95],[32.69798658 25.30201342] ; [135.30201342 104.69798658],0
s4,1,0.005631,7.664821,[ 7 52] ; [ 70 167],[15.34797297 43.65202703] ; [ 61.65202703 175.34797297],0
a2,1,0.008404,6.945359,[ 5 54] ; [ 58 183],[12.39 46.61] ; [ 50.61 190.39],0
a7,1,0.011548,6.37896,[34 25] ; [179  62],[41.89 17.11] ; [171.11  69.89],0
r2,1,0.011569,6.375709,[50  7] ; [227   9],[53.88737201  3.11262799] ; [223.11262799  12.88737201],0
d1,1,0.011618,6.368308,[23 36] ; [138 103],[31.66333333 27.33666667] ; [129.33666667 111.66333333],0
n4,1,0.015362,5.87452,[36 23] ; [183  56],[43.3590604 15.6409396] ; [175.6409396  63.3590604],0
d4,1,0.016851,5.711825,[41 17] ; [203  38],[47.33110368 10.66889632] ; [196.66889632  44.33110368],0
p11,1,0.016993,5.697083,[36 23] ; [184  57],[43.26666667 15.73333333] ; [176.73333333  64.26666667],0
n5,1,0.032054,4.595582,[35 23] ; [178  61],[41.5959596 16.4040404] ; [171.4040404  67.5959596],0
p3,1,0.049618,3.854336,[19 38] ; [115 126],[25.63087248 31.36912752] ; [108.36912752 132.63087248],0
a5,1,0.076126,3.145727,[34 25] ; [168  73],[39.72666667 19.27333333] ; [162.27333333  78.72666667],0
v2,1,0.079528,3.074517,[16 40] ; [ 95 135],[21.73426573 34.26573427] ; [ 89.26573427 140.73426573],0
a3,1,0.113632,2.502972,[36 22] ; [175  66],[40.92976589 17.07023411] ; [170.07023411  70.92976589],0
p5,1,0.119055,2.429706,[ 2 55] ; [ 24 216],[ 4.98989899 52.01010101] ; [ 21.01010101 218.98989899],0
u3,1,0.120796,2.406966,[11 12] ; [43 22],[14.11363636  8.88636364] ; [39.88636364 25.11363636],0
u1,1,0.135159,2.232224,[ 6 53] ; [ 44 197],[ 9.83333333 49.16666667] ; [ 40.16666667 200.83333333],0
n1,1,0.165133,1.926581,[10  6] ; [24 32],[7.55555556 8.44444444] ; [26.44444444 29.55555556],0
