Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.007678,7.107025,[ 13 130] ; [2 2],[ 14.59183673 128.40816327] ; [0.40816327 3.59183673],0
v3,1,0.020569,5.36293,[42 95] ; [4 1],[44.38028169 92.61971831] ; [1.61971831 3.38028169],0
s5,1,0.03863,4.277081,[ 29 110] ; [3 2],[ 30.88888889 108.11111111] ; [1.11111111 3.88888889],0
p3,1,0.040038,4.21626,[ 31 116] ; [3 2],[ 32.88157895 114.11842105] ; [1.11842105 3.88157895],0
p12,1,0.133455,2.251852,[  7 140] ; [1 4],[  7.73684211 139.26315789] ; [0.26315789 4.73684211],0
p4,1,0.153034,2.041743,[ 30 117] ; [2 2],[ 31.15231788 115.84768212] ; [0.84768212 3.15231788],0
s6,1,0.158576,1.987757,[70 76] ; [4 1],[71.54966887 74.45033113] ; [2.45033113 2.54966887],0
d2,1,0.182082,1.780546,[72 73] ; [4 1],[73.46666667 71.53333333] ; [2.53333333 2.46666667],0
a6,1,0.282631,1.154393,[82 65] ; [4 1],[83.17105263 63.82894737] ; [2.82894737 2.17105263],0
v2,1,0.303039,1.060771,[60 79] ; [1 4],[58.88194444 80.11805556] ; [2.11805556 2.88194444],0
s1,1,0.314426,1.011994,[ 11 134] ; [1 4],[ 11.6 133.4] ; [0.4 4.6],0
b5,1,0.341902,0.903287,[87 61] ; [4 1],[88.02614379 59.97385621] ; [2.97385621 2.02614379],0
a5,1,0.385932,0.751721,[90 58] ; [4 1],[90.92810458 57.07189542] ; [3.07189542 1.92810458],0
p1,1,0.392256,0.731936,[ 13 135] ; [1 4],[ 13.54248366 134.45751634] ; [0.45751634 4.54248366],0
s2,1,0.443795,0.586451,[54 93] ; [1 4],[53.19078947 93.80921053] ; [1.80921053 3.19078947],0
d4,1,0.455258,0.557527,[110  37] ; [3 2],[109.28289474  37.71710526] ; [3.71710526 1.28289474],0
s3,1,0.474379,0.511757,[64 82] ; [3 2],[64.78145695 81.21854305] ; [2.21854305 2.78145695],0
a1,1,0.520192,0.413514,[ 16 132] ; [1 4],[ 16.44444444 131.55555556] ; [0.55555556 4.44444444],0
p9,1,0.582974,0.301452,[74 67] ; [2 3],[73.39726027 67.60273973] ; [2.60273973 2.39726027],0
r4,1,0.597324,0.279051,[102  46] ; [4 1],[102.53594771  45.46405229] ; [3.46405229 1.53594771],0
d5,1,0.611472,0.258037,[102  45] ; [4 1],[102.51315789  44.48684211] ; [3.48684211 1.51315789],0
s8,1,0.62986,0.23225,[ 44 103] ; [2 3],[ 44.48684211 102.51315789] ; [1.51315789 3.48684211],0
p11,1,0.660042,0.193472,[74 74] ; [2 3],[73.51633987 74.48366013] ; [2.48366013 2.51633987],0
d1,1,0.681656,0.168268,[73 75] ; [2 3],[72.54901961 75.45098039] ; [2.45098039 2.54901961],0
b1,1,0.725547,0.12324,[77 71] ; [3 2],[77.38562092 70.61437908] ; [2.61437908 2.38562092],0
r2,1,0.73714,0.112657,[123  21] ; [4 1],[122.73825503  21.26174497] ; [4.26174497 0.73825503],0
u1,1,0.752008,0.099852,[ 22 126] ; [1 4],[ 22.24836601 125.75163399] ; [0.75163399 4.24836601],0
v1,1,0.773299,0.08298,[49 96] ; [2 3],[49.3 95.7] ; [1.7 3.3],0
d3,1,0.805391,0.060701,[80 67] ; [3 2],[80.26973684 66.73026316] ; [2.73026316 2.26973684],0
s7,1,0.81007,0.057762,[48 90] ; [2 3],[48.25174825 89.74825175] ; [1.74825175 3.25174825],0
a3,1,0.831683,0.045175,[95 52] ; [3 2],[94.77631579 52.22368421] ; [3.22368421 1.77631579],0
a4,1,0.851812,0.034897,[65 82] ; [2 3],[64.79605263 82.20394737] ; [2.20394737 2.79605263],0
b4,1,0.909054,0.013049,[85 63] ; [3 2],[85.12418301 62.87581699] ; [2.87581699 2.12418301],0
a7,1,0.922763,0.0094,[85 62] ; [3 2],[85.10526316 61.89473684] ; [2.89473684 2.10526316],0
p7,1,0.928597,0.00803,[ 31 112] ; [1 4],[ 30.91891892 112.08108108] ; [1.08108108 3.91891892],0
u3,1,0.937273,0.006193,[28 25] ; [1 1],[27.94545455 25.05454545] ; [1.05454545 0.94545455],0
p10,1,0.945728,0.004634,[70 75] ; [2 2],[70.06711409 74.93288591] ; [1.93288591 2.06711409],0
b2,1,0.947936,0.004264,[37 59] ; [2 3],[37.06930693 58.93069307] ; [1.93069307 3.06930693],0
b3,1,0.947936,0.004264,[37 59] ; [2 3],[37.06930693 58.93069307] ; [1.93069307 3.06930693],0
r3,1,0.982228,0.000496,[117  30] ; [4 1],[117.01973684  29.98026316] ; [3.98026316 1.01973684],0
