Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2e-06,22.667322,[36  1] ; [4 7],[30.83333333  6.16666667] ; [9.16666667 1.83333333],1
r3,1,3.9e-05,16.929586,[35  2] ; [5 7],[30.20408163  6.79591837] ; [9.79591837 2.20408163],1
r1,1,8.4e-05,15.459647,[27 10] ; [ 1 11],[21.14285714 15.85714286] ; [6.85714286 5.14285714],1
v4,1,0.000346,12.80223,[36  1] ; [7 5],[32.46938776  4.53061224] ; [10.53061224  1.46938776],1
p9,1,0.000607,11.754434,[33  4] ; [5 7],[28.69387755  8.30612245] ; [9.30612245 2.69387755],1
a5,1,0.007413,7.170178,[28  9] ; [4 8],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
a6,1,0.015601,5.847254,[21 16] ; [ 2 10],[17.36734694 19.63265306] ; [5.63265306 6.36734694],0
s5,1,0.015959,5.807407,[17 19] ; [ 1 11],[13.5 22.5] ; [4.5 7.5],0
s6,1,0.026741,4.907441,[25 11] ; [4 8],[21.75 14.25] ; [7.25 4.75],0
p10,1,0.035489,4.421489,[32  5] ; [7 5],[29.44897959  7.55102041] ; [9.55102041 2.44897959],0
d5,1,0.039136,4.254945,[29  7] ; [6 6],[26.25  9.75] ; [8.75 3.25],0
p6,1,0.050141,3.836735,[18 19] ; [ 2 10],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
n6,1,0.06661,3.364645,[33  4] ; [8 4],[30.95918367  6.04081633] ; [10.04081633  1.95918367],0
d1,1,0.079696,3.071082,[20 17] ; [3 9],[17.36734694 19.63265306] ; [5.63265306 6.36734694],0
b1,1,0.093548,2.812242,[ 9 28] ; [6 6],[11.32653061 25.67346939] ; [3.67346939 8.32653061],0
n5,1,0.09702,2.753867,[21 16] ; [10  2],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
s8,1,0.10036,2.69982,[12 25] ; [ 1 11],[ 9.81632653 27.18367347] ; [3.18367347 8.81632653],0
v1,1,0.110763,2.543305,[19 18] ; [3 9],[16.6122449 20.3877551] ; [5.3877551 6.6122449],0
n2,1,0.114758,2.487446,[8 2] ; [3 4],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
d3,1,0.123658,2.37037,[29  7] ; [7 5],[27.  9.] ; [9. 3.],0
a3,1,0.155378,2.018643,[24 13] ; [5 7],[21.89795918 15.10204082] ; [7.10204082 4.89795918],0
s7,1,0.157299,2.0,[14 22] ; [ 2 10],[12. 24.] ; [4. 8.],0
a7,1,0.157299,2.0,[26 10] ; [6 6],[24. 12.] ; [8. 4.],0
p4,1,0.158401,1.989429,[21 16] ; [4 8],[18.87755102 18.12244898] ; [6.12244898 5.87755102],0
v3,1,0.165165,1.92629,[10 26] ; [ 1 11],[ 8.25 27.75] ; [2.75 9.25],0
s2,1,0.165165,1.92629,[10 26] ; [ 1 11],[ 8.25 27.75] ; [2.75 9.25],0
d4,1,0.171719,1.867873,[29  8] ; [7 5],[27.18367347  9.81632653] ; [8.81632653 3.18367347],0
p3,1,0.199545,1.645701,[17 20] ; [3 9],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
p8,1,0.315624,1.006993,[18 18] ; [4 8],[16.5 19.5] ; [5.5 6.5],0
u2,1,0.357197,0.847724,[ 3 10] ; [3 4],[3.9 9.1] ; [2.1 4.9],0
b4,1,0.362724,0.828441,[21 16] ; [5 7],[19.63265306 17.36734694] ; [6.36734694 5.63265306],0
s1,1,0.391661,0.733779,[ 1 36] ; [ 1 11],[ 1.51020408 35.48979592] ; [ 0.48979592 11.51020408],0
a1,1,0.391661,0.733779,[ 1 36] ; [ 1 11],[ 1.51020408 35.48979592] ; [ 0.48979592 11.51020408],0
p2,1,0.443533,0.587125,[26 11] ; [7 5],[24.91836735 12.08163265] ; [8.08163265 3.91836735],0
p7,1,0.565023,0.331081,[22 15] ; [6 6],[21.14285714 15.85714286] ; [6.85714286 5.14285714],0
n4,1,0.565023,0.331081,[22 15] ; [6 6],[21.14285714 15.85714286] ; [6.85714286 5.14285714],0
n3,1,0.585106,0.298052,[7 3] ; [4 3],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
n1,1,0.627477,0.235498,[4 6] ; [2 5],[3.52941176 6.47058824] ; [2.47058824 4.52941176],0
d2,1,0.683393,0.166332,[13 24] ; [5 7],[13.59183673 23.40816327] ; [4.40816327 7.59183673],0
b2,1,0.791337,0.07,[ 6 14] ; [2 6],[ 5.71428571 14.28571429] ; [2.28571429 5.71428571],0
b3,1,0.791337,0.07,[ 6 14] ; [2 6],[ 5.71428571 14.28571429] ; [2.28571429 5.71428571],0
p11,1,0.813008,0.055955,[23 14] ; [7 5],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
b5,1,0.813008,0.055955,[23 14] ; [7 5],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
a4,1,0.813926,0.055397,[11 26] ; [4 8],[11.32653061 25.67346939] ; [3.67346939 8.32653061],0
u3,1,0.887593,0.01998,[6 7] ; [3 4],[5.85 7.15] ; [3.15 3.85],0
v2,1,0.9236,0.009197,[16 21] ; [5 7],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
