Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,157.22394,[  3 115] ; [303 148],[63.45869947 54.54130053] ; [242.54130053 208.45869947],1
d3,1,0.0,104.992044,[30 88] ; [342 109],[77.14586995 40.85413005] ; [294.85413005 156.14586995],1
d5,1,0.0,70.781998,[59 59] ; [387  64],[92.49209139 25.50790861] ; [353.50790861  97.49209139],1
a3,1,0.0,29.52426,[55 62] ; [330 120],[79.44444444 37.55555556] ; [305.55555556 144.44444444],1
d2,1,0.0,28.27491,[28 90] ; [230 220],[53.59859155 64.40140845] ; [204.40140845 245.59859155],1
a5,1,0.0,27.56126,[60 58] ; [341 110],[83.1599297 34.8400703] ; [317.8400703 133.1599297],1
a4,1,1e-06,24.584469,[24 93] ; [206 244],[47.46031746 69.53968254] ; [182.53968254 267.46031746],1
u1,1,1e-05,19.517456,[  2 116] ; [ 80 371],[ 17.00527241 100.99472759] ; [ 64.99472759 386.00527241],1
a2,1,3.4e-05,17.1958,[  9 109] ; [114 337],[25.50790861 92.49209139] ; [ 97.49209139 353.50790861],1
r1,1,5.3e-05,16.334466,[76 40] ; [371  78],[91.77345133 24.22654867] ; [355.22654867  93.77345133],1
a7,1,0.000171,14.127974,[68 50] ; [339 112],[84.40421793 33.59578207] ; [322.59578207 128.40421793],1
v2,1,0.000228,13.585264,[41 70] ; [242 186],[58.28014842 52.71985158] ; [224.71985158 203.28014842],1
a6,1,0.000406,12.502371,[65 53] ; [325 126],[80.87873462 37.12126538] ; [309.12126538 141.87873462],1
b3,1,0.001454,10.136059,[11 58] ; [ 94 167],[21.95454545 47.04545455] ; [ 83.04545455 177.95454545],0
b2,1,0.001454,10.136059,[11 58] ; [ 94 167],[21.95454545 47.04545455] ; [ 83.04545455 177.95454545],0
u2,1,0.003521,8.515636,[25 38] ; [73 44],[34.3 28.7] ; [63.7 53.3],0
s2,1,0.004616,8.024118,[38 77] ; [214 234],[51.47424512 63.52575488] ; [200.52575488 247.47424512],0
s5,1,0.011901,6.325624,[21 95] ; [130 306],[31.73188406 84.26811594] ; [119.26811594 316.73188406],0
r3,1,0.013474,6.105802,[105  13] ; [429  22],[110.74165202   7.25834798] ; [423.25834798  27.74165202],0
n3,1,0.015403,5.869797,[30  4] ; [77 38],[24.41610738  9.58389262] ; [82.58389262 32.41610738],0
b4,1,0.026614,4.915689,[57 61] ; [269 182],[67.60632689 50.39367311] ; [258.39367311 192.60632689],0
p10,1,0.031968,4.600233,[81 35] ; [354  93],[89.62699822 26.37300178] ; [345.37300178 101.62699822],0
v3,1,0.032166,4.589614,[33 82] ; [169 258],[42.8597786 72.1402214] ; [159.1402214 267.8597786],0
r2,1,0.032449,4.574625,[106  12] ; [426  22],[110.91166078   7.08833922] ; [421.08833922  26.91166078],0
u3,1,0.036463,4.3753,[29 34] ; [74 45],[35.65384615 27.34615385] ; [67.34615385 51.65384615],0
s7,1,0.048776,3.88304,[35 75] ; [182 250],[44.04059041 65.95940959] ; [172.95940959 259.04059041],0
p9,1,0.070685,3.267039,[85 30] ; [361  82],[91.91756272 23.08243728] ; [354.08243728  88.91756272],0
n2,1,0.085291,2.961077,[31  5] ; [82 32],[27.12  8.88] ; [85.88 28.12],0
s1,1,0.092767,2.825686,[  6 110] ; [ 10 434],[  3.31428571 112.68571429] ; [ 12.68571429 431.31428571],0
p12,1,0.131744,2.271834,[  3 115] ; [ 27 420],[  6.26548673 111.73451327] ; [ 23.73451327 423.26548673],0
v1,1,0.152909,2.042991,[47 67] ; [212 223],[53.78142077 60.21857923] ; [205.21857923 229.78142077],0
s4,1,0.166043,1.91831,[23 95] ; [ 64 383],[18.1699115 99.8300885] ; [ 68.8300885 378.1699115],0
r4,1,0.169245,1.889615,[101  17] ; [406  45],[105.14235501  12.85764499] ; [401.85764499  49.14235501],0
p2,1,0.175128,1.838487,[87 31] ; [357  92],[92.4021164 25.5978836] ; [351.5978836  97.4021164],0
n4,1,0.194884,1.680305,[77 40] ; [323 126],[82.68551237 34.31448763] ; [317.31448763 131.68551237],0
b5,1,0.235403,1.407914,[67 51] ; [283 168],[72.58347979 45.41652021] ; [277.41652021 173.58347979],0
p4,1,0.241118,1.374045,[50 68] ; [216 230],[55.65248227 62.34751773] ; [210.34751773 235.65248227],0
a8,1,0.312818,1.018738,[10 96] ; [ 54 360],[13.04615385 92.95384615] ; [ 50.95384615 363.04615385],0
s6,1,0.358778,0.842166,[67 48] ; [280 165],[71.25892857 43.74107143] ; [275.74107143 169.25892857],0
s8,1,0.365983,0.817257,[39 78] ; [170 279],[43.20318021 73.79681979] ; [165.79681979 283.20318021],0
p5,1,0.375306,0.786019,[  6 112] ; [ 33 412],[  8.1740675 109.8259325] ; [ 30.8259325 414.1740675],0
p1,1,0.420128,0.649956,[  8 110] ; [ 22 426],[  6.25441696 111.74558304] ; [ 23.74558304 424.25441696],0
p3,1,0.441039,0.593578,[43 74] ; [183 267],[46.63492063 70.36507937] ; [179.36507937 270.63492063],0
u4,1,0.472723,0.515605,[  1 117] ; [  8 443],[  1.86643234 116.13356766] ; [  7.13356766 443.86643234],0
p7,1,0.486781,0.483633,[56 61] ; [226 213],[59.34172662 57.65827338] ; [222.65827338 216.34172662],0
n6,1,0.499287,0.456452,[93 25] ; [367  83],[95.56338028 22.43661972] ; [364.43661972  85.56338028],0
s3,1,0.635114,0.225189,[58 56] ; [238 208],[60.25714286 53.74285714] ; [235.74285714 210.25714286],0
p11,1,0.636832,0.222909,[87 31] ; [342 109],[88.96660808 29.03339192] ; [340.03339192 110.96660808],0
p8,1,0.639833,0.218961,[46 70] ; [188 259],[48.21314387 67.78685613] ; [185.78685613 261.21314387],0
n5,1,0.769635,0.085763,[84 34] ; [312 135],[82.70442478 35.29557522] ; [313.29557522 133.70442478],0
b1,1,0.887881,0.019877,[44 74] ; [165 286],[43.3427065 74.6572935] ; [165.6572935 285.3427065],0
n1,1,0.980252,0.000613,[12 23] ; [39 74],[12.06081081 22.93918919] ; [38.93918919 74.06081081],0
