Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.003236,8.669347,[155 275] ; [33 26],[165.31697342 264.68302658] ; [22.68302658 36.31697342],0
v2,1,0.003422,8.567691,[234 179] ; [21 37],[223.59872611 189.40127389] ; [31.40127389 26.59872611],0
n4,1,0.004678,7.999897,[333 100] ; [36 24],[324.09127789 108.90872211] ; [44.90872211 15.09127789],0
s6,1,0.0127,6.210474,[235 195] ; [43 17],[243.95918367 186.04081633] ; [34.04081633 25.95918367],0
s3,1,0.01864,5.535012,[199 230] ; [37 22],[207.46721311 221.53278689] ; [28.53278689 30.46721311],0
v3,1,0.024629,5.049789,[156 260] ; [13 45],[148.32067511 267.67932489] ; [20.67932489 37.32067511],0
b2,1,0.031471,4.627087,[ 91 166] ; [ 5 26],[ 85.66666667 171.33333333] ; [10.33333333 20.66666667],0
b3,1,0.031471,4.627087,[ 91 166] ; [ 5 26],[ 85.66666667 171.33333333] ; [10.33333333 20.66666667],0
v1,1,0.040634,4.19123,[224 197] ; [23 36],[216.63958333 204.36041667] ; [30.36041667 28.63958333],0
d2,1,0.113825,2.500301,[191 242] ; [20 40],[185.32048682 247.67951318] ; [25.67951318 34.32048682],0
a8,1,0.135765,2.225313,[ 56 332] ; [ 4 52],[ 52.43243243 335.56756757] ; [ 7.56756757 48.43243243],0
r3,1,0.141863,2.157629,[414  18] ; [54  5],[411.76374745  20.23625255] ; [56.23625255  2.76374745],0
p5,1,0.151013,2.061992,[ 27 405] ; [ 1 59],[ 24.58536585 407.41463415] ; [ 3.41463415 56.58536585],0
r4,1,0.151257,2.05953,[382  51] ; [49 11],[378.54563895  54.45436105] ; [52.45436105  7.54563895],0
b4,1,0.157987,1.993388,[251 182] ; [29 31],[245.92292089 187.07707911] ; [34.07707911 25.92292089],0
p12,1,0.163675,1.939941,[ 26 404] ; [ 1 59],[ 23.69387755 406.30612245] ; [ 3.30612245 56.69387755],0
a4,1,0.184634,1.759927,[175 256] ; [19 41],[170.29327902 260.70672098] ; [23.70672098 36.29327902],0
d3,1,0.200423,1.63929,[294 138] ; [45 14],[298.26476578 133.73523422] ; [40.73523422 18.26476578],0
r1,1,0.205904,1.599997,[340  91] ; [43 17],[336.19755601  94.80244399] ; [46.80244399 13.19755601],0
p11,1,0.211909,1.558337,[354  79] ; [45 15],[350.44016227  82.55983773] ; [48.55983773 11.44016227],0
p9,1,0.211977,1.557874,[362  67] ; [46 13],[358.67213115  70.32786885] ; [49.32786885  9.67213115],0
r2,1,0.231093,1.43412,[397  31] ; [53  7],[394.67213115  33.32786885] ; [55.32786885  4.67213115],0
s7,1,0.239191,1.385357,[162 249] ; [28 31],[166.14893617 244.85106383] ; [23.85106383 35.14893617],0
n6,1,0.253181,1.305667,[356  76] ; [45 14],[352.81466395  79.18533605] ; [48.18533605 10.81466395],0
n3,1,0.27121,1.210618,[70 30] ; [11  2],[71.68141593 28.31858407] ; [9.31858407 3.68141593],0
d1,1,0.283334,1.151027,[234 199] ; [28 32],[230.11359026 202.88640974] ; [31.88640974 28.11359026],0
d4,1,0.303085,1.060573,[342  90] ; [44 16],[338.92682927  93.07317073] ; [47.07317073 12.92682927],0
b5,1,0.368543,0.808572,[270 163] ; [41 19],[273.15010142 159.84989858] ; [37.84989858 22.15010142],0
a5,1,0.433162,0.61433,[303 130] ; [39 21],[300.37728195 132.62271805] ; [41.62271805 18.37728195],0
u3,1,0.452909,0.563363,[73 70] ; [12  8],[74.57055215 68.42944785] ; [10.42944785  9.57055215],0
a1,1,0.507892,0.438407,[ 14 419] ; [ 1 59],[ 13.17444219 419.82555781] ; [ 1.82555781 58.17444219],0
p3,1,0.521929,0.41008,[197 235] ; [30 30],[199.31707317 232.68292683] ; [27.68292683 32.31707317],0
p7,1,0.55959,0.340415,[271 157] ; [39 19],[273.00411523 154.99588477] ; [36.99588477 21.00411523],0
a6,1,0.569169,0.324075,[302 131] ; [44 16],[303.89046653 129.10953347] ; [42.10953347 17.89046653],0
p1,1,0.572619,0.31832,[ 30 402] ; [ 3 57],[ 28.97560976 403.02439024] ; [ 4.02439024 55.97560976],0
n1,1,0.693263,0.155576,[28 71] ; [ 3 10],[27.40178571 71.59821429] ; [3.59821429 9.40178571],0
p8,1,0.697723,0.150851,[224 203] ; [32 26],[225.38556701 201.61443299] ; [30.61443299 27.38556701],0
p4,1,0.702072,0.146325,[256 176] ; [34 26],[254.63414634 177.36585366] ; [35.36585366 24.63414634],0
n5,1,0.706914,0.141379,[311 119] ; [42 18],[309.7755102 120.2244898] ; [43.2244898 16.7755102],0
p10,1,0.731637,0.117613,[340  88] ; [48 11],[340.99383984  87.00616016] ; [47.00616016 11.99383984],0
s1,1,0.75761,0.095247,[ 10 419] ; [ 1 58],[  9.67008197 419.32991803] ; [ 1.32991803 57.67008197],0
u1,1,0.772365,0.083685,[ 59 374] ; [ 9 51],[ 59.72413793 373.27586207] ; [ 8.27586207 51.72413793],0
a2,1,0.776254,0.080772,[ 87 346] ; [13 47],[ 87.8296146 345.1703854] ; [12.1703854 47.8296146],0
d5,1,0.824967,0.048912,[343  90] ; [46 13],[342.35162602  90.64837398] ; [46.64837398 12.35162602],0
n2,1,0.853386,0.034151,[66 33] ; [9 4],[66.29464286 32.70535714] ; [8.70535714 4.29464286],0
v4,1,0.879698,0.022908,[411  20] ; [56  3],[410.76938776  20.23061224] ; [56.23061224  2.76938776],0
p6,1,0.909608,0.01289,[141 287] ; [19 40],[140.61601643 287.38398357] ; [19.38398357 39.61601643],0
b1,1,0.938226,0.006006,[161 272] ; [22 38],[160.72819473 272.27180527] ; [22.27180527 37.72819473],0
u2,1,0.969495,0.001462,[78 65] ; [11  9],[78.0797546 64.9202454] ; [10.9202454  9.0797546],0
a3,1,0.971611,0.001266,[287 145] ; [40 20],[287.12195122 144.87804878] ; [39.87804878 20.12195122],0
s8,1,0.988868,0.000195,[158 274] ; [22 38],[158.04878049 273.95121951] ; [21.95121951 38.04878049],0
a7,1,0.994823,4.2e-05,[322 110] ; [44 15],[322.0203666 109.9796334] ; [43.9796334 15.0203666],0
