Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,94.101512,[378 100] ; [ 65 103],[327.79256966 150.20743034] ; [115.20743034  52.79256966],1
d3,1,0.0,75.010619,[410  69] ; [89 79],[369.42967543 109.57032457] ; [129.57032457  38.42967543],1
a2,1,0.0,40.799725,[162 317] ; [ 14 154],[130.29984544 348.70015456] ; [ 45.70015456 122.29984544],1
u1,1,0.0,32.363124,[133 346] ; [ 11 157],[106.60896445 372.39103555] ; [ 37.39103555 130.60896445],1
b5,1,1.6e-05,18.611707,[313 166] ; [78 90],[289.47295209 189.52704791] ; [101.52704791  66.47295209],1
r4,1,0.000123,14.741782,[447  32] ; [140  28],[434.57959815  44.42040185] ; [152.42040185  15.57959815],1
v4,1,0.00013,14.642221,[464  12] ; [152  16],[455.30434783  20.69565217] ; [160.69565217   7.30434783],1
r3,1,0.004588,8.035186,[463  13] ; [155  13],[456.7826087  19.2173913] ; [161.2173913   6.7826087],0
d1,1,0.007833,7.071293,[354 125] ; [106  62],[340.55641422 138.44358578] ; [119.44358578  48.55641422],0
r2,1,0.012318,6.264471,[454  17] ; [151  14],[448.04245283  22.95754717] ; [156.95754717   8.04245283],0
r1,1,0.013249,6.135613,[399  78] ; [126  42],[388.25581395  88.74418605] ; [136.74418605  31.25581395],0
b4,1,0.017217,5.674161,[301 178] ; [88 80],[287.99227202 191.00772798] ; [101.00772798  66.99227202],0
u3,1,0.023906,5.101426,[76 45] ; [14 20],[70.25806452 50.74193548] ; [19.74193548 14.25806452],0
u2,1,0.031801,4.609211,[73 48] ; [13 20],[67.57142857 53.42857143] ; [18.42857143 14.57142857],0
b1,1,0.032931,4.549353,[164 315] ; [73 95],[175.46058733 303.53941267] ; [ 61.53941267 106.46058733],0
p4,1,0.052458,3.76111,[307 169] ; [93 73],[296.57320872 179.42679128] ; [103.42679128  62.57320872],0
s5,1,0.062175,3.478391,[160 299] ; [69 91],[169.80775444 289.19224556] ; [ 59.19224556 100.80775444],0
a8,1,0.088302,2.905052,[ 68 356] ; [ 17 145],[ 61.50170648 362.49829352] ; [ 23.49829352 138.50170648],0
p12,1,0.097471,2.746438,[ 46 431] ; [  9 156],[ 40.86448598 436.13551402] ; [ 14.13551402 150.86448598],0
p2,1,0.112888,2.513323,[408  70] ; [133  33],[401.54968944  76.45031056] ; [139.45031056  26.54968944],0
s7,1,0.137137,2.209792,[229 229] ; [92 70],[237.12580645 220.87419355] ; [83.87419355 78.12580645],0
b2,1,0.139148,2.187354,[112 171] ; [53 58],[118.51522843 164.48477157] ; [46.48477157 64.51522843],0
b3,1,0.139148,2.187354,[112 171] ; [53 58],[118.51522843 164.48477157] ; [46.48477157 64.51522843],0
v2,1,0.139806,2.180093,[280 180] ; [89 75],[272.01923077 187.98076923] ; [96.98076923 67.01923077],0
a3,1,0.143798,2.136838,[356 121] ; [134  33],[362.93478261 114.06521739] ; [127.06521739  39.93478261],0
s8,1,0.151073,2.061386,[214 261] ; [86 81],[221.96261682 253.03738318] ; [78.03738318 88.96261682],0
n5,1,0.152579,2.046281,[372 104] ; [140  28],[378.43478261  97.56521739] ; [133.56521739  34.43478261],0
s6,1,0.182109,1.780328,[334 135] ; [107  56],[327.26107595 141.73892405] ; [113.73892405  49.26107595],0
p10,1,0.235453,1.407613,[401  72] ; [135  32],[396.1375  76.8625] ; [139.8625  27.1375],0
n3,1,0.297592,1.084955,[73 28] ; [26 15],[70.41549296 30.58450704] ; [28.58450704 12.41549296],0
p8,1,0.320999,0.984872,[264 210] ; [84 80],[258.54545455 215.45454545] ; [89.45454545 74.54545455],0
d5,1,0.363084,0.827197,[426  53] ; [145  23],[422.73415765  56.26584235] ; [148.26584235  19.73415765],0
a1,1,0.518084,0.417706,[ 25 454] ; [ 11 157],[ 26.65224111 452.34775889] ; [  9.34775889 158.65224111],0
p6,1,0.560548,0.338756,[187 286] ; [ 61 104],[183.86206897 289.13793103] ; [ 64.13793103 100.86206897],0
p1,1,0.568323,0.325497,[ 41 436] ; [ 12 155],[ 39.25621118 437.74378882] ; [ 13.74378882 153.25621118],0
s2,1,0.623851,0.240492,[254 219] ; [86 81],[251.28125 221.71875] ; [88.71875 78.28125],0
n2,1,0.632752,0.228347,[73 27] ; [29 13],[71.83098592 28.16901408] ; [30.16901408 11.83098592],0
s3,1,0.644648,0.212715,[263 207] ; [90 77],[260.45525903 209.54474097] ; [92.54474097 74.45525903],0
a5,1,0.645096,0.212139,[371 108] ; [133  35],[373.13137558 105.86862442] ; [130.86862442  37.13137558],0
a4,1,0.669982,0.181623,[237 241] ; [86 81],[239.37054264 238.62945736] ; [83.62945736 83.37054264],0
p7,1,0.673855,0.177126,[299 168] ; [108  56],[301.21870048 165.78129952] ; [105.78129952  58.21870048],0
v3,1,0.693645,0.155167,[191 268] ; [72 94],[193.1472 265.8528] ; [69.8528 96.1472],0
s1,1,0.696432,0.15221,[ 14 459] ; [  4 164],[ 13.28237129 459.71762871] ; [  4.71762871 163.28237129],0
s4,1,0.728666,0.12034,[ 76 393] ; [ 29 138],[ 77.42924528 391.57075472] ; [ 27.57075472 139.42924528],0
n4,1,0.735851,0.113807,[387  91] ; [138  30],[388.46749226  89.53250774] ; [136.53250774  31.46749226],0
p11,1,0.761946,0.091764,[390  89] ; [135  33],[388.67851623  90.32148377] ; [136.32148377  31.67851623],0
