Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.002148,9.418321,[39  4] ; [99 49],[31.06806283 11.93193717] ; [106.93193717  41.06806283],0
s5,1,0.002521,9.125041,[25 16] ; [50 94],[16.62162162 24.37837838] ; [58.37837838 85.62162162],0
r1,1,0.003005,8.804224,[29 14] ; [127  19],[35.49206349  7.50793651] ; [120.50793651  25.49206349],0
a5,1,0.004532,8.057258,[24 19] ; [115  33],[31.29319372 11.70680628] ; [107.70680628  40.29319372],0
n4,1,0.004617,8.023789,[27 16] ; [122  25],[33.72105263  9.27894737] ; [115.27894737  31.72105263],0
n3,1,0.012568,6.228926,[13  1] ; [26 20],[9.1 4.9] ; [29.9 16.1],0
b2,1,0.026407,4.929162,[ 5 21] ; [45 60],[ 9.92366412 16.07633588] ; [40.07633588 64.92366412],0
b3,1,0.026407,4.929162,[ 5 21] ; [45 60],[ 9.92366412 16.07633588] ; [40.07633588 64.92366412],0
a8,1,0.032769,4.557833,[ 3 35] ; [ 31 100],[ 7.64497041 30.35502959] ; [ 26.35502959 104.64497041],0
n1,1,0.042899,4.099379,[ 3 11] ; [24 22],[6.3 7.7] ; [20.7 25.3],0
s3,1,0.045055,4.01658,[37  6] ; [102  42],[31.96256684 11.03743316] ; [107.03743316  36.96256684],0
r3,1,0.053607,3.724898,[36  6] ; [139   8],[38.88888889  3.11111111] ; [136.11111111  10.88888889],0
n5,1,0.08384,2.988843,[28 15] ; [114  32],[32.30687831 10.69312169] ; [109.69312169  36.30687831],0
v1,1,0.084253,2.980896,[17 26] ; [78 65],[21.96236559 21.03763441] ; [73.03763441 69.96236559],0
d4,1,0.112364,2.520653,[31 12] ; [122  25],[34.62631579  8.37368421] ; [118.37368421  28.62631579],0
v3,1,0.133199,2.254819,[12 31] ; [58 85],[16.1827957 26.8172043] ; [53.8172043 89.1827957],0
b5,1,0.209552,1.574519,[29 14] ; [84 64],[25.43979058 17.56020942] ; [87.56020942 60.43979058],0
d3,1,0.272569,1.203773,[33 10] ; [100  47],[30.1 12.9] ; [102.9  44.1],0
r2,1,0.327995,0.956798,[41  1] ; [135   9],[39.74193548  2.25806452] ; [136.25806452   7.74193548],0
a4,1,0.32849,0.954843,[17 26] ; [71 77],[19.81151832 23.18848168] ; [68.18848168 79.81151832],0
d1,1,0.374145,0.789853,[22 21] ; [87 61],[24.53926702 18.46073298] ; [84.46073298 63.53926702],0
n2,1,0.37975,0.77151,[12  2] ; [35 12],[10.78688525  3.21311475] ; [36.21311475 10.78688525],0
p11,1,0.423624,0.640239,[29 14] ; [109  39],[31.06806283 11.93193717] ; [106.93193717  41.06806283],0
v2,1,0.464805,0.5343,[21 20] ; [83 61],[23.04864865 17.95135135] ; [80.95135135 63.04864865],0
a2,1,0.470657,0.520432,[ 9 34] ; [ 39 109],[10.80628272 32.19371728] ; [ 37.19371728 110.80628272],0
b1,1,0.47688,0.50599,[14 29] ; [57 91],[15.98429319 27.01570681] ; [55.01570681 92.98429319],0
p4,1,0.482762,0.492617,[17 26] ; [67 80],[19.01052632 23.98947368] ; [64.98947368 82.01052632],0
n6,1,0.507441,0.43934,[34  9] ; [121  24],[35.45212766  7.54787234] ; [119.54787234  25.45212766],0
p5,1,0.511467,0.431064,[ 2 41] ; [ 11 135],[ 2.95767196 40.04232804] ; [ 10.04232804 135.95767196],0
s6,1,0.527617,0.398978,[36  6] ; [119  27],[34.62765957  7.37234043] ; [120.37234043  25.62765957],0
p8,1,0.547726,0.361406,[18 22] ; [58 88],[16.34408602 23.65591398] ; [59.65591398 86.34408602],0
d2,1,0.54942,0.358357,[20 23] ; [76 71],[21.72631579 21.27368421] ; [74.27368421 72.72631579],0
p1,1,0.560363,0.339076,[ 3 40] ; [  7 141],[ 2.2513089 40.7486911] ; [  7.7486911 140.2513089],0
a3,1,0.568218,0.325673,[31 12] ; [113  35],[32.41884817 10.58115183] ; [111.58115183  36.41884817],0
u3,1,0.674332,0.176577,[9 3] ; [24 11],[8.42553191 3.57446809] ; [24.57446809 10.42553191],0
p2,1,0.709402,0.138875,[34  9] ; [113  35],[33.09424084  9.90575916] ; [113.90575916  34.09424084],0
v4,1,0.725991,0.122824,[40  2] ; [136   9],[39.52941176  2.47058824] ; [136.47058824   8.52941176],0
a6,1,0.762144,0.091607,[28 15] ; [92 55],[27.15789474 15.84210526] ; [92.84210526 54.15789474],0
s1,1,0.819177,0.052259,[ 3 39] ; [  9 137],[ 2.68085106 39.31914894] ; [  9.31914894 136.68085106],0
r4,1,0.820053,0.051746,[36  7] ; [126  22],[36.47120419  6.52879581] ; [125.52879581  22.47120419],0
u2,1,0.834142,0.043845,[7 5] ; [21 13],[7.30434783 4.69565217] ; [20.69565217 13.30434783],0
u1,1,0.846863,0.037296,[ 9 34] ; [ 29 119],[ 8.55497382 34.44502618] ; [ 29.44502618 118.55497382],0
p7,1,0.84826,0.036611,[21 17] ; [76 66],[20.47777778 17.52222222] ; [76.52222222 65.47777778],0
b4,1,0.850295,0.035624,[24 19] ; [85 63],[24.53926702 18.46073298] ; [84.46073298 63.53926702],0
s8,1,0.85902,0.03155,[29 14] ; [97 50],[28.51578947 14.48421053] ; [97.48421053 49.51578947],0
p6,1,0.87292,0.025584,[13 28] ; [ 45 103],[12.58201058 28.41798942] ; [ 45.41798942 102.58201058],0
d5,1,0.940569,0.005558,[34  9] ; [117  30],[34.17368421  8.82631579] ; [116.82631579  30.17368421],0
a7,1,0.951817,0.003651,[31 12] ; [106  42],[30.84293194 12.15706806] ; [106.15706806  41.84293194],0
p10,1,0.962041,0.002265,[33  9] ; [116  31],[33.11111111  8.88888889] ; [115.88888889  31.11111111],0
p12,1,0.976012,0.000904,[ 2 41] ; [  7 140],[ 2.03684211 40.96315789] ; [  6.96315789 140.03684211],0
p9,1,0.993993,5.7e-05,[34  7] ; [121  25],[33.98395722  7.01604278] ; [121.01604278  24.98395722],0
