Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,107.381066,[141  44] ; [16 96],[97.79461279 87.20538721] ; [59.20538721 52.79461279],1
d5,1,0.0,94.504589,[184   2] ; [61 51],[152.91946309  33.08053691] ; [92.08053691 19.91946309],1
d4,1,0.0,82.340969,[183   2] ; [66 46],[155.1010101  29.8989899] ; [93.8989899 18.1010101],1
d3,1,0.0,70.278921,[166  21] ; [49 63],[134.46488294  52.53511706] ; [80.53511706 31.46488294],1
a4,1,0.0,46.747053,[114  72] ; [23 89],[ 85.51006711 100.48993289] ; [51.48993289 60.51006711],1
a2,1,0.0,37.956074,[ 75 112] ; [  8 104],[ 51.909699 135.090301] ; [31.090301 80.909699],1
u1,1,0.0,26.357238,[ 54 133] ; [  5 107],[ 36.89966555 150.10033445] ; [22.10033445 89.89966555],1
a5,1,7e-06,20.318819,[157  30] ; [68 44],[140.71906355  46.28093645] ; [84.28093645 27.71906355],1
a7,1,0.000187,13.961862,[148  38] ; [66 45],[134.02020202  51.97979798] ; [79.97979798 31.02020202],1
a6,1,0.000511,12.076754,[142  44] ; [64 48],[128.57718121  57.42281879] ; [77.42281879 34.57718121],1
v2,1,0.000762,11.330481,[157  27] ; [75 34],[145.69283276  38.30716724] ; [86.30716724 22.69283276],1
s8,1,0.000792,11.26087,[106  78] ; [42 70],[92. 92.] ; [56. 56.],1
a3,1,0.000815,11.207346,[151  34] ; [72 40],[138.90572391  46.09427609] ; [84.09427609 27.90572391],1
p9,1,0.003081,8.759129,[161  22] ; [82 28],[151.77133106  31.22866894] ; [91.22866894 18.77133106],0
p12,1,0.005916,7.575852,[ 22 163] ; [  3 108],[ 15.625 169.375] ; [  9.375 101.625],0
r3,1,0.0074,7.173124,[182   4] ; [102  10],[177.26174497   8.73825503] ; [106.73825503   5.26174497],0
n6,1,0.008883,6.846223,[167  18] ; [89 23],[159.46127946  25.53872054] ; [96.53872054 15.46127946],0
n4,1,0.009661,6.69627,[162  25] ; [83 28],[153.74161074  33.25838926] ; [91.25838926 19.74161074],0
p4,1,0.010085,6.619817,[116  68] ; [53 58],[105.41016949  78.58983051] ; [63.58983051 47.41016949],0
p10,1,0.010382,6.568095,[158  26] ; [82 29],[149.69491525  34.30508475] ; [90.30508475 20.69491525],0
p2,1,0.016741,5.723286,[160  26] ; [84 28],[152.29530201  33.70469799] ; [91.70469799 20.29530201],0
p11,1,0.036029,4.395715,[153  34] ; [80 32],[145.72240803  41.27759197] ; [87.27759197 24.72240803],0
v4,1,0.065859,3.38332,[180   6] ; [103   9],[176.63758389   9.36241611] ; [106.36241611   5.63758389],0
s5,1,0.076294,3.142123,[ 61 120] ; [26 83],[ 54.3 126.7] ; [32.7 76.3],0
r1,1,0.076506,3.137614,[158  28] ; [86 26],[152.29530201  33.70469799] ; [91.70469799 20.29530201],0
p6,1,0.07853,3.095064,[ 67 114] ; [30 81],[ 60.12671233 120.87328767] ; [36.87328767 74.12671233],0
b5,1,0.08908,2.890923,[122  65] ; [62 50],[115.07692308  71.92307692] ; [68.92307692 43.07692308],0
p8,1,0.095695,2.775869,[100  80] ; [51 61],[93.08219178 86.91780822] ; [57.91780822 54.08219178],0
u2,1,0.116383,2.46534,[24 12] ; [19 20],[20.64 15.36] ; [22.36 16.64],0
s2,1,0.143426,2.140812,[104  80] ; [53 58],[97.92542373 86.07457627] ; [59.07457627 51.92542373],0
v1,1,0.170377,1.879624,[124  62] ; [64 45],[118.53559322  67.46440678] ; [69.46440678 39.53559322],0
s7,1,0.194456,1.68353,[100  74] ; [53 54],[94.74021352 79.25978648] ; [58.25978648 48.74021352],0
b3,1,0.211652,1.560088,[42 78] ; [28 35],[45.90163934 74.09836066] ; [24.09836066 38.90163934],0
b2,1,0.211652,1.560088,[42 78] ; [28 35],[45.90163934 74.09836066] ; [24.09836066 38.90163934],0
s6,1,0.212905,1.551565,[126  57] ; [66 41],[121.15862069  61.84137931] ; [70.84137931 36.15862069],0
n2,1,0.249377,1.326789,[24 11] ; [22  5],[25.96774194  9.03225806] ; [20.03225806  6.96774194],0
b1,1,0.258237,1.278184,[ 63 124] ; [45 67],[ 67.5451505 119.4548495] ; [40.4548495 71.5451505],0
n5,1,0.258572,1.276386,[151  35] ; [84 27],[147.17171717  38.82828283] ; [87.82828283 23.17171717],0
s3,1,0.262381,1.256152,[107  73] ; [58 52],[102.4137931  77.5862069] ; [62.5862069 47.4137931],0
n1,1,0.270912,1.212121,[ 9 24] ; [11 16],[11. 22.] ; [ 9. 18.],0
u4,1,0.287813,1.129823,[  5 182] ; [  1 111],[  3.75250836 183.24749164] ; [  2.24749164 109.75250836],0
p7,1,0.320172,0.988243,[120  60] ; [67 43],[116.06896552  63.93103448] ; [70.93103448 39.06896552],0
p3,1,0.353174,0.862021,[100  86] ; [54 58],[96.12080537 89.87919463] ; [57.87919463 54.12080537],0
r2,1,0.375147,0.786545,[178   6] ; [106   6],[176.54054054   7.45945946] ; [107.45945946   4.54054054],0
r4,1,0.38823,0.744477,[171  16] ; [99 13],[168.86287625  18.13712375] ; [101.13712375  10.86287625],0
u3,1,0.391593,0.733988,[22 14] ; [20 19],[20.16 15.84] ; [21.84 17.16],0
s1,1,0.447619,0.576675,[  4 180] ; [  4 105],[  5.02389078 178.97610922] ; [  2.97610922 106.02389078],0
a8,1,0.46113,0.54315,[ 25 135] ; [13 92],[ 22.94339623 137.05660377] ; [15.05660377 89.94339623],0
p1,1,0.543475,0.369137,[ 13 173] ; [ 10 102],[ 14.3557047 171.6442953] ; [  8.6442953 103.3557047],0
b4,1,0.571918,0.319484,[118  69] ; [67 45],[115.70234114  71.29765886] ; [69.29765886 42.70234114],0
n3,1,0.669746,0.1819,[28  8] ; [19  7],[27.29032258  8.70967742] ; [19.70967742  6.29032258],0
a1,1,0.709174,0.139104,[ 12 175] ; [  6 106],[ 11.25752508 175.74247492] ; [  6.74247492 105.25752508],0
s4,1,0.738689,0.111282,[ 26 160] ; [14 97],[ 25.05050505 160.94949495] ; [14.94949495 96.05050505],0
