Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.3e-05,17.909611,[27 19] ; [ 41 120],[15.11111111 30.88888889] ; [ 52.88888889 108.11111111],1
s6,1,0.000105,15.038655,[33 13] ; [63 97],[21.4368932 24.5631068] ; [74.5631068 85.4368932],1
p5,1,0.002445,9.180956,[ 6 38] ; [  4 156],[ 2.15686275 41.84313725] ; [  7.84313725 152.15686275],0
s3,1,0.003448,8.553934,[27 18] ; [ 56 101],[18.49009901 26.50990099] ; [64.50990099 92.49009901],0
p10,1,0.012681,6.213104,[33 11] ; [86 73],[25.79310345 18.20689655] ; [93.20689655 65.79310345],0
n4,1,0.027923,4.832797,[12 34] ; [71 90],[18.44444444 27.55555556] ; [64.55555556 96.44444444],0
a1,1,0.030323,4.690899,[ 5 41] ; [  5 156],[ 2.22222222 43.77777778] ; [  7.77777778 153.22222222],0
s8,1,0.045925,3.984361,[18 28] ; [ 39 122],[12.66666667 33.33333333] ; [ 44.33333333 116.66666667],0
a6,1,0.04827,3.900544,[22 24] ; [103  58],[27.77777778 18.22222222] ; [97.22222222 63.77777778],0
p12,1,0.05056,3.822793,[ 4 41] ; [  4 156],[ 1.75609756 43.24390244] ; [  6.24390244 153.75609756],0
p9,1,0.069298,3.299577,[35 10] ; [100  58],[29.92610837 15.07389163] ; [105.07389163  52.92610837],0
u1,1,0.075077,3.168367,[ 7 39] ; [ 11 150],[ 4. 42.] ; [ 14. 147.],0
v1,1,0.081021,3.044308,[22 22] ; [ 55 100],[17.02512563 26.97487437] ; [59.97487437 95.02512563],0
d4,1,0.09963,2.711452,[41  5] ; [126  35],[37.11111111  8.88888889] ; [129.88888889  31.11111111],0
n1,1,0.114772,2.487245,[6 9] ; [10 40],[ 3.69230769 11.30769231] ; [12.30769231 37.69230769],0
s7,1,0.130883,2.282001,[16 28] ; [ 38 115],[12.06091371 31.93908629] ; [ 41.93908629 111.06091371],0
s1,1,0.165703,1.921392,[ 4 42] ; [  6 155],[ 2.22222222 43.77777778] ; [  7.77777778 153.22222222],0
b1,1,0.194618,1.682312,[14 32] ; [66 95],[17.77777778 28.22222222] ; [62.22222222 98.77777778],0
n6,1,0.202214,1.626309,[31 14] ; [94 67],[27.30582524 17.69417476] ; [97.69417476 63.30582524],0
d5,1,0.222618,1.487415,[37  9] ; [115  46],[33.77777778 12.22222222] ; [118.22222222  42.77777778],0
r3,1,0.279017,1.171871,[44  2] ; [146  15],[42.22222222  3.77777778] ; [147.77777778  13.22222222],0
d2,1,0.280571,1.164323,[20 26] ; [ 56 105],[16.88888889 29.11111111] ; [ 59.11111111 101.88888889],0
p2,1,0.306062,1.047592,[36  8] ; [119  41],[33.43137255 10.56862745] ; [121.56862745  38.43137255],0
r2,1,0.329772,0.949794,[41  4] ; [136  23],[39.04411765  5.95588235] ; [137.95588235  21.04411765],0
p3,1,0.332897,0.937595,[19 26] ; [ 55 105],[16.24390244 28.75609756] ; [ 57.75609756 102.24390244],0
