Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000206,13.772032,[20 30] ; [22  4],[27.63157895 22.36842105] ; [14.36842105 11.63157895],1
d1,1,0.018794,5.520624,[25 26] ; [20  6],[29.80519481 21.19480519] ; [15.19480519 10.80519481],0
d4,1,0.019873,5.423035,[38 13] ; [25  1],[41.72727273  9.27272727] ; [21.27272727  4.72727273],0
a1,1,0.023778,5.110751,[ 1 50] ; [ 4 22],[ 3.31168831 47.68831169] ; [ 1.68831169 24.31168831],0
v1,1,0.030918,4.657518,[17 31] ; [16 10],[21.40540541 26.59459459] ; [11.59459459 14.40540541],0
d3,1,0.039149,4.254397,[34 17] ; [23  3],[37.75324675 13.24675325] ; [19.24675325  6.75324675],0
p8,1,0.042989,4.095827,[19 32] ; [16 10],[23.18181818 27.81818182] ; [11.81818182 14.18181818],0
p12,1,0.07728,3.121197,[ 1 49] ; [ 3 23],[ 2.63157895 47.36842105] ; [ 1.36842105 24.63157895],0
n3,1,0.123778,2.368852,[13  2] ; [4 3],[11.59090909  3.40909091] ; [5.40909091 1.59090909],0
a5,1,0.145271,2.121216,[33 18] ; [21  5],[35.76623377 15.23376623] ; [18.23376623  7.76623377],0
p4,1,0.169552,1.886901,[30 21] ; [11 15],[27.15584416 23.84415584] ; [13.84415584 12.15584416],0
r1,1,0.176954,1.82302,[36 15] ; [22  4],[38.41558442 12.58441558] ; [19.58441558  6.41558442],0
d5,1,0.20897,1.578551,[39 12] ; [23  3],[41.06493506  9.93506494] ; [20.93506494  5.06493506],0
n1,1,0.227776,1.454694,[6 9] ; [1 6],[ 4.77272727 10.22727273] ; [2.22727273 4.77272727],0
d2,1,0.229107,1.446398,[24 27] ; [16 10],[26.49350649 24.50649351] ; [13.50649351 12.49350649],0
s3,1,0.257797,1.280548,[36 15] ; [15 11],[33.77922078 17.22077922] ; [17.22077922  8.77922078],0
s2,1,0.272204,1.205607,[34 17] ; [14 12],[31.79220779 19.20779221] ; [16.20779221  9.79220779],0
n4,1,0.295857,1.092778,[23 28] ; [15 11],[25.16883117 25.83116883] ; [12.83116883 13.16883117],0
s6,1,0.318787,0.993918,[43  7] ; [20  6],[41.44736842  8.55263158] ; [21.55263158  4.44736842],0
r4,1,0.356346,0.85073,[46  5] ; [25  1],[47.02597403  3.97402597] ; [23.97402597  2.02597403],0
a8,1,0.416632,0.659796,[ 6 41] ; [ 5 20],[ 7.18055556 39.81944444] ; [ 3.81944444 21.18055556],0
s5,1,0.430631,0.62112,[17 30] ; [11 13],[18.53521127 28.46478873] ; [ 9.46478873 14.53521127],0
b4,1,0.46622,0.53092,[31 20] ; [18  8],[32.45454545 18.54545455] ; [16.54545455  9.45454545],0
p1,1,0.467962,0.526783,[ 7 44] ; [ 2 23],[ 6.03947368 44.96052632] ; [ 2.96052632 22.03947368],0
u2,1,0.477197,0.505263,[12  4] ; [7 1],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
s1,1,0.480747,0.497169,[ 2 49] ; [ 2 24],[ 2.64935065 48.35064935] ; [ 1.35064935 24.64935065],0
p7,1,0.566876,0.327937,[30 19] ; [17  8],[31.12162162 17.87837838] ; [15.87837838  9.12162162],0
a6,1,0.572731,0.318134,[32 19] ; [18  8],[33.11688312 17.88311688] ; [16.88311688  9.11688312],0
p3,1,0.573184,0.317383,[24 27] ; [14 12],[25.16883117 25.83116883] ; [12.83116883 13.16883117],0
n2,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
r3,1,0.622797,0.241956,[50  1] ; [25  1],[49.67532468  1.32467532] ; [25.32467532  0.67532468],0
b2,1,0.627968,0.234827,[13 21] ; [ 6 13],[12.18867925 21.81132075] ; [ 6.81132075 12.18867925],0
b3,1,0.627968,0.234827,[13 21] ; [ 6 13],[12.18867925 21.81132075] ; [ 6.81132075 12.18867925],0
r2,1,0.632507,0.228677,[45  4] ; [23  3],[44.42666667  4.57333333] ; [23.57333333  2.42666667],0
n6,1,0.652909,0.202252,[32 19] ; [17  8],[32.88157895 18.11842105] ; [16.11842105  8.88157895],0
a2,1,0.667138,0.184968,[12 39] ; [ 5 21],[11.25974026 39.74025974] ; [ 5.74025974 20.25974026],0
s4,1,0.67891,0.171356,[14 37] ; [ 6 20],[13.24675325 37.75324675] ; [ 6.75324675 19.24675325],0
b5,1,0.691325,0.157654,[33 18] ; [18  8],[33.77922078 17.22077922] ; [17.22077922  8.77922078],0
u3,1,0.722283,0.126316,[13  3] ; [6 2],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
p5,1,0.760509,0.092911,[ 3 48] ; [ 2 24],[ 3.31168831 47.68831169] ; [ 1.68831169 24.31168831],0
p9,1,0.763284,0.090704,[43  7] ; [23  3],[43.42105263  6.57894737] ; [22.57894737  3.42105263],0
p2,1,0.8021,0.062815,[42  9] ; [22  4],[42.38961039  8.61038961] ; [21.61038961  4.38961039],0
u1,1,0.811015,0.057177,[11 40] ; [ 5 21],[10.5974026 40.4025974] ; [ 5.4025974 20.5974026],0
a7,1,0.816312,0.053959,[38 13] ; [20  6],[38.41558442 12.58441558] ; [19.58441558  6.41558442],0
p11,1,0.816312,0.053959,[38 13] ; [20  6],[38.41558442 12.58441558] ; [19.58441558  6.41558442],0
b1,1,0.819879,0.051848,[19 32] ; [ 9 17],[18.54545455 32.45454545] ; [ 9.45454545 16.54545455],0
p6,1,0.865949,0.028495,[19 31] ; [ 9 16],[18.66666667 31.33333333] ; [ 9.33333333 15.66666667],0
s7,1,0.918713,0.010415,[30 19] ; [15 10],[29.7972973 19.2027027] ; [15.2027027  9.7972973],0
a4,1,0.924113,0.009073,[21 30] ; [11 15],[21.19480519 29.80519481] ; [10.80519481 15.19480519],0
p10,1,0.927231,0.008341,[40  9] ; [21  5],[39.85333333  9.14666667] ; [21.14666667  4.85333333],0
a3,1,0.956893,0.002922,[35 16] ; [18  8],[35.1038961 15.8961039] ; [17.8961039  8.1038961],0
