Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.002372,9.236508,[26  6] ; [4 8],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
n6,1,0.006132,7.511129,[22  9] ; [3 9],[18.02325581 12.97674419] ; [6.97674419 5.02325581],0
n2,1,0.02474,5.042017,[11  6] ; [1 6],[8.5 8.5] ; [3.5 3.5],0
a6,1,0.033335,4.52849,[22 10] ; [4 8],[18.90909091 13.09090909] ; [7.09090909 4.90909091],0
a5,1,0.038182,4.296875,[26  6] ; [6 6],[23.27272727  8.72727273] ; [8.72727273 3.27272727],0
v2,1,0.040547,4.194841,[13 19] ; [ 1 11],[10.18181818 21.81818182] ; [3.81818182 8.18181818],0
p9,1,0.064765,3.41096,[20 11] ; [4 8],[17.30232558 13.69767442] ; [6.69767442 5.30232558],0
s3,1,0.076756,3.132284,[12 20] ; [ 1 10],[ 9.6744186 22.3255814] ; [3.3255814 7.6744186],0
p4,1,0.082934,3.006447,[14 17] ; [ 2 10],[11.53488372 19.46511628] ; [4.46511628 7.53488372],0
u3,1,0.086359,2.940972,[3 5] ; [5 1],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
a3,1,0.112819,2.514286,[24  8] ; [6 6],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
s8,1,0.162957,1.946569,[ 9 23] ; [ 1 11],[ 7.27272727 24.72727273] ; [2.72727273 9.27272727],0
s2,1,0.162957,1.946569,[ 9 23] ; [ 1 11],[ 7.27272727 24.72727273] ; [2.72727273 9.27272727],0
d2,1,0.173101,1.855884,[20 11] ; [5 7],[18.02325581 12.97674419] ; [6.97674419 5.02325581],0
p7,1,0.183083,1.77242,[11 18] ; [ 2 10],[ 9.19512195 19.80487805] ; [3.80487805 8.19512195],0
d4,1,0.299637,1.07581,[25  7] ; [11  1],[26.18181818  5.81818182] ; [9.81818182 2.18181818],0
s6,1,0.337276,0.920759,[13 19] ; [3 9],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
b1,1,0.337276,0.920759,[19 13] ; [9 3],[20.36363636 11.63636364] ; [7.63636364 4.36363636],0
p11,1,0.337276,0.920759,[13 19] ; [3 9],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
p2,1,0.372609,0.794944,[15 16] ; [4 8],[13.69767442 17.30232558] ; [5.30232558 6.69767442],0
r2,1,0.404086,0.696134,[23  7] ; [7 4],[21.95121951  8.04878049] ; [8.04878049 2.95121951],0
a7,1,0.419298,0.652281,[17 15] ; [8 4],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
s7,1,0.425556,0.634921,[10 20] ; [2 8],[ 9. 21.] ; [3. 7.],0
d3,1,0.435959,0.606897,[20 12] ; [9 3],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
a4,1,0.438302,0.600725,[17 14] ; [5 7],[15.86046512 15.13953488] ; [6.13953488 5.86046512],0
s5,1,0.524559,0.40492,[ 8 23] ; [ 2 10],[ 7.20930233 23.79069767] ; [2.79069767 9.20930233],0
u2,1,0.532884,0.388889,[4 4] ; [4 2],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
p8,1,0.552098,0.353571,[11 21] ; [3 9],[10.18181818 21.81818182] ; [3.81818182 8.18181818],0
b5,1,0.57607,0.312632,[19 13] ; [6 6],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
v4,1,0.58042,0.305556,[24  8] ; [8 4],[23.27272727  8.72727273] ; [8.72727273 3.27272727],0
s4,1,0.647141,0.209524,[ 6 26] ; [3 9],[ 6.54545455 25.45454545] ; [2.45454545 9.54545455],0
b4,1,0.658202,0.195715,[19 13] ; [8 4],[19.63636364 12.36363636] ; [7.36363636 4.63636364],0
r4,1,0.702871,0.145503,[ 7 25] ; [ 2 10],[ 6.54545455 25.45454545] ; [2.45454545 9.54545455],0
r1,1,0.710779,0.1375,[14 18] ; [6 6],[14.54545455 17.45454545] ; [5.45454545 6.54545455],0
p10,1,0.710779,0.1375,[18 14] ; [6 6],[17.45454545 14.54545455] ; [6.54545455 5.45454545],0
d1,1,0.800424,0.063907,[20 12] ; [7 5],[19.63636364 12.36363636] ; [7.36363636 4.63636364],0
v3,1,0.835784,0.042969,[ 9 23] ; [3 9],[ 8.72727273 23.27272727] ; [3.27272727 8.72727273],0
n1,1,0.851054,0.035259,[8 9] ; [3 4],[7.79166667 9.20833333] ; [3.20833333 3.79166667],0
a2,1,0.873219,0.025463,[ 6 26] ; [ 2 10],[ 5.81818182 26.18181818] ; [2.18181818 9.81818182],0
p3,1,0.894417,0.017614,[11 20] ; [4 8],[10.81395349 20.18604651] ; [4.18604651 7.81395349],0
b2,1,0.902425,0.01503,[ 9 16] ; [2 4],[ 8.87096774 16.12903226] ; [2.12903226 3.87096774],0
b3,1,0.902425,0.01503,[ 9 16] ; [2 4],[ 8.87096774 16.12903226] ; [2.12903226 3.87096774],0
s1,1,0.914754,0.011458,[ 3 29] ; [ 1 11],[ 2.90909091 29.09090909] ; [ 1.09090909 10.90909091],0
n3,1,0.939491,0.005762,[ 7 10] ; [3 4],[7.08333333 9.91666667] ; [2.91666667 4.08333333],0
v1,1,0.948238,0.004215,[11 21] ; [4 8],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
