Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3e-06,21.525798,[ 3 87] ; [5 7],[ 7.05882353 82.94117647] ; [ 0.94117647 11.05882353],1
a1,1,0.002737,8.975084,[ 1 89] ; [ 2 10],[ 2.64705882 87.35294118] ; [ 0.35294118 11.64705882],0
d2,1,0.011363,6.407692,[40 50] ; [10  2],[44.11764706 45.88235294] ; [5.88235294 6.11764706],0
p1,1,0.013558,6.094815,[ 8 82] ; [4 8],[10.58823529 79.41176471] ; [ 1.41176471 10.58823529],0
s1,1,0.01546,5.863265,[ 2 88] ; [ 2 10],[ 3.52941176 86.47058824] ; [ 0.47058824 11.52941176],0
s8,1,0.035105,4.440062,[46 44] ; [10  2],[49.41176471 40.58823529] ; [6.58823529 5.41176471],0
s5,1,0.038135,4.298972,[46 41] ; [8 1],[48.9375 38.0625] ; [5.0625 3.9375],0
p6,1,0.048721,3.884953,[48 42] ; [10  2],[51.17647059 38.82352941] ; [6.82352941 5.17647059],0
a3,1,0.058298,3.585156,[58 32] ; [11  1],[60.88235294 29.11764706] ; [8.11764706 3.88235294],0
n4,1,0.058298,3.585156,[58 32] ; [11  1],[60.88235294 29.11764706] ; [8.11764706 3.88235294],0
v1,1,0.070501,3.271319,[42 47] ; [9 3],[44.94059406 44.05940594] ; [6.05940594 5.94059406],0
d1,1,0.076761,3.132187,[51 39] ; [10  2],[53.82352941 36.17647059] ; [7.17647059 4.82352941],0
a6,1,0.116325,2.466118,[54 36] ; [10  2],[56.47058824 33.52941176] ; [7.52941176 4.47058824],0
n5,1,0.129493,2.298568,[64 26] ; [11  1],[66.17647059 23.82352941] ; [8.82352941 3.17647059],0
p3,1,0.170441,1.879062,[57 33] ; [10  2],[59.11764706 30.88235294] ; [7.88235294 4.11764706],0
v3,1,0.191389,1.706897,[27 60] ; [6 6],[29. 58.] ; [4. 8.],0
p8,1,0.261751,1.259471,[60 29] ; [10  2],[61.68316832 27.31683168] ; [8.31683168 3.68316832],0
b3,1,0.356796,0.849138,[10 41] ; [3 6],[11.05 39.95] ; [1.95 7.05],0
b2,1,0.356796,0.849138,[10 41] ; [3 6],[11.05 39.95] ; [1.95 7.05],0
a8,1,0.385078,0.754429,[ 3 82] ; [ 1 10],[ 3.54166667 81.45833333] ; [ 0.45833333 10.54166667],0
d5,1,0.420445,0.649071,[75 14] ; [9 3],[74.01980198 14.98019802] ; [9.98019802 2.01980198],0
n6,1,0.447952,0.57583,[74 15] ; [11  1],[74.9009901 14.0990099] ; [10.0990099  1.9009901],0
b1,1,0.509929,0.434214,[39 51] ; [4 8],[37.94117647 52.05882353] ; [5.05882353 6.94117647],0
v2,1,0.513601,0.426724,[42 45] ; [7 5],[43.06060606 43.93939394] ; [5.93939394 6.06060606],0
s7,1,0.513601,0.426724,[57 30] ; [9 3],[58. 29.] ; [8. 4.],0
u1,1,0.546093,0.364363,[16 74] ; [3 9],[16.76470588 73.23529412] ; [2.23529412 9.76470588],0
p11,1,0.550746,0.355983,[68 22] ; [10  2],[68.82352941 21.17647059] ; [9.17647059 2.82352941],0
d3,1,0.582055,0.302925,[66 23] ; [8 4],[65.20792079 23.79207921] ; [8.79207921 3.20792079],0
s2,1,0.612523,0.256518,[61 29] ; [9 3],[61.76470588 28.23529412] ; [8.23529412 3.76470588],0
d4,1,0.660282,0.193182,[70 20] ; [10  2],[70.58823529 19.41176471] ; [9.41176471 2.58823529],0
a5,1,0.665497,0.186915,[62 28] ; [9 3],[62.64705882 27.35294118] ; [8.35294118 3.64705882],0
p2,1,0.694498,0.154259,[79 11] ; [11  1],[79.41176471 10.58823529] ; [10.58823529  1.41176471],0
b5,1,0.71638,0.131988,[50 40] ; [6 6],[49.41176471 40.58823529] ; [6.58823529 5.41176471],0
a2,1,0.720594,0.127925,[19 71] ; [ 2 10],[18.52941176 71.47058824] ; [2.47058824 9.52941176],0
b4,1,0.744121,0.106538,[48 42] ; [7 5],[48.52941176 41.47058824] ; [6.47058824 5.52941176],0
a7,1,0.800438,0.063898,[56 33] ; [8 4],[56.3960396 32.6039604] ; [7.6039604 4.3960396],0
s3,1,0.839493,0.041023,[65 25] ; [9 3],[65.29411765 24.70588235] ; [8.70588235 3.29411765],0
a4,1,0.970797,0.00134,[38 52] ; [5 7],[37.94117647 52.05882353] ; [5.05882353 6.94117647],0
