Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.21975,[37 35] ; [ 26 110],[21.80769231 50.19230769] ; [41.19230769 94.80769231],1
p4,1,6e-06,20.483646,[63 16] ; [69 73],[47.18552036 31.81447964] ; [84.81447964 57.18552036],1
p7,1,2.7e-05,17.59766,[63 15] ; [74 68],[48.57272727 29.42727273] ; [88.42727273 53.57272727],1
p3,1,7.3e-05,15.72673,[54 25] ; [58 85],[39.85585586 39.14414414] ; [72.14414414 70.85585586],1
s8,1,0.000217,13.676139,[34 45] ; [ 28 114],[22.16289593 56.83710407] ; [ 39.83710407 102.16289593],1
v1,1,0.000419,12.446841,[63 16] ; [79 62],[50.99090909 28.00909091] ; [91.00909091 49.99090909],1
p8,1,0.00042,12.439477,[52 25] ; [60 81],[39.55963303 37.44036697] ; [72.44036697 68.55963303],1
s2,1,0.001569,9.99568,[21 57] ; [ 15 128],[12.70588235 65.29411765] ; [ 23.29411765 119.70588235],0
p9,1,0.006379,7.439982,[71  7] ; [108  34],[63.46363636 14.53636364] ; [115.53636364  26.46363636],0
s6,1,0.008767,6.869788,[46 32] ; [58 85],[36.70588235 41.29411765] ; [67.29411765 75.70588235],0
b4,1,0.012239,6.275879,[53 26] ; [71 72],[44.12612613 34.87387387] ; [79.87387387 63.12612613],0
s5,1,0.02893,4.771759,[27 51] ; [ 30 112],[20.20909091 57.79090909] ; [ 36.79090909 105.20909091],0
n4,1,0.042249,4.1252,[66 13] ; [102  41],[59.78378378 19.21621622] ; [108.21621622  34.78378378],0
u1,1,0.050658,3.819561,[20 59] ; [ 21 122],[14.59009009 64.40990991] ; [ 26.40990991 116.59009009],0
p10,1,0.051281,3.799077,[68 10] ; [109  34],[62.47058824 15.52941176] ; [114.52941176  28.47058824],0
p2,1,0.060018,3.536888,[69 10] ; [110  33],[63.6981982 15.3018018] ; [115.3018018  27.6981982],0
b5,1,0.070315,3.275657,[54 25] ; [80 63],[47.68468468 31.31531532] ; [86.31531532 56.68468468],0
s4,1,0.088219,2.906571,[11 67] ; [ 10 132],[ 7.44545455 70.55454545] ; [ 13.55454545 128.44545455],0
p12,1,0.0943,2.799397,[ 6 72] ; [  4 139],[ 3.52941176 74.47058824] ; [  6.47058824 136.52941176],0
n2,1,0.094599,2.794312,[10  8] ; [25  7],[12.6  5.4] ; [22.4  9.6],0
n5,1,0.118606,2.435634,[61 17] ; [97 45],[56.01818182 21.98181818] ; [101.98181818  40.01818182],0
d4,1,0.155983,2.012748,[62 17] ; [122  20],[65.77375566 13.22624434] ; [118.22624434  23.77375566],0
v4,1,0.159301,1.980844,[77  2] ; [133  10],[74.72972973  4.27027027] ; [135.27027027   7.72972973],0
p5,1,0.168731,1.894184,[12 67] ; [ 13 130],[ 8.8963964 70.1036036] ; [ 16.1036036 126.8963964],0
u2,1,0.235799,1.405534,[15 10] ; [17 21],[12.6984127 12.3015873] ; [19.3015873 18.6984127],0
b2,1,0.249444,1.326413,[22 29] ; [29 58],[18.84782609 32.15217391] ; [32.15217391 54.84782609],0
b3,1,0.249444,1.326413,[22 29] ; [29 58],[18.84782609 32.15217391] ; [32.15217391 54.84782609],0
r3,1,0.28941,1.122362,[73  6] ; [136   6],[74.71040724  4.28959276] ; [134.28959276   7.71040724],0
a2,1,0.301887,1.065842,[22 57] ; [ 31 112],[18.86036036 60.13963964] ; [ 34.13963964 108.86036036],0
r4,1,0.334548,0.931213,[71  8] ; [122  21],[68.68018018 10.31981982] ; [124.31981982  18.68018018],0
n6,1,0.347823,0.881383,[68 11] ; [116  27],[65.47747748 13.52252252] ; [118.52252252  24.47747748],0
v3,1,0.361145,0.833908,[42 37] ; [64 73],[38.76851852 40.23148148] ; [67.23148148 69.76851852],0
d1,1,0.395965,0.720545,[44 35] ; [88 55],[46.97297297 32.02702703] ; [85.02702703 57.97297297],0
d2,1,0.47634,0.507231,[35 44] ; [70 72],[37.53393665 41.46606335] ; [67.46606335 74.53393665],0
a3,1,0.564692,0.331645,[54 25] ; [103  40],[55.86936937 23.13063063] ; [101.13063063  41.86936937],0
a6,1,0.622985,0.241694,[55 24] ; [104  39],[56.58108108 22.41891892] ; [102.41891892  40.58108108],0
a8,1,0.643938,0.213629,[ 7 59] ; [ 16 108],[ 7.98947368 58.01052632] ; [ 15.01052632 108.98947368],0
a1,1,0.650991,0.204654,[ 5 74] ; [  7 136],[ 4.27027027 74.72972973] ; [  7.72972973 135.27027027],0
d5,1,0.668778,0.183034,[68 11] ; [120  23],[66.9009009 12.0990991] ; [121.0990991  21.9009009],0
u4,1,0.668863,0.182935,[ 1 78] ; [  1 142],[ 0.71171171 78.28828829] ; [  1.28828829 141.71171171],0
r2,1,0.68929,0.159855,[72  6] ; [127  13],[71.20183486  6.79816514] ; [127.79816514  12.20183486],0
p1,1,0.711522,0.136761,[ 6 73] ; [  9 134],[ 5.33783784 73.66216216] ; [  9.66216216 133.33783784],0
u3,1,0.72405,0.124645,[13 12] ; [19 21],[12.30769231 12.69230769] ; [19.69230769 20.30769231],0
a5,1,0.764549,0.089707,[60 19] ; [106  37],[59.07207207 19.92792793] ; [106.92792793  36.07207207],0
n1,1,0.781894,0.076647,[ 5 13] ; [ 8 25],[ 4.58823529 13.41176471] ; [ 8.41176471 24.58823529],0
p11,1,0.80347,0.061931,[63 16] ; [112  31],[62.27477477 16.72522523] ; [112.72522523  30.27477477],0
r1,1,0.882277,0.021929,[64 15] ; [117  26],[64.40990991 14.59009009] ; [116.59009009  26.40990991],0
a4,1,0.89578,0.017159,[38 41] ; [67 75],[37.53393665 41.46606335] ; [67.46606335 74.53393665],0
b1,1,0.906009,0.013942,[27 52] ; [50 93],[27.4009009 51.5990991] ; [49.5990991 93.4009009],0
d3,1,0.944431,0.004858,[56 23] ; [102  41],[56.22522523 22.77477477] ; [101.77477477  41.22522523],0
n3,1,0.969191,0.001492,[13  5] ; [24  9],[13.05882353  4.94117647] ; [23.94117647  9.05882353],0
a7,1,0.977093,0.000824,[58 21] ; [104  38],[57.90950226 21.09049774] ; [104.09049774  37.90950226],0
