Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.020411,5.376376,[11 16] ; [22  9],[15.36206897 11.63793103] ; [17.63793103 13.36206897],0
p6,1,0.02439,5.066667,[ 5 22] ; [14 16],[ 9. 18.] ; [10. 20.],0
a5,1,0.036451,4.375903,[16 11] ; [26  5],[19.55172414  7.44827586] ; [22.44827586  8.55172414],0
r2,1,0.056445,3.638881,[22  5] ; [30  1],[24.20689655  2.79310345] ; [27.79310345  3.20689655],0
p8,1,0.058434,3.581288,[ 7 19] ; [16 15],[10.49122807 15.50877193] ; [12.50877193 18.49122807],0
s1,1,0.062145,3.479194,[ 5 22] ; [ 1 29],[ 2.84210526 24.15789474] ; [ 3.15789474 26.84210526],0
b5,1,0.089961,2.875067,[19  8] ; [15 16],[15.82758621 11.17241379] ; [18.17241379 12.82758621],0
u3,1,0.169686,1.885714,[9 2] ; [6 5],[7.5 3.5] ; [7.5 3.5],0
s2,1,0.197715,1.65917,[17  9] ; [15 16],[14.59649123 11.40350877] ; [17.40350877 13.59649123],0
a7,1,0.209268,1.576485,[13 14] ; [20 11],[15.36206897 11.63793103] ; [17.63793103 13.36206897],0
d4,1,0.22524,1.470668,[18  9] ; [25  6],[20.01724138  6.98275862] ; [22.98275862  8.01724138],0
a8,1,0.281741,1.158672,[ 3 24] ; [ 1 27],[ 1.96363636 25.03636364] ; [ 2.03636364 25.96363636],0
s3,1,0.283832,1.148649,[16 11] ; [14 17],[13.96551724 13.03448276] ; [16.03448276 14.96551724],0
d1,1,0.315436,1.007777,[13 14] ; [19 12],[14.89655172 12.10344828] ; [17.10344828 13.89655172],0
n5,1,0.340039,0.910286,[15 12] ; [21 10],[16.75862069 10.24137931] ; [19.24137931 11.75862069],0
v3,1,0.359015,0.841335,[ 6 18] ; [11 19],[ 7.55555556 16.44444444] ; [ 9.44444444 20.55555556],0
a2,1,0.387077,0.748104,[ 3 24] ; [ 6 25],[ 4.18965517 22.81034483] ; [ 4.81034483 26.18965517],0
u1,1,0.451737,0.56629,[ 4 23] ; [ 7 24],[ 5.12068966 21.87931034] ; [ 5.87931034 25.12068966],0
p11,1,0.468022,0.526643,[19  8] ; [19 12],[17.68965517  9.31034483] ; [20.31034483 10.68965517],0
b1,1,0.469053,0.524207,[13 14] ; [12 19],[11.63793103 15.36206897] ; [13.36206897 17.63793103],0
n1,1,0.485845,0.485714,[4 4] ; [3 6],[3.29411765 4.70588235] ; [3.70588235 5.29411765],0
b3,1,0.495283,0.465029,[ 8 11] ; [ 7 15],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
b2,1,0.495283,0.465029,[ 8 11] ; [ 7 15],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
p10,1,0.502539,0.449571,[16 11] ; [21 10],[17.22413793  9.77586207] ; [19.77586207 11.22413793],0
v1,1,0.507628,0.438953,[13 11] ; [14 17],[11.78181818 12.21818182] ; [15.21818182 15.78181818],0
r3,1,0.528265,0.397728,[24  3] ; [29  2],[24.67241379  2.32758621] ; [28.32758621  2.67241379],0
s5,1,0.528929,0.396448,[ 7 16] ; [12 19],[ 8.09259259 14.90740741] ; [10.90740741 20.09259259],0
