Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-05,16.858911,[ 2 10] ; [33  8],[7.9245283 4.0754717] ; [27.0754717 13.9245283],1
r2,1,0.000782,11.282293,[5 7] ; [36  5],[9.28301887 2.71698113] ; [31.71698113  9.28301887],1
n2,1,0.002102,9.458485,[2 8] ; [13  3],[5.76923077 4.23076923] ; [9.23076923 6.76923077],0
n3,1,0.004975,7.888595,[4 6] ; [13  1],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
r1,1,0.007429,7.166145,[3 9] ; [28 13],[7.01886792 4.98113208] ; [23.98113208 17.01886792],0
p2,1,0.012023,6.30745,[3 9] ; [27 14],[6.79245283 5.20754717] ; [23.20754717 17.79245283],0
p11,1,0.016101,5.791835,[ 2 10] ; [23 18],[5.66037736 6.33962264] ; [19.33962264 21.66037736],0
d5,1,0.016892,5.707554,[ 1 11] ; [19 22],[4.52830189 7.47169811] ; [15.47169811 25.52830189],0
n6,1,0.029428,4.742402,[4 8] ; [28 13],[7.24528302 4.75471698] ; [24.75471698 16.24528302],0
b3,1,0.032125,4.591837,[4 4] ; [ 4 24],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
b2,1,0.032125,4.591837,[4 4] ; [ 4 24],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
p7,1,0.03331,4.529778,[3 9] ; [24 16],[6.23076923 5.76923077] ; [20.76923077 19.23076923],0
p4,1,0.03366,4.511901,[ 2 10] ; [21 20],[5.20754717 6.79245283] ; [17.79245283 23.20754717],0
u3,1,0.061444,3.497976,[1 7] ; [12 12],[3.25 4.75] ; [ 9.75 14.25],0
v1,1,0.080827,3.048199,[ 1 11] ; [14 27],[3.39622642 8.60377358] ; [11.60377358 29.39622642],0
n5,1,0.115157,2.481978,[10  2] ; [24 17],[7.69811321 4.30188679] ; [26.30188679 14.69811321],0
s3,1,0.126184,2.338831,[3 9] ; [20 20],[5.30769231 6.69230769] ; [17.69230769 22.30769231],0
p3,1,0.128452,2.311111,[ 1 11] ; [12 28],[3. 9.] ; [10. 30.],0
p8,1,0.169968,1.883222,[ 1 10] ; [12 29],[2.75 8.25] ; [10.25 30.75],0
s6,1,0.193537,1.690486,[ 2 10] ; [15 26],[3.8490566 8.1509434] ; [13.1509434 27.8490566],0
p6,1,0.215016,1.537324,[ 1 10] ; [11 30],[2.53846154 8.46153846] ; [ 9.46153846 31.53846154],0
a5,1,0.300749,1.07087,[3 9] ; [17 24],[4.52830189 7.47169811] ; [15.47169811 25.52830189],0
b4,1,0.301795,1.066247,[5 7] ; [24 17],[6.56603774 5.43396226] ; [22.43396226 18.56603774],0
d3,1,0.30901,1.034902,[ 2 10] ; [13 28],[3.39622642 8.60377358] ; [11.60377358 29.39622642],0
d1,1,0.345968,0.888191,[ 1 11] ; [ 1 40],[ 0.45283019 11.54716981] ; [ 1.54716981 39.45283019],0
a2,1,0.345968,0.888191,[ 1 11] ; [ 1 40],[ 0.45283019 11.54716981] ; [ 1.54716981 39.45283019],0
p12,1,0.345968,0.888191,[ 1 11] ; [ 1 40],[ 0.45283019 11.54716981] ; [ 1.54716981 39.45283019],0
s2,1,0.361094,0.834085,[ 2 10] ; [12 28],[3.23076923 8.76923077] ; [10.76923077 29.23076923],0
b1,1,0.46486,0.534168,[5 7] ; [22 19],[6.11320755 5.88679245] ; [20.88679245 20.11320755],0
p1,1,0.506356,0.44159,[ 2 10] ; [ 4 37],[ 1.35849057 10.64150943] ; [ 4.64150943 36.35849057],0
s4,1,0.537047,0.381041,[3 9] ; [ 7 34],[2.26415094 9.73584906] ; [ 7.73584906 33.26415094],0
s7,1,0.608936,0.261727,[ 2 10] ; [ 9 29],[2.64 9.36] ; [ 8.36 29.64],0
a7,1,0.612546,0.256485,[4 8] ; [17 24],[4.75471698 7.24528302] ; [16.24528302 24.75471698],0
a8,1,0.634295,0.226282,[ 1 11] ; [ 5 32],[ 1.46938776 10.53061224] ; [ 4.53061224 32.46938776],0
d2,1,0.65621,0.19816,[3 9] ; [13 28],[3.62264151 8.37735849] ; [12.37735849 28.62264151],0
a4,1,0.709918,0.138359,[3 9] ; [ 8 32],[2.53846154 9.46153846] ; [ 8.46153846 31.53846154],0
s1,1,0.710713,0.137566,[ 2 10] ; [ 5 35],[ 1.61538462 10.38461538] ; [ 5.38461538 34.61538462],0
n1,1,0.742174,0.108225,[4 6] ; [7 8],[4.4 5.6] ; [6.6 8.4],0
a3,1,0.759535,0.093692,[4 7] ; [17 24],[4.44230769 6.55769231] ; [16.55769231 24.44230769],0
a6,1,0.89068,0.018891,[5 7] ; [18 23],[5.20754717 6.79245283] ; [17.79245283 23.20754717],0
b5,1,0.940751,0.005524,[6 6] ; [20 21],[5.88679245 6.11320755] ; [20.11320755 20.88679245],0
n4,1,0.958285,0.002736,[8 4] ; [27 14],[7.9245283 4.0754717] ; [27.0754717 13.9245283],0
