Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000107,15.016685,[ 8 22] ; [23  7],[15.5 14.5] ; [15.5 14.5],1
d2,1,0.066798,3.36,[ 9 21] ; [16 14],[12.5 17.5] ; [12.5 17.5],0
a1,1,0.070645,3.267974,[ 2 28] ; [ 7 23],[ 4.5 25.5] ; [ 4.5 25.5],0
p4,1,0.077769,3.110929,[10 20] ; [ 4 25],[ 7.11864407 22.88135593] ; [ 6.88135593 22.11864407],0
a3,1,0.083124,3.002737,[14 16] ; [20  9],[17.28813559 12.71186441] ; [16.71186441 12.28813559],0
p8,1,0.098816,2.724553,[ 9 19] ; [ 4 25],[ 6.38596491 21.61403509] ; [ 6.61403509 22.38596491],0
p2,1,0.103435,2.651763,[16 14] ; [ 9 19],[12.93103448 17.06896552] ; [12.06896552 15.93103448],0
b5,1,0.121335,2.4,[18 12] ; [12 18],[15. 15.] ; [15. 15.],0
n1,1,0.137739,2.203037,[ 3 11] ; [8 9],[4.96774194 9.03225806] ; [ 6.03225806 10.96774194],0
s1,1,0.161125,1.963636,[ 4 26] ; [ 1 29],[ 2.5 27.5] ; [ 2.5 27.5],0
d1,1,0.17595,1.831502,[ 8 22] ; [13 17],[10.5 19.5] ; [10.5 19.5],0
p6,1,0.182827,1.774492,[ 7 22] ; [ 3 25],[ 5.0877193 23.9122807] ; [ 4.9122807 23.0877193],0
d5,1,0.19043,1.714286,[15 15] ; [20 10],[17.5 12.5] ; [17.5 12.5],0
a5,1,0.19446,1.683502,[11 19] ; [16 14],[13.5 16.5] ; [13.5 16.5],0
r2,1,0.203187,1.619318,[15 15] ; [18  9],[17.36842105 12.63157895] ; [15.63157895 11.36842105],0
n3,1,0.2238,1.479839,[8 6] ; [ 6 11],[6.32258065 7.67741935] ; [7.67741935 9.32258065],0
n2,1,0.2238,1.479839,[6 8] ; [11  6],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
u2,1,0.262871,1.253571,[10  6] ; [4 6],[8.61538462 7.38461538] ; [5.38461538 4.61538462],0
p3,1,0.276609,1.183673,[ 3 26] ; [ 6 23],[ 4.5 24.5] ; [ 4.5 24.5],0
r3,1,0.297365,1.085973,[15 15] ; [11 19],[13. 17.] ; [13. 17.],0
a7,1,0.300623,1.071429,[18 12] ; [14 16],[16. 14.] ; [16. 14.],0
a8,1,0.316943,1.00152,[ 1 28] ; [ 3 27],[ 1.96610169 27.03389831] ; [ 2.03389831 27.96610169],0
b3,1,0.342782,0.9,[ 4 12] ; [ 8 12],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
b2,1,0.342782,0.9,[ 4 12] ; [ 8 12],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
v4,1,0.363151,0.826967,[17 13] ; [13 16],[15.25423729 14.74576271] ; [14.74576271 14.25423729],0
b1,1,0.416793,0.659341,[21  9] ; [18 12],[19.5 10.5] ; [19.5 10.5],0
a6,1,0.438323,0.600667,[14 16] ; [17 13],[15.5 14.5] ; [15.5 14.5],0
b4,1,0.438323,0.600667,[13 17] ; [16 14],[14.5 15.5] ; [14.5 15.5],0
s5,1,0.451499,0.566887,[ 4 26] ; [ 6 23],[ 5.08474576 24.91525424] ; [ 4.91525424 24.08474576],0
v1,1,0.47211,0.517034,[12 18] ; [ 9 20],[10.6779661 19.3220339] ; [10.3220339 18.6779661],0
v3,1,0.488422,0.48,[ 4 26] ; [ 6 24],[ 5. 25.] ; [ 5. 25.],0
d3,1,0.513538,0.426852,[13 16] ; [16 14],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
s7,1,0.537094,0.380952,[ 6 22] ; [ 8 20],[ 7. 21.] ; [ 7. 21.],0
r1,1,0.559305,0.340909,[ 7 23] ; [ 9 21],[ 8. 22.] ; [ 8. 22.],0
s2,1,0.559305,0.340909,[ 9 21] ; [ 7 23],[ 8. 22.] ; [ 8. 22.],0
p10,1,0.570576,0.32172,[14 16] ; [11 17],[12.93103448 17.06896552] ; [12.06896552 15.93103448],0
p5,1,0.573734,0.316475,[ 1 28] ; [ 2 28],[ 1.47457627 27.52542373] ; [ 1.52542373 28.47457627],0
a4,1,0.583882,0.3,[ 9 21] ; [11 19],[10. 20.] ; [10. 20.],0
d4,1,0.598161,0.277778,[19 11] ; [17 13],[18. 12.] ; [18. 12.],0
p1,1,0.640429,0.218182,[ 2 28] ; [ 3 27],[ 2.5 27.5] ; [ 2.5 27.5],0
a2,1,0.687573,0.161725,[ 3 27] ; [ 4 26],[ 3.5 26.5] ; [ 3.5 26.5],0
v2,1,0.712572,0.135721,[ 9 21] ; [10 19],[ 9.66101695 20.33898305] ; [ 9.33898305 19.66101695],0
s4,1,0.738649,0.111317,[ 5 25] ; [ 6 24],[ 5.5 24.5] ; [ 5.5 24.5],0
s6,1,0.781375,0.077022,[10 20] ; [ 9 21],[ 9.5 20.5] ; [ 9.5 20.5],0
p11,1,0.786648,0.07326,[11 19] ; [10 20],[10.5 19.5] ; [10.5 19.5],0
s3,1,0.879308,0.023057,[13 17] ; [12 17],[12.71186441 17.28813559] ; [12.28813559 16.71186441],0
p9,1,0.894641,0.017539,[15 15] ; [14 15],[14.74576271 15.25423729] ; [14.25423729 14.74576271],0
p7,1,1.0,0.0,[13 16] ; [13 16],[13. 16.] ; [13. 16.],0
s8,1,1.0,0.0,[ 4 26] ; [ 4 26],[ 4. 26.] ; [ 4. 26.],0
