Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.438661,[280   8] ; [39 14],[269.41935484  18.58064516] ; [49.58064516  3.41935484],1
a5,1,7e-06,20.165661,[233  54] ; [28 25],[220.31470588  66.68529412] ; [40.68529412 12.31470588],1
v4,1,8.5e-05,15.444047,[283   4] ; [47  6],[278.55882353   8.44117647] ; [51.44117647  1.55882353],1
u1,1,0.001016,10.797679,[ 68 220] ; [ 2 51],[ 59.1202346 228.8797654] ; [10.8797654 42.1202346],0
p4,1,0.001146,10.575849,[184  98] ; [21 30],[173.6036036 108.3963964] ; [31.3963964 19.6036036],0
a6,1,0.002054,9.501045,[206  79] ; [27 26],[196.46449704  88.53550296] ; [36.53550296 16.46449704],0
s5,1,0.007261,7.207194,[115 164] ; [10 38],[106.65137615 172.34862385] ; [18.34862385 29.65137615],0
a2,1,0.01578,5.82719,[ 84 204] ; [ 7 46],[ 76.85630499 211.14369501] ; [14.14369501 38.85630499],0
r3,1,0.020834,5.340634,[278   8] ; [48  5],[275.03244838  10.96755162] ; [50.96755162  2.03244838],0
u3,1,0.021325,5.300072,[41 24] ; [ 5 11],[36.91358025 28.08641975] ; [9.08641975 6.91358025],0
s2,1,0.023904,5.101589,[165 118] ; [22 31],[157.50297619 125.49702381] ; [29.49702381 23.50297619],0
s8,1,0.027244,4.875295,[153 129] ; [20 33],[145.62985075 136.37014925] ; [27.37014925 25.62985075],0
p10,1,0.032869,4.552588,[240  42] ; [38 14],[234.71856287  47.28143713] ; [43.28143713  8.71856287],0
p12,1,0.050181,3.835405,[ 38 245] ; [ 2 50],[ 33.79104478 249.20895522] ; [ 6.20895522 45.79104478],0
a4,1,0.071575,3.246529,[141 145] ; [19 34],[134.98525074 151.01474926] ; [25.01474926 27.98525074],0
s7,1,0.073917,3.193831,[159 108] ; [24 28],[153.169279 113.830721] ; [29.830721 22.169279],0
v2,1,0.07418,3.188023,[228  56] ; [36 16],[223.14285714  60.85714286] ; [40.85714286 11.14285714],0
d1,1,0.103841,2.645534,[186 102] ; [28 25],[180.73900293 107.26099707] ; [33.26099707 19.73900293],0
n5,1,0.123836,2.368123,[237  50] ; [39 14],[232.97647059  54.02352941] ; [43.02352941  9.97647059],0
p6,1,0.124218,2.363321,[105 176] ; [24 25],[109.84545455 171.15454545] ; [19.15454545 29.84545455],0
p11,1,0.127333,2.324724,[233  55] ; [38 15],[228.8797654  59.1202346] ; [42.1202346 10.8797654],0
p5,1,0.154262,2.029591,[ 49 235] ; [ 5 48],[ 45.5074184 238.4925816] ; [ 8.4925816 44.5074184],0
p3,1,0.156628,2.006487,[166 117] ; [25 27],[161.35223881 121.64776119] ; [29.64776119 22.35223881],0
