Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,48.415982,[107  15] ; [ 9 23],[91.8961039 30.1038961] ; [24.1038961  7.8961039],1
n6,1,0.0,34.6723,[105  17] ; [12 21],[92.09032258 29.90967742] ; [24.90967742  8.09032258],1
p2,1,4e-06,21.155556,[104  17] ; [16 17],[94.28571429 26.71428571] ; [25.71428571  7.28571429],1
s7,1,5.1e-05,16.395529,[89 29] ; [11 19],[79.72972973 38.27027027] ; [20.27027027  9.72972973],1
v3,1,0.000106,15.032427,[58 63] ; [ 3 28],[48.55921053 72.44078947] ; [12.44078947 18.55921053],1
s6,1,0.001453,10.137591,[97 20] ; [18 14],[90.30201342 26.69798658] ; [24.69798658  7.30201342],0
s8,1,0.002941,8.843898,[80 43] ; [12 21],[72.53846154 50.46153846] ; [19.46153846 13.53846154],0
p11,1,0.008541,6.916408,[101  22] ; [20 13],[95.40384615 27.59615385] ; [25.59615385  7.40384615],0
p10,1,0.010358,6.572319,[98 23] ; [19 13],[92.52941176 28.47058824] ; [24.47058824  7.52941176],0
d5,1,0.010419,6.561873,[94 28] ; [18 15],[88.15483871 33.84516129] ; [23.84516129  9.15483871],0
p9,1,0.012799,6.196721,[101  21] ; [20 12],[95.85714286 26.14285714] ; [25.14285714  6.85714286],0
r1,1,0.017666,5.628931,[96 27] ; [19 14],[90.67307692 32.32692308] ; [24.32692308  8.67307692],0
p8,1,0.019049,5.497017,[64 56] ; [10 23],[58.03921569 61.96078431] ; [15.96078431 17.03921569],0
b3,1,0.027505,4.858798,[42 44] ; [ 5 17],[37.42592593 48.57407407] ; [ 9.57407407 12.42592593],0
b2,1,0.027505,4.858798,[42 44] ; [ 5 17],[37.42592593 48.57407407] ; [ 9.57407407 12.42592593],0
d1,1,0.032496,4.572145,[63 60] ; [10 23],[57.55769231 65.44230769] ; [15.44230769 17.55769231],0
a3,1,0.041295,4.163883,[95 28] ; [19 13],[90.46451613 32.53548387] ; [23.53548387  8.46451613],0
p3,1,0.048175,3.903875,[68 54] ; [12 21],[62.96774194 59.03225806] ; [17.03225806 15.96774194],0
d3,1,0.058089,3.591134,[60 63] ; [10 23],[55.19230769 67.80769231] ; [14.80769231 18.19230769],0
s2,1,0.086757,2.933548,[93 30] ; [20 13],[89.09615385 33.90384615] ; [23.90384615  9.09615385],0
p6,1,0.09378,2.808269,[49 70] ; [ 8 24],[44.9205298 74.0794702] ; [12.0794702 19.9205298],0
v2,1,0.109971,2.554642,[57 61] ; [10 21],[53.06040268 64.93959732] ; [13.93959732 17.06040268],0
r2,1,0.11408,2.496769,[114   8] ; [28  5],[111.76774194  10.23225806] ; [30.23225806  2.76774194],0
v1,1,0.118585,2.435915,[71 49] ; [14 18],[67.10526316 52.89473684] ; [17.89473684 14.10526316],0
a5,1,0.140488,2.172601,[84 39] ; [18 15],[80.42307692 42.57692308] ; [21.57692308 11.42307692],0
r4,1,0.188476,1.72949,[105  18] ; [25  8],[102.5  20.5] ; [27.5  5.5],0
u2,1,0.19043,1.714286,[12 16] ; [9 5],[14. 14.] ; [7. 7.],0
a1,1,0.200128,1.641443,[  7 116] ; [ 4 29],[  8.67307692 114.32692308] ; [ 2.32692308 30.67307692],0
v4,1,0.21306,1.550513,[111  10] ; [27  5],[109.1372549  11.8627451] ; [28.8627451  3.1372549],0
p4,1,0.250988,1.317796,[71 51] ; [15 17],[68.12987013 53.87012987] ; [17.87012987 14.12987013],0
a8,1,0.263526,1.250141,[ 17 102] ; [ 2 28],[ 15.17449664 103.82550336] ; [ 3.82550336 26.17449664],0
d4,1,0.282537,1.154844,[95 27] ; [22 10],[92.68831169 29.31168831] ; [24.31168831  7.68831169],0
n3,1,0.308456,1.037277,[17 10] ; [11  3],[18.43902439  8.56097561] ; [9.56097561 4.43902439],0
p12,1,0.312318,1.020847,[ 10 110] ; [ 1 31],[  8.68421053 111.31578947] ; [ 2.31578947 29.68421053],0
u1,1,0.371996,0.796987,[  9 114] ; [ 1 32],[  7.88461538 115.11538462] ; [ 2.11538462 30.88461538],0
s4,1,0.383735,0.758703,[28 94] ; [10 23],[29.90967742 92.09032258] ; [ 8.09032258 24.90967742],0
r3,1,0.478923,0.501315,[116   7] ; [30  3],[115.11538462   7.88461538] ; [30.88461538  2.11538462],0
n2,1,0.482096,0.494118,[21  6] ; [13  2],[21.85714286  5.14285714] ; [12.14285714  2.85714286],0
p7,1,0.491908,0.472349,[82 37] ; [20 12],[80.38410596 38.61589404] ; [21.61589404 10.38410596],0
a2,1,0.509554,0.434982,[ 12 111] ; [ 2 31],[ 11.03846154 111.96153846] ; [ 2.96153846 30.03846154],0
u3,1,0.512691,0.428571,[13 15] ; [8 6],[14. 14.] ; [7. 7.],0
b5,1,0.570934,0.321122,[59 64] ; [14 19],[57.55769231 65.44230769] ; [15.44230769 17.55769231],0
b4,1,0.688239,0.160999,[66 57] ; [19 14],[67.01923077 55.98076923] ; [17.98076923 15.01923077],0
a6,1,0.716518,0.131853,[49 74] ; [12 21],[48.09615385 74.90384615] ; [12.90384615 20.09615385],0
d2,1,0.717318,0.131077,[59 64] ; [17 16],[59.92307692 63.07692308] ; [16.07692308 16.92307692],0
a4,1,0.727779,0.121161,[55 67] ; [16 17],[55.88387097 66.11612903] ; [15.11612903 17.88387097],0
b1,1,0.73419,0.115299,[60 63] ; [15 18],[59.13461538 63.86538462] ; [15.86538462 17.13461538],0
s1,1,0.771837,0.084084,[  5 116] ; [ 1 32],[  4.71428571 116.28571429] ; [ 1.28571429 31.71428571],0
s5,1,0.831293,0.045388,[52 66] ; [13 18],[51.47651007 66.52348993] ; [13.52348993 17.47651007],0
n1,1,0.910434,0.012654,[14 13] ; [7 7],[13.82926829 13.17073171] ; [7.17073171 6.82926829],0
p1,1,0.989429,0.000176,[ 11 111] ; [ 3 30],[ 11.01935484 110.98064516] ; [ 2.98064516 30.01935484],0
