Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.007757,[ 5 33] ; [80 20],[23.4057971 14.5942029] ; [61.5942029 38.4057971],1
r3,1,0.0,28.602507,[15 23] ; [85 15],[27.53623188 10.46376812] ; [72.46376812 27.53623188],1
r2,1,1.9e-05,18.282129,[20 15] ; [89 10],[28.47014925  6.52985075] ; [80.52985075 18.47014925],1
n6,1,6.8e-05,15.86251,[12 25] ; [70 30],[22.1459854 14.8540146] ; [59.8540146 40.1459854],1
p10,1,7.6e-05,15.652418,[ 6 31] ; [53 45],[16.17037037 20.82962963] ; [42.82962963 55.17037037],1
r1,1,0.000108,14.991659,[12 26] ; [68 32],[22.02898551 15.97101449] ; [57.97101449 42.02898551],1
u3,1,0.000184,13.987981,[ 1 15] ; [24 15],[7.27272727 8.72727273] ; [17.72727273 21.27272727],1
p9,1,0.00385,8.353125,[ 9 27] ; [51 45],[16.36363636 19.63636364] ; [43.63636364 52.36363636],0
p11,1,0.004936,7.902592,[10 28] ; [53 47],[17.34782609 20.65217391] ; [45.65217391 54.34782609],0
a7,1,0.016676,5.730113,[17 21] ; [67 33],[23.13043478 14.86956522] ; [60.86956522 39.13043478],0
v2,1,0.018253,5.571662,[ 9 28] ; [44 50],[14.96946565 22.03053435] ; [38.03053435 55.96946565],0
p1,1,0.02566,4.978817,[ 7 31] ; [ 6 94],[ 3.57971014 34.42028986] ; [ 9.42028986 90.57971014],0
s6,1,0.026009,4.955421,[ 8 30] ; [41 58],[13.59124088 24.40875912] ; [35.40875912 63.59124088],0
d2,1,0.026867,4.899366,[21 16] ; [35 63],[15.34814815 21.65185185] ; [40.65185185 57.34814815],0
n2,1,0.028037,4.825788,[ 9 12] ; [26 10],[12.89473684  8.10526316] ; [22.10526316 13.89473684],0
s2,1,0.062471,3.470534,[ 6 32] ; [31 67],[10.33823529 27.66176471] ; [26.66176471 71.33823529],0
n3,1,0.077673,3.112941,[ 8 12] ; [22 12],[11.11111111  8.88888889] ; [18.88888889 15.11111111],0
d3,1,0.091824,2.842102,[15 23] ; [55 44],[19.41605839 18.58394161] ; [50.58394161 48.41605839],0
a6,1,0.093715,2.809367,[17 21] ; [60 39],[21.35766423 16.64233577] ; [55.64233577 43.35766423],0
p8,1,0.097621,2.743978,[ 5 32] ; [27 73],[ 8.64233577 28.35766423] ; [23.35766423 76.64233577],0
p7,1,0.108353,2.578079,[ 7 31] ; [31 65],[10.7761194 27.2238806] ; [27.2238806 68.7761194],0
v3,1,0.118089,2.442481,[ 7 30] ; [31 64],[10.65151515 26.34848485] ; [27.34848485 67.65151515],0
u2,1,0.126622,2.333433,[ 4 12] ; [18 20],[6.51851852 9.48148148] ; [15.48148148 22.51851852],0
v1,1,0.131947,2.269441,[ 7 30] ; [32 68],[10.53284672 26.46715328] ; [28.46715328 71.53284672],0
p4,1,0.143034,2.145015,[ 6 32] ; [27 70],[ 9.28888889 28.71111111] ; [23.71111111 73.28888889],0
p6,1,0.154479,2.027453,[ 2 35] ; [14 84],[ 4.38518519 32.61481481] ; [11.61481481 86.38518519],0
b5,1,0.162335,1.952337,[17 21] ; [58 42],[20.65217391 17.34782609] ; [54.34782609 45.65217391],0
a1,1,0.17579,1.83286,[ 6 32] ; [ 8 92],[ 3.85507246 34.14492754] ; [10.14492754 89.85507246],0
n1,1,0.182682,1.77567,[11 10] ; [12 23],[ 8.625 12.375] ; [14.375 20.625],0
p3,1,0.195534,1.675423,[ 7 31] ; [29 70],[ 9.98540146 28.01459854] ; [26.01459854 72.98540146],0
a8,1,0.292445,1.108333,[ 5 33] ; [ 7 88],[ 3.42857143 34.57142857] ; [ 8.57142857 86.42857143],0
u1,1,0.302742,1.062075,[ 2 36] ; [11 89],[ 3.57971014 34.42028986] ; [ 9.42028986 90.57971014],0
s1,1,0.364329,0.822914,[ 6 32] ; [10 88],[ 4.47058824 33.52941176] ; [11.52941176 86.47058824],0
