Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.367586,[23 95] ; [17  9],[32.77777778 85.22222222] ; [ 7.22222222 18.77777778],1
s6,1,1.4e-05,18.879969,[41 85] ; [21  6],[51.05882353 74.94117647] ; [10.94117647 16.05882353],1
s2,1,1.8e-05,18.375754,[ 24 101] ; [16 11],[32.89473684 92.10526316] ; [ 7.10526316 19.89473684],1
v3,1,2.5e-05,17.780781,[25 96] ; [16 10],[33.74829932 87.25170068] ; [ 7.25170068 18.74829932],1
u3,1,0.001217,10.465055,[18 34] ; [9 1],[22.64516129 29.35483871] ; [4.35483871 5.64516129],0
r4,1,0.001638,9.916667,[77 49] ; [25  2],[84. 42.] ; [18.  9.],0
p6,1,0.00415,8.216902,[ 17 107] ; [10 17],[ 22.17218543 101.82781457] ; [ 4.82781457 22.17218543],0
s3,1,0.004642,8.013943,[41 81] ; [17 10],[47.48993289 74.51006711] ; [10.51006711 16.48993289],0
n6,1,0.005898,7.581323,[71 54] ; [23  4],[77.30263158 47.69736842] ; [16.69736842 10.30263158],0
a8,1,0.013327,6.125132,[ 11 103] ; [ 7 18],[14.76258993 99.23741007] ; [ 3.23741007 21.76258993],0
u2,1,0.017957,5.60034,[20 31] ; [8 2],[23.40983607 27.59016393] ; [4.59016393 5.40983607],0
p4,1,0.018327,5.564648,[28 97] ; [12 15],[32.89473684 92.10526316] ; [ 7.10526316 19.89473684],0
d4,1,0.025901,4.962601,[83 40] ; [24  3],[87.74 35.26] ; [19.26  7.74],0
n4,1,0.029512,4.737467,[74 51] ; [22  5],[78.94736842 46.05263158] ; [17.05263158  9.94736842],0
d5,1,0.03269,4.56193,[80 45] ; [23  4],[84.70394737 40.29605263] ; [18.29605263  8.70394737],0
p9,1,0.038166,4.297592,[37 83] ; [14 13],[41.63265306 78.36734694] ; [ 9.36734694 17.63265306],0
v1,1,0.0382,4.296078,[36 88] ; [13 13],[40.50666667 83.49333333] ; [ 8.49333333 17.50666667],0
a6,1,0.043144,4.089755,[71 54] ; [21  6],[75.65789474 49.34210526] ; [16.34210526 10.65789474],0
r3,1,0.045013,4.01815,[93 31] ; [25  2],[96.90066225 27.09933775] ; [21.09933775  5.90066225],0
v4,1,0.045013,4.01815,[93 31] ; [25  2],[96.90066225 27.09933775] ; [21.09933775  5.90066225],0
r1,1,0.054735,3.690136,[77 47] ; [22  5],[81.29801325 42.70198675] ; [17.70198675  9.29801325],0
v2,1,0.06096,3.51106,[44 78] ; [15 12],[48.30872483 73.69127517] ; [10.69127517 16.30872483],0
s5,1,0.072998,3.214286,[ 18 108] ; [ 7 17],[ 21. 105.] ; [ 4. 20.],0
p8,1,0.079838,3.068194,[26 97] ; [10 17],[29.52 93.48] ; [ 6.48 20.52],0
u1,1,0.080943,3.045867,[ 16 110] ; [ 7 20],[ 18.94117647 107.05882353] ; [ 4.05882353 22.94117647],0
n5,1,0.128235,2.313741,[68 57] ; [19  8],[71.54605263 53.45394737] ; [15.45394737 11.54605263],0
d1,1,0.139989,2.178081,[55 71] ; [16 11],[58.47058824 67.52941176] ; [12.52941176 14.47058824],0
p2,1,0.1535,2.037116,[65 61] ; [18  9],[68.35294118 57.64705882] ; [14.64705882 12.35294118],0
d2,1,0.158158,1.991754,[59 64] ; [17 10],[62.32 60.68] ; [13.68 13.32],0
p11,1,0.169914,1.8837,[61 65] ; [17 10],[64.23529412 61.76470588] ; [13.76470588 13.23529412],0
n1,1,0.199037,1.649429,[23 36] ; [1 6],[21.45454545 37.54545455] ; [2.54545455 4.45454545],0
a7,1,0.208294,1.583245,[71 53] ; [19  8],[73.90728477 50.09271523] ; [16.09271523 10.90728477],0
a5,1,0.227466,1.456637,[68 58] ; [18  9],[70.82352941 55.17647059] ; [15.17647059 11.82352941],0
s4,1,0.242977,1.363239,[ 13 111] ; [ 5 22],[ 14.78145695 109.21854305] ; [ 3.21854305 23.78145695],0
p7,1,0.325344,0.967344,[40 84] ; [11 15],[42.16 81.84] ; [ 8.84 17.16],0
d3,1,0.384662,0.755751,[72 53] ; [18  9],[74.01315789 50.98684211] ; [15.98684211 11.01315789],0
b2,1,0.445415,0.582294,[25 52] ; [ 5 16],[23.57142857 53.42857143] ; [ 6.42857143 14.57142857],0
b3,1,0.445415,0.582294,[25 52] ; [ 5 16],[23.57142857 53.42857143] ; [ 6.42857143 14.57142857],0
b4,1,0.577962,0.309541,[72 54] ; [17 10],[73.29411765 52.70588235] ; [15.70588235 11.29411765],0
a1,1,0.59136,0.288226,[ 10 116] ; [ 3 24],[ 10.70588235 115.29411765] ; [ 2.29411765 24.70588235],0
a4,1,0.607806,0.263382,[53 71] ; [13 14],[54.1986755 69.8013245] ; [11.8013245 15.1986755],0
u4,1,0.69587,0.152804,[  3 123] ; [ 1 26],[  3.29411765 122.70588235] ; [ 0.70588235 26.29411765],0
a3,1,0.787359,0.07276,[74 49] ; [17 10],[74.62 48.38] ; [16.38 10.62],0
n2,1,0.793144,0.068765,[34 25] ; [5 3],[34.34328358 24.65671642] ; [4.65671642 3.34328358],0
a2,1,0.853985,0.03387,[ 26 100] ; [ 6 21],[26.35294118 99.64705882] ; [ 5.64705882 21.35294118],0
b5,1,0.857621,0.032185,[77 49] ; [17 10],[77.41176471 48.58823529] ; [16.58823529 10.41176471],0
n3,1,0.870243,0.026683,[35 23] ; [4 3],[34.8 23.2] ; [4.2 2.8],0
b1,1,1.0,0.0,[56 70] ; [12 15],[56. 70.] ; [12. 15.],0
