Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,6.2e-05,16.050226,[112  13] ; [2 4],[108.77862595  16.22137405] ; [5.22137405 0.77862595],1
r4,1,0.002272,9.315751,[114  12] ; [3 3],[111.68181818  14.31818182] ; [5.31818182 0.68181818],0
n5,1,0.003119,8.736224,[92 34] ; [1 5],[88.77272727 37.22727273] ; [4.22727273 1.77272727],0
p11,1,0.006799,7.325267,[101  25] ; [2 4],[98.31818182 27.68181818] ; [4.68181818 1.31818182],0
s6,1,0.018287,5.56845,[104  17] ; [3 3],[101.94488189  19.05511811] ; [5.05511811 0.94488189],0
s2,1,0.038985,4.261522,[90 34] ; [2 4],[87.75384615 36.24615385] ; [4.24615385 1.75384615],0
s5,1,0.059167,3.560572,[65 51] ; [1 5],[62.75409836 53.24590164] ; [3.24590164 2.75409836],0
n4,1,0.068193,3.325992,[87 39] ; [2 4],[84.95454545 41.04545455] ; [4.04545455 1.95454545],0
v1,1,0.098406,2.731192,[64 61] ; [1 5],[62.02290076 62.97709924] ; [2.97709924 3.02290076],0
a6,1,0.103884,2.644878,[83 43] ; [2 4],[81.13636364 44.86363636] ; [3.86363636 2.13636364],0
r3,1,0.147124,2.101822,[120   5] ; [5 1],[119.27480916   5.72519084] ; [5.72519084 0.27480916],0
a5,1,0.200751,1.636905,[93 33] ; [3 3],[91.63636364 34.36363636] ; [4.36363636 1.63636364],0
a4,1,0.203605,1.616327,[54 72] ; [1 5],[52.5 73.5] ; [2.5 3.5],0
r2,1,0.265098,1.241935,[119   7] ; [5 1],[118.36363636   7.63636364] ; [5.63636364 0.36363636],0
a3,1,0.304828,1.052954,[88 38] ; [3 3],[86.86363636 39.13636364] ; [4.13636364 1.86363636],0
a7,1,0.31184,1.022865,[87 38] ; [3 3],[85.8778626 39.1221374] ; [4.1221374 1.8778626],0
n2,1,0.320372,0.987429,[24  6] ; [1 1],[23.4375  6.5625] ; [1.5625 0.4375],0
s8,1,0.34178,0.903743,[67 59] ; [2 4],[65.86363636 60.13636364] ; [3.13636364 2.86363636],0
p3,1,0.361714,0.831933,[66 60] ; [2 4],[64.90909091 61.09090909] ; [3.09090909 2.90909091],0
b1,1,0.375399,0.785714,[41 85] ; [3 3],[42. 84.] ; [2. 4.],0
d4,1,0.389995,0.738959,[102  24] ; [4 2],[101.18181818  24.81818182] ; [4.81818182 1.18181818],0
n3,1,0.399075,0.711111,[23  7] ; [1 1],[22.5  7.5] ; [1.5 0.5],0
v2,1,0.436903,0.604402,[60 61] ; [2 4],[59.07086614 61.92913386] ; [2.92913386 3.07086614],0
n1,1,0.477315,0.504992,[ 8 22] ; [1 1],[ 8.4375 21.5625] ; [0.5625 1.4375],0
r1,1,0.560245,0.33928,[97 29] ; [4 2],[96.40909091 29.59090909] ; [4.59090909 1.40909091],0
p8,1,0.637035,0.22264,[70 53] ; [4 2],[70.55813953 52.44186047] ; [3.44186047 2.55813953],0
b5,1,0.642957,0.214896,[75 51] ; [3 3],[74.45454545 51.54545455] ; [3.54545455 2.45454545],0
b4,1,0.700752,0.147691,[73 53] ; [3 3],[72.54545455 53.45454545] ; [3.45454545 2.54545455],0
d1,1,0.784812,0.074558,[77 49] ; [4 2],[77.31818182 48.68181818] ; [3.68181818 2.31818182],0
p4,1,0.784812,0.074558,[77 49] ; [4 2],[77.31818182 48.68181818] ; [3.68181818 2.31818182],0
p6,1,0.832648,0.044651,[57 68] ; [3 3],[57.2519084 67.7480916] ; [2.7480916 3.2519084],0
p7,1,0.841313,0.040086,[86 36] ; [4 2],[85.78125 36.21875] ; [4.21875 1.78125],0
d5,1,0.841504,0.039988,[100  25] ; [5 1],[100.19083969  24.80916031] ; [4.80916031 1.19083969],0
s3,1,0.845111,0.038166,[88 37] ; [4 2],[87.78625954 37.21374046] ; [4.21374046 1.78625954],0
v3,1,0.865509,0.028685,[37 86] ; [2 4],[37.18604651 85.81395349] ; [1.81395349 4.18604651],0
p2,1,0.884376,0.021148,[102  24] ; [5 1],[102.13636364  23.86363636] ; [4.86363636 1.13636364],0
d2,1,0.909176,0.013014,[60 66] ; [3 3],[60.13636364 65.86363636] ; [2.86363636 3.13636364],0
s7,1,0.98269,0.000471,[75 49] ; [3 2],[74.97674419 49.02325581] ; [3.02325581 1.97674419],0
