Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.857143,[9 1] ; [ 3 27],[3. 7.] ; [ 9. 21.],1
s3,1,3e-06,22.067653,[9 1] ; [ 4 29],[3.02325581 6.97674419] ; [ 9.97674419 23.02325581],1
s2,1,4.9e-05,16.467266,[7 3] ; [ 3 31],[2.27272727 7.72727273] ; [ 7.72727273 26.27272727],1
s6,1,0.001101,10.648739,[8 2] ; [ 8 26],[3.63636364 6.36363636] ; [12.36363636 21.63636364],0
r4,1,0.008415,6.943044,[5 5] ; [ 4 30],[2.04545455 7.95454545] ; [ 6.95454545 27.04545455],0
p2,1,0.009235,6.776901,[8 2] ; [11 22],[4.41860465 5.58139535] ; [14.58139535 18.41860465],0
s5,1,0.009896,6.653545,[5 4] ; [ 5 29],[2.09302326 6.90697674] ; [ 7.90697674 26.09302326],0
p10,1,0.010423,6.561176,[9 1] ; [15 19],[5.45454545 4.54545455] ; [18.54545455 15.45454545],0
n2,1,0.02474,5.042017,[6 1] ; [ 6 11],[3.5 3.5] ; [8.5 8.5],0
b1,1,0.07713,3.12437,[4 6] ; [24 10],[6.36363636 3.63636364] ; [21.63636364 12.36363636],0
p4,1,0.088754,2.896829,[6 4] ; [10 23],[3.72093023 6.27906977] ; [12.27906977 20.72093023],0
n4,1,0.091963,2.839664,[9 1] ; [21 13],[6.81818182 3.18181818] ; [23.18181818 10.81818182],0
a7,1,0.092258,2.834526,[8 2] ; [17 17],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
n1,1,0.106343,2.607745,[5 2] ; [ 6 11],[3.20833333 3.79166667] ; [7.79166667 9.20833333],0
d2,1,0.109698,2.558572,[8 2] ; [17 16],[5.81395349 4.18604651] ; [19.18604651 13.81395349],0
n6,1,0.109698,2.558572,[8 2] ; [17 16],[5.81395349 4.18604651] ; [19.18604651 13.81395349],0
a6,1,0.126051,2.340473,[8 2] ; [18 16],[5.90909091 4.09090909] ; [20.09090909 13.90909091],0
p6,1,0.138147,2.198478,[4 6] ; [ 6 28],[2.27272727 7.72727273] ; [ 7.72727273 26.27272727],0
n5,1,0.162957,1.946569,[9 1] ; [23 11],[7.27272727 2.72727273] ; [24.72727273  9.27272727],0
u1,1,0.172218,1.863529,[2 8] ; [ 2 32],[0.90909091 9.09090909] ; [ 3.09090909 30.90909091],0
p5,1,0.17972,1.79994,[3 7] ; [ 4 29],[1.62790698 8.37209302] ; [ 5.37209302 27.62790698],0
r2,1,0.228332,1.451221,[8 1] ; [22 10],[6.58536585 2.41463415] ; [23.41463415  8.58536585],0
a2,1,0.270338,1.215033,[3 7] ; [ 5 29],[1.81818182 8.18181818] ; [ 6.18181818 27.81818182],0
r1,1,0.293321,1.104314,[6 4] ; [14 20],[4.54545455 5.45454545] ; [15.45454545 18.54545455],0
p11,1,0.307841,1.039916,[5 5] ; [11 23],[3.63636364 6.36363636] ; [12.36363636 21.63636364],0
p1,1,0.327613,0.958311,[2 8] ; [ 3 31],[1.13636364 8.86363636] ; [ 3.86363636 30.13636364],0
b5,1,0.338394,0.916508,[7 3] ; [18 16],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
p12,1,0.346184,0.887395,[1 9] ; [ 1 33],[0.45454545 9.54545455] ; [ 1.54545455 32.45454545],0
d4,1,0.445392,0.582353,[9 1] ; [27  7],[8.18181818 1.81818182] ; [27.81818182  6.18181818],0
p7,1,0.48883,0.4791,[2 7] ; [11 21],[2.85365854 6.14634146] ; [10.14634146 21.85365854],0
d1,1,0.523432,0.407125,[7 3] ; [20 14],[6.13636364 3.86363636] ; [20.86363636 13.13636364],0
p8,1,0.527437,0.399328,[4 6] ; [10 24],[3.18181818 6.81818182] ; [10.81818182 23.18181818],0
a5,1,0.556901,0.345098,[8 2] ; [24 10],[7.27272727 2.72727273] ; [24.72727273  9.27272727],0
v1,1,0.653827,0.201109,[4 6] ; [11 23],[3.40909091 6.59090909] ; [11.59090909 22.40909091],0
p3,1,0.698384,0.150159,[4 6] ; [11 22],[3.48837209 6.51162791] ; [11.51162791 21.48837209],0
u2,1,0.706879,0.141414,[2 1] ; [6 5],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
u3,1,0.706879,0.141414,[2 1] ; [6 5],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
d3,1,0.756206,0.096389,[7 3] ; [22 12],[6.59090909 3.40909091] ; [22.40909091 11.59090909],0
v3,1,0.825642,0.048529,[3 7] ; [ 9 25],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
b3,1,0.872832,0.02562,[3 6] ; [ 8 14],[3.19354839 5.80645161] ; [ 7.80645161 14.19354839],0
b2,1,0.872832,0.02562,[3 6] ; [ 8 14],[3.19354839 5.80645161] ; [ 7.80645161 14.19354839],0
a3,1,0.888322,0.01972,[7 3] ; [23 11],[6.81818182 3.18181818] ; [23.18181818 10.81818182],0
v2,1,0.888322,0.01972,[3 7] ; [11 23],[3.18181818 6.81818182] ; [10.81818182 23.18181818],0
s1,1,0.909429,0.012941,[1 9] ; [ 3 31],[0.90909091 9.09090909] ; [ 3.09090909 30.90909091],0
b4,1,0.919751,0.01015,[6 4] ; [21 13],[6.13636364 3.86363636] ; [20.86363636 13.13636364],0
a4,1,0.93308,0.007051,[5 5] ; [17 16],[5.11627907 4.88372093] ; [16.88372093 16.11627907],0
n3,1,0.939491,0.005762,[3 4] ; [ 7 10],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
s4,1,0.967664,0.001643,[2 8] ; [ 7 27],[2.04545455 7.95454545] ; [ 6.95454545 27.04545455],0
