Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,34.084717,[227   9] ; [6 5],[222.62348178  13.37651822] ; [10.37651822  0.62348178],1
r4,1,0.0,29.052411,[216  23] ; [4 7],[210.32  28.68] ; [9.68 1.32],1
r1,1,7.9e-05,15.585302,[199  39] ; [4 7],[194.03212851  43.96787149] ; [8.96787149 2.03212851],1
r3,1,0.000771,11.309626,[228  10] ; [8 3],[225.57429719  12.42570281] ; [10.42570281  0.57429719],1
p2,1,0.006834,7.316213,[190  48] ; [5 6],[186.38554217  51.61445783] ; [8.61445783 2.38554217],0
a5,1,0.010435,6.559064,[156  83] ; [3 8],[152.004  86.996] ; [6.996 4.004],0
a6,1,0.011911,6.324037,[154  84] ; [3 8],[150.06425703  87.93574297] ; [6.93574297 4.06425703],0
p10,1,0.011991,6.312189,[183  51] ; [5 6],[179.55918367  54.44081633] ; [8.44081633 2.55918367],0
s7,1,0.017635,5.632042,[134  97] ; [2 8],[130.35684647 100.64315353] ; [5.64315353 4.35684647],0
d5,1,0.022488,5.207643,[181  57] ; [5 6],[177.78313253  60.21686747] ; [8.21686747 2.78313253],0
a1,1,0.033716,4.509069,[ 10 229] ; [2 9],[ 11.472 227.528] ; [ 0.528 10.472],0
n6,1,0.050405,3.827924,[189  49] ; [6 5],[186.38554217  51.61445783] ; [8.61445783 2.38554217],0
s5,1,0.061628,3.493028,[ 84 145] ; [ 1 10],[ 81.10416667 147.89583333] ; [3.89583333 7.10416667],0
p12,1,0.065339,3.396401,[ 12 225] ; [2 9],[ 13.37903226 223.62096774] ; [ 0.62096774 10.37903226],0
s1,1,0.070399,3.273695,[ 12 220] ; [2 9],[ 13.36625514 218.63374486] ; [ 0.63374486 10.36625514],0
d1,1,0.087888,2.912643,[128 111] ; [3 8],[125.236 113.764] ; [5.764 5.236],0
n2,1,0.118198,2.441044,[59 13] ; [2 2],[57.78947368 14.21052632] ; [3.21052632 0.78947368],0
s2,1,0.122783,2.381452,[180  59] ; [6 5],[177.816  61.184] ; [8.184 2.816],0
v1,1,0.136981,2.211545,[116 115] ; [3 8],[113.59090909 117.40909091] ; [5.40909091 5.59090909],0
b5,1,0.137401,2.206825,[142  97] ; [9 2],[144.356  94.644] ; [6.644 4.356],0
s8,1,0.14784,2.094402,[118 120] ; [3 8],[115.65461847 122.34538153] ; [5.34538153 5.65461847],0
b1,1,0.150289,2.069315,[ 80 159] ; [6 5],[ 82.216 156.784] ; [3.784 7.216],0
p9,1,0.162346,1.952236,[190  45] ; [7 4],[188.19105691  46.80894309] ; [8.80894309 2.19105691],0
s6,1,0.190702,1.712184,[188  47] ; [7 4],[186.2804878  48.7195122] ; [8.7195122 2.2804878],0
a7,1,0.238749,1.387963,[170  69] ; [6 5],[168.256  70.744] ; [7.744 3.256],0
n4,1,0.242791,1.364314,[169  69] ; [6 5],[167.26907631  70.73092369] ; [7.73092369 3.26907631],0
p4,1,0.257081,1.284408,[ 89 148] ; [6 5],[ 90.78629032 146.21370968] ; [4.21370968 6.78629032],0
v3,1,0.287026,1.13352,[ 77 152] ; [2 9],[ 75.37916667 153.62083333] ; [3.62083333 7.37916667],0
s4,1,0.30673,1.044704,[ 52 184] ; [ 1 10],[ 50.63967611 185.36032389] ; [2.36032389 8.63967611],0
a4,1,0.318754,0.994053,[101 137] ; [3 8],[ 99.40562249 138.59437751] ; [4.59437751 6.40562249],0
p1,1,0.382957,0.761188,[  9 228] ; [ 1 10],[  9.55645161 227.44354839] ; [ 0.44354839 10.55645161],0
u3,1,0.429906,0.623077,[44 34] ; [1 2],[43.33333333 34.66666667] ; [1.66666667 1.33333333],0
p6,1,0.512631,0.428692,[ 64 172] ; [2 9],[ 63.06072874 172.93927126] ; [2.93927126 8.06072874],0
d4,1,0.547596,0.361642,[190  47] ; [8 3],[189.21774194  47.78225806] ; [8.78225806 2.21774194],0
n5,1,0.555316,0.347879,[171  67] ; [7 4],[170.13654618  67.86345382] ; [7.86345382 3.13654618],0
d2,1,0.575032,0.314335,[107 131] ; [4 7],[106.09638554 131.90361446] ; [4.90361446 6.09638554],0
u2,1,0.615155,0.252737,[41 38] ; [2 1],[41.42682927 37.57317073] ; [1.57317073 1.42682927],0
n1,1,0.64883,0.207378,[27 43] ; [2 2],[27.43243243 42.56756757] ; [1.56756757 2.43243243],0
p8,1,0.671026,0.180404,[ 86 149] ; [3 7],[ 85.36734694 149.63265306] ; [3.63265306 6.36734694],0
a3,1,0.682914,0.166864,[159  79] ; [8 3],[159.62248996  78.37751004] ; [7.37751004 3.62248996],0
v2,1,0.735432,0.114182,[113 110] ; [5 6],[112.45299145 110.54700855] ; [5.54700855 5.45299145],0
b4,1,0.7389,0.111096,[140  99] ; [7 4],[140.532  98.468] ; [6.468 4.532],0
a8,1,0.772385,0.08367,[ 36 182] ; [2 8],[ 36.33333333 181.66666667] ; [1.66666667 8.33333333],0
d3,1,0.788713,0.071814,[164  74] ; [8 3],[164.40160643  73.59839357] ; [7.59839357 3.40160643],0
n3,1,0.890759,0.018863,[51 20] ; [3 1],[51.12 19.88] ; [2.88 1.12],0
p7,1,0.968247,0.001585,[123 100] ; [6 5],[122.93589744 100.06410256] ; [6.06410256 4.93589744],0
p11,1,0.980187,0.000617,[173  66] ; [8 3],[173.036  65.964] ; [7.964 3.036],0
